"Address","العنوان"
"Address Information","بيانات العنوان"
"Already registered?","هل أنت مسجل؟"
"Checkout as Guest","إنهاء عملية الشراء كزائر"
"Checkout as a Guest or Register","إنهاء عملية الشراء كزائر أو التسجيل"
"City","المدينة"
"Company","الشركة"
"Confirm Password","تأكيد كلمة المرور"
"Continue","استمر"
"Create an Account","إنشاء حساب"
"Easy access to your order history and status","الوصول السهل لحالة وتاريخ طلبك"
"Email Address","البريد الإلكتروني"
"Fast and easy check out","إنهاء شراء سريع وسهل"
"Fax","فاكس"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"General Options","خيارات عامة"
"If you have an account with us, please log in.","إذا كنت تمتلك حسابا معنا، من فضلك قم بتسجيل الدخول."
"Loading next step...","تحميل الخطوة التالية ..."
"Login Information","بيانات تسجيل الدخول"
"Please log in below:","من فضلك قم بتسجيل الدخول بالأسفل:"
"Please select region, state or province","من فضلك قم باختيار المنطقة، الولاية أو المقاطعة"
"Register","التسجيل"
"Register and save time!","قم بالتسجيل ووفر الوقت!"
"Register to Create an Account","قم بالتسجيل لإنشاء حساب"
"Registered Customers","عملاء مسجلون"
"Select State/Province...","اختيار الولاية/المقاطعة..."
"Ship to different address","الشحن إلى عنوان مختلف"
"Ship to this address","الشحن إلى هذا العنوان"
"Sign Up for Newsletter","الاشتراك بالنشرة البريدية"
"State/Province","ولاية/مقاطعة"
"Street Address","عنوان الشارع"
"Telephone","هاتف"
"Welcome, %s!","مرحبا, %s!"
