"Address","العنوان"
"Authorization","التفويض"
"Billing Information","بيانات الفاتورة"
"City","المدينة"
"Company","الشركة"
"Continue","استمر"
"Daily","يوميا"
"Discount","خصم"
"Edit Shopping Cart","تحرير عربة التسوق"
"Email Address","البريد الإلكتروني"
"Fax","فاكس"
"Items in Your Shopping Cart","السلع في عربة تسوقك"
"Never","أبدا"
"Order","طلب الشراء"
"Partner","ِشريك"
"Payment Method","طريقة الدفع"
"Please select a shipping method...","من فضلك اختر طريقة شحن..."
"Please select region, state or province","من فضلك قم باختيار المنطقة، الولاية أو المقاطعة"
"Review Order","مراجعة طلب الشراء"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Size","الحجم"
"State/Province","ولاية/مقاطعة"
"Street Address","عنوان الشارع"
"Submitting order information...","تقديم بيانات طلب الشراء..."
"Telephone","هاتف"
"Update Shipping Method","تحديث طريقة الشحن"
