"Add to Compare","اضف للمقارنة"
"Add to Wishlist","اضف الى قائمة الامنيات"
"Carts","عربات الشراء"
"Customers Report","تقرير العملاء"
"Detail","التفصيل"
"General","عام"
"Items in Cart","السلع بعربة التسوق"
"Last Review","المراجعة الأخيرة"
"Number Of Reviews","عدد المراجعات"
"Number of Items","عدد السلع"
"Number of New Accounts","عدد الحسابات الجديدة"
"Number of Reviews","عدد المراجعات"
"Number of wishlists: %s","عدد قوائم الأمنيات: %s"
"Order Status","حالة طلب الشراء"
"Out of stock","غير متوفربالمخزون"
"Poducts Report","تقرير المنتجات"
"Popularity","الشعبية"
"Products Report","تقرير المنتجات"
"Products in carts","المنتجات في عربات التسوق"
"Quantity Ordered","الكمية المطلوبة"
"Quantity of Items","كمية السلع"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed","المشاهد حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Recently Viewed/Compared Products","المنتجات المشاهدة/المقارنة حديثا"
"Review","مراجعة"
"Shopping Cart","عربة التسوق"
"Stock Qty","كمية المخزون"
"Wishlists","قوائم الأمنيات"
