"(\t for tab)","(t for tab)"
"All Reviews","كل التقييمات"
"Catalog Price Rules","قواعد الاسعار فى الكتالوج"
"Code","كود"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Continue","استمر"
"Customer Groups","مجموعات العملاء"
"Customer Reviews","مراجعات العميل"
"Customer Tax Classes","شرائح العميل الضريبية"
"Default Billing Address","عنوان الدفع الافتراضي"
"Delete Store","حذف متجر"
"Download","تحميل"
"Edit Design Change","تحرير تغيير التصميم"
"Invalid data","بيانات غير صحيحة"
"Invoices","الفواتير"
"Tax Rules","قواعد الضريبة"
"New Class","شريحة جديدة"
"New Customer","عميل جديد"
"New Design Change","تغيير تصميم جديد"
"New Group","مجموعة جديدة"
"New Invoice","فاتورة جديدة"
"New Page","صفحة جديدة"
"New Poll","استفتاءا جديدا"
"New Rating","تقيما جديدا"
"New Review","مراجعة جديدة"
"New Rule","قاعدة جديدة"
"New Shipment","شحن جديد"
"New Sitemap","خريطة موقع جديدة"
"Newsletter","النشرة البريدية"
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Newsletter Templates","قوالب النشرة البريدية"
"Online Customers","عملاء متصلون"
"Order","طلب الشراء"
"Out of stock","غير متوفربالمخزون"
"Popular","شعبي"
"Product Tax Classes","شرائح المنتج الضريبية"
"Root Category","التصنيف الجذر"
"Search entire store here...","ابحث فى المتجر بالكامل هنا..."
"Shipments","الشحنات"
"Shopping Cart","عربة التسوق"
"Special Price:","سعر خاص:"
"Transaction Type","نوع المعاملة التجارية"
"User Password","كلمة مرور المستخدم"
"Variable","متغير"
