"Add New Rule","اضف قاعدة جديدة"
"Apply","نفذ"
"Apply To","طبق على"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Conditions","الحالات"
"Customer Groups","مجموعات العملاء"
"Date Expire","تاريخ الانتهاء"
"Date Start","بداية بتاريخ"
"Edit Rule","حرر قاعدة"
"Edit Rule '%s'","حرر قاعدة '%s'"
"Fixed amount discount","كمية خصم ثابتة"
"Fixed amount discount for whole cart","كمية خصم ثابتة لعربة التسوق كلها"
"For matching items only","للسلع المطابقة فقط"
"For shipment with matching items","للشحن مع السلع المطابقة"
"From Date","من تاريخ"
"NOT LOGGED IN","غير مسجل الدخول"
"New Rule","قاعدة جديدة"
"Payment Method","طريقة الدفع"
"Percent of product price discount","النسبة المئوية للخصم من سعر المنتج"
"Priority","الاولوية"
"Quantity in cart","الكمية بعربة التسوق"
"Rule Name","أسم القاعدة"
"Shipping Country","دولة الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Region","منطقة الشحن"
"Shipping State/Province","ولاية/مقاطعة الشحن"
"To Date","حتى تاريخ"
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"Total Items Quantity","كمية السلع الإجمالية"
"Total Weight","الوزن الإجمالي"
"Update prices using the following information","تحديث الأسعار باستخدام البيانات التالية"
"Update product's %s %s: %s","تحديث بيانات المنتج %s %s: %s"
"Update the Product","تحديث هذا المنتج"
