"Continue &raquo;","تابع&raquo;"
"Currency Options","خيارات العملة"""
"Currency Setup","اعدادات العملة"
"Currency Update Warnings","تحذير تحرير بيانات العملة"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى مرسل الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"FATAL ERROR:","خطأ حيوي:"
"Frequency","التردد"
"Installed Currencies","العملات المعدة"
"Invalid country code: %s","خطأ فى شفرة الدولة: %s"
"Invalid rates received","خطأ فى المعدل المستخدم"
"Scheduled Import Settings","اعدادات الاستيراد المجدول"
"Select Your Currency","أختر عملتك"
"Service","الخدمة"
"Start Time","زمن البداية"
"State/Province","ولاية/مقاطعة"
"WARNING:","تحذير:"
"Your current currency is: %s","عملتك الحالية هى: %s"
