"Cancelled","تم الإلغاء"
"Confirmation Email Sender","مرسل البريد الإلكتروني التأكيدي"
"Confirmation Email Template","قالب البريد الإلكتروني التأكيدي"
"Create Newsletter Template","إنشاء قالب نشرة بريدية"
"Delete Selected Problems","حذف المشاكل المختارة"
"Edit Newsletter","تحرير النشرة البريدية"
"Edit Newsletter Template","تحرير قالب النشرة البريدية"
"Error Code","كود خطأ"
"New Newsletter Template","قالب نشرة بريدية جديد"
"Newsletter","النشرة البريدية"
"Newsletter Message Preview","معاينة رسالة النشرة البريدية"
"Newsletter Problem Reports","تقارير مشاكل النشرة البريدية"
"Newsletter Subscribers","مشتركو النشرة البريدية"
"Newsletter Subscription","الاشتراك بالنشرة البريدية"
"Newsletter Templates","قوالب النشرة البريدية"
"Newsletter subscription confirmation","تأكيد الاشتراك في النشرة البريدية"
"Newsletter subscription success","نجاح الاشتراك في النشرة البريدية"
"Newsletter unsubscription success","نجاح إلغاء الاشتراك في النشرة البريدية"
"Please enter new template name","من فضلك قم بإدخال اسم قالب جديد"
"Please select subscriber(s)","من فضلك اختر مشترك/مشتركين"
"Recipients","المستلمون"
"Save As","حفظ باسم"
"Save Newsletter","حفظ النشرة البريدية"
"Sender Email","البريد الإلكتروني للمرسل"
"Sender Name","اسم المرسل"
"Sending","جار الإرسال"
"Sent","تم الإرسال"
"Sign up for our newsletter","الاشتراك بنشرتنا البريدية"
"Subscribe","اشتراك"
"Subscriber","مشترك"
"Subscribers","مشتركون"
"Subscribers From","مشتركون من"
"Subscription Options","خيارات الاشتراك"
"There was a problem with the subscription: %s","يوجد مشكلة بالاشتراك: %s"
"There was a problem with the un-subscription.","يوجد مشكلة بإلغاء الاشتراك."
"Unsubscribe","قم بإلغاء الاشتراك"
"View Newsletter","عرض النشرة البريدية"
