"%s - Discounts and Coupons","%s -  تخفيض و خصم"
"%s has reached a quantity of %s.","%s وصل الى عدد %s."
"%s's Wishlist","%s's قائمة الامنيات"
"Cannot retrieve the wishlist","لا يمكن استعادة محتويات قائمة الامنيات"
"Comment: %s<br/>","تعليق: %s<br/>"
"Coupons/Discounts","قسيمات الخصم - التخفيض"
"Current Status: %s<br/>","الحالة الحالية: %s<br/>"
"Customer Name: %s","اسم العميل: %s"
"Customer Order Status Notification","حالة الاحاطة بطلب العميل"
"Details for %s #%s","بيانات لـ %s #%s"
"Discount","خصم"
"Discount (%s)","خصم (%s)"
"Enable RSS","تفعيل خدمة الخلاصات"
"Error in processing xml. %s","خطأ فى معاملة ملف الاكس ام ال. %s"
"Get Feed","تحصل على ملف الخلاصات"
"New Orders","الطلبات الجديدة"
"New Products from %s","منتجات جديدة من %s"
"Notified Date: %s<br/>","تاريخ الأعلام: %s<br/>"
"Order","طلب الشراء"
"Order # %s Notification(s)","الطلب # %s اعلامات"
"Order #%s created at %s","#%s الطلب انشئ عند %s"
"Pending product review(s)","مراجعات معلقة للمنتجات"
"Product: ""%s"" review By: %s","المنتج: ""%s"" مراجع بواسطة: %s"
"Product: <a href=""%s"">%s</a> <br/>","المنتج: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","المنتجات الموسومة بـ %s"
"Purchased From: %s","تم شراءة: %s"
"RSS Feeds","ملقمات الخلاصات"
"Review: %s <br/>","العرض: %s <br/>"
"Rss Config","اعدادات الخلاصات"
"Special Products","منتجات خاصة"
"Store: %s <br/>","المتجر: %s <br/>"
"Summary of review: %s <br/>","نبة عن المراجعة: %s <br/>"
"Tags Products","وسوم المنتجات"
"Top Level Category","التصنيف الاعلى درجة"
"Total: %s<br/>","الاجمالى: %s<br/>"
"Wishlist","قائمة الأمنيات"
"click <a href=""%s"">here</a> to view the review","اضغط <a href=""%s"">هــنــا</a>  لعرض هذة المراجعة"
