"Advanced","متقدم"
"Code","كود"
"Create Store","إنشاء متجر"
"Create Store View","إنشاء عرض متجر"
"Create Website","إنشاء موقع"
"Date From","تاريخ البداية"
"Date To","حتى تاريخ"
"Default Pages","الصفحات الافتراضية"
"Default Store","المتجر الافتراضي"
"Default Store View","عرض المتجر الافتراضي"
"Delete Store","حذف متجر"
"Design Change","تغيير التصميم"
"Developer","مطور"
"Edit Design Change","تحرير تغيير التصميم"
"Edit Store","تحرير متجر"
"Empty identifier field name","إفراغ اسم حقل المعرف"
"Empty main table name","إفراغ اسم الجدول الرئيسي"
"Enabled for Admin","مفعل للمدير"
"Error in file: ""%s"" - %s","خطأ في الملف: ""%s"" - %s"
"General","عام"
"Host","المضيف"
"Layout","تخطيط"
"New Design Change","تغيير تصميم جديد"
"New Store","متجر جديد"
"Port (25)","منفذ (25)"
"Root Category","التصنيف الجذر"
"Save Store","حفظ المتجر"
"Save Store View","حفظ عرض المتجر"
"Save Website","حفظ الموقع"
"Secure","آمن"
"Sender Email","البريد الإلكتروني للمرسل"
"Sender Name","اسم المرسل"
"Services","خدمات"
"Store Email Addresses","عناوين البريد الإلكتروني للمتجر"
"Store Information","بيانات المتجر"
"Store Name","اسم المتجر"
"Store View Information","بيانات عرض المتجر"
"Store View Name","اسم عرض المتجر"
"Store with the same code","متجر له نفس الكود"
"Template Path Hints","تلميحات مسار القالب"
"Templates","قوالب"
"This category only","هذا التصنيف فقط"
"Translations","ترجمات"
"Unsecure","غير آمن"
"Website Information","بيانات الموقع"
"Website Name","اسم الموقع"
"Website with the same code","موقع له نفس الكود"
