"1 Day Freight","1 يوم شحن"
"2 Day Freight","2 يوم شحن"
"3 Day Freight","3 يوم شحن"
"Access ID","معرف النفاذ"
"Account ID","معرف الحساب"
"Business Service Center","مركز الخدمة التجاري"
"Cannot retrieve shipping rates","لا يمكن استرجاع معدلات الشحن"
"Container","حاوية"
"Delivered","تم التسليم"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Empty response","رد فارغ"
"Error #%s : %s (%s)","خطأ #%s : %s (%s)"
"Error #%s: %s","خطأ #%s: %s"
"Express","سريع"
"Express 10:30 AM","سريع 10:30 AM"
"Gateway URL","رابط البوابة"
"Gift","هدية"
"Handling Applied","تم تطبيق المعاملة"
"Home Delivery","التسليم بالمنزل"
"Large","كبير"
"Letter","رسالة"
"Order","طلب الشراء"
"Package Description","وصف الحزمة"
"Parcel","طرد"
"Receiver","المستلم"
"Regular","عادي"
"Regular Pickup","التقاط عادي"
"Shipment Dutiable","الشحنة خاضعة للرسوم"
"Shipment Duty Payment Type","نوع دفع رسوم الشحنة"
"Shipment is not available.","الشحنة غير متاحة."
"Shipment picked up","تم استلام الشحنة"
"Size","الحجم"
"There is no available method for selected shipping address.","لا يوجد طريقة لعنوان الشحن المختار."
"Third Party","طرف ثالث"
"Unable to retrieve tracking","لا يمكن استرجاع التتبع"
"United Parcel Service","خدمة الطرود المتحدة"
"Variable","متغير"
"Weight Unit","وحدة الوزن"
