"Add New Class","إضافة شريحة جديدة"
"Add New Tax Rate","إضافة معدل ضريبة جديد"
"Add New Tax Rule","إضافة قاعدة ضريبية جديدة"
"Class Name","اسم الشريحة"
"Code","كود"
"Customer Tax Classes","شرائح العميل الضريبية"
"Delete Class","حذف شريحة"
"Delete Rate","حذف معدل"
"Delete Rule","احذف قاعدة"
"Edit Class","تحرير شريحة"
"Edit Class '%s'","تحرير شريحة '%s'"
"Edit Rule","حرر قاعدة"
"Edit Tax Rate","تحرير معدل الضريبة"
"Export Tax Rates","تصدير معدلات الضريبة"
"Import / Export Tax Rates","استيراد/تصدير معدلات الضريبة"
"Import Tax Rates","استيراد معدلات الضريبة"
"Inc. Tax","تضمين الضريبة"
"Invalid file upload attempt","محاولة رفع ملف غير صحيحة"
"Manage Customer Tax Classes","إدارة شرائح العملاء الضريبية"
"Manage Product Tax Classes","إدارة شرائح المنتجات الضريبية"
"Manage Tax Rates","إدارة معدلات الضريبة"
"Manage Tax Rules","إدارة قواعد الضريبة"
"New Class","شريحة جديدة"
"New Rule","قاعدة جديدة"
"New Tax Rate","معدل ضريبة جديد"
"Priority","الاولوية"
"Product Tax Classes","شرائح المنتج الضريبية"
"Save Class","حفظ شريحة"
"Save Rate","حفظ معدل"
"Save Rule","احفظ القاعدة"
"State","ولاية"
"State/Region","ولاية/منطقة"
"Tax Rate","معدل الضريبة"
"Tax Rate Information","معلومات معدل الضريبة"
"Tax Rule Information","معلومات معدل الضريبة"
"Tax Rules","قواعد الضريبة"
"This class no longer exists","هذه الشريحة لم تعد موجودة"
"This rule no longer exists","هذة القاعدة لم تعد موجودة"
"You cannot delete this tax class as it is used for %d customer groups.","لا يمكنك حذف شريحة الضريبة هذه لأنها تستخدم في %d مجموعات عملاء."
"You cannot delete this tax class as it is used for %d products.","لا يمكنك حذف شريحة الضريبة هذه لأنها تستخدم في %d منتجات."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","لا يمكنك حذف شريحة الضريبة هذه لأنها تستخدم في قواعد الضريبة. يجب عليك حذف هذه القواعد أولا."
"Zip/Post Code","الرمز البريدي"
