"Add New Customer","Ychwanegu Cwsmer Newydd"
"Add New Customer Group","Ychwanegu Grwp Cwsmer Newydd"
"Address","Cyfeiriad"
"Address Information","Gwybodaeth Cyfeiriad"
"Addresses","Cyfeiriadau"
"All","Holl"
"All countries","Holl wledydd"
"Average Sale","Gwerthiant Cyfartalog"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Trwy creu cyfrif yn ein siop, mi fyddwch yn gallu symyd trwy y proses desg dalu yn gyflymach, cadw nifer o gyfeiriadau derbyn, edrych a cadw golwg ar eich archebion yn eich cyfrif, a mwy."
"Change Password","Newid Cyfrinair"
"Confirm New Password","Cadarnhau Cyfrinair Newydd"
"Contact Information","Gwybodaeth Cysylltu"
"Create an Account","Creu Cyfrif"
"Current Password","Cyfrinair Cyfredol"
"Customer","Cwsmer"
"Customers","Cwsmeriaid"
"Delete","Dileu"
"Delete Address","Dileu Cyfeiriad"
"Delete Customer","Dileu Cwsmer"
"Delete Customer Group","Dileu Grwp Cwsmer"
"Edit","Golygu"
"Edit Account Information","Golygu Gwybodaeth Cyfrif"
"Edit Customer Groups","Golygu Grwpiau Cwsmer"
"Edit Group","Golygu Grwp"
"Email","Ebost"
"Email Sender","Anfonwr Ebost"
"Email:","Ebost:"
"Forgot Your Password?","Wedi Anghofio Eich Cyfrinair?"
"Group","Grwp"
"Group Information","Gwybodaeth Grwp"
"If you have an account with us, please log in.","Os oes gennych gyfrif gyda ni, mewngofnodwch os gwelwch yn dda."
"Lifetime Sales","Gwerthiant Oes"
"Log In","Mewngofnodi"
"Login Information","Gwybodaeth Mewngofnodi"
"Login or Create an Account","Mewngofnodi neu Creu Cyfrif"
"My Orders","Fy Archebion"
"Name","Enw"
"Never","Byth"
"New Address","Cyfeiriad Newydd"
"New Customer","Cwsmer Newydd"
"New Customer Group","Grwp Cwsmer Newydd"
"New Customer Groups","Grwpiau Cwsmer Newydd"
"New Customers","Cwsmeriaid Newydd"
"New Group","Grwp Newydd"
"New Password","Cyfrinair Newydd"
"Password","Cyfrinair"
"Password Management","Rheolaeth Cyfrinair"
"Password Options","Dewisiadau Cyfrinair"
"Password:","Cyfrinair:"
"Registered Customers","Cwsmeriad Cofrestredig"
"Save Address","Archeb Cyfeiriad"
"Save Password","Arbed Cyfrinair"
"Shipped to Name","Danfon i Enw"
"Sign Up for Newsletter","Tanysgrifio i'n Taflen Newyddion"
"Status","Statws"
"Store","Siop"
"Subject","Pwnc"
"Total","Cyfanswm"
"Type","Teip"
"ZIP","Cod Post"
"ZIP/Post Code","Cod Post"
"Zip/Postal Code","Côd Post"
