"Add Answer","Ychwanegu Ateb"
"Add New Answer","Ychwanegu Ateb Newydd"
"Add New Poll","Ychwanegu Pôl Newydd"
"Answer Title","Teitl Ateb"
"Answer Title:","Teitl Ateb:"
"Closed","Ar gau"
"Date Closed","Dyddiad Cau"
"Delete","Dileu"
"Delete Answer","Dileu y Ateb"
"Delete Poll","Dileu y Pôl"
"Edit Answer '%s'","Golygu Ateb '%s'"
"Edit Poll '%s'","Golygu Pôl '%s'"
"Edit Poll Answer","Golygu Ateb y Pôl"
"New Poll","Pôl Newydd"
"Open","Ar agor"
"Poll Answers","Atebion y Pôl"
"Poll Information","Gwybodaeth Pôl"
"Poll Question","Cwestiwn Pôl"
"Poll information","Gwybodaeth Pôl"
"Save Answer","Archeb y Ateb"
"Save Poll","Archeb y Pôl"
"Status","Statws"
"Vote","Pleidlais"
"Votes Count:","Cyfrif Pleidleisiau:"
