"Address","Cyfeiriad"
"Address Information","Gwybodaeth Cyfeiriad"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Trwy creu cyfrif yn ein siop, mi fyddwch yn gallu symyd trwy y proses desg dalu yn gyflymach, cadw nifer o gyfeiriadau derbyn, edrych a cadw golwg ar eich archebion yn eich cyfrif, a mwy."
"Continue","Parhau"
"Create an Account","Creu Cyfrif"
"Forgot Your Password?","Wedi Anghofio Eich Cyfrinair?"
"Forgot your password?","Wedi anghofio eich cyfrinair?"
"If you have an account with us, please log in.","Os oes gennych gyfrif gyda ni, mewngofnodwch os gwelwch yn dda."
"Login Information","Gwybodaeth Mewngofnodi"
"Login or Create an Account","Mewngofnodi neu Creu Cyfrif"
"New Customers","Cwsmeriaid Newydd"
"Password","Cyfrinair"
"Registered Customers","Cwsmeriad Cofrestredig"
"Sign Up for Newsletter","Tanysgrifio i'n Taflen Newyddion"
"Welcome, %s!","Croeso, %s!"
"Zip/Postal Code","Côd Post"
