"Address","Adress"
"Advanced Settings","Advancerade inställningar"
"Allowed Credit Card Types","Tillåtna typer av kreditkort"
"Authorization","Auktorisering"
"Basic Settings - PayPal Payflow Link","Grundläggande inställningar - PayPal Payflow länk"
"Basic Settings - PayPal Payflow Pro","Grundläggande inställningar - PayPal Payflow länk"
"Basic Settings - PayPal Payments Pro Hosted Solution","Grundläggande inställningar - PayPal betalningar Pro hostad lösning"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Grundläggande inställningar - PayPal betalningar Pro hostad lösning"
"Billing Information","Faktureringsinformation"
"City","Stad"
"Close","Stäng"
"Company","Företag"
"Complaint","Klagomål"
"Configure","Konfigurera"
"Continue","Fortsätt"
"Country","Land"
"Credit","Kredit"
"Credit Card Settings","Kreditkortsdetaljer"
"Custom","Anpassad"
"Daily","Dagligen"
"Discount","Rabatt"
"Display Express Checkout in the Payment Information step","Visa Express Checkout i steget betalningsinformation"
"Display on Shopping Cart","Visa i kundvagn"
"Dynamic","Dynamisk"
"Edit","Redigera"
"Email Address","E-postadress"
"Enable this Solution","Aktivera denna lösning"
"Enabled","Aktiverad"
"Fetch","Hämta"
"Learn More","Läs Mer"
"Login","Logga in"
"N/A","Ej tillgängligt"
"Never","Aldrig"
"No","Nej"
"Order","Beställning"
"Order ID","Order-ID"
"Password","Lösenord"
"PayPal Fee Information","Information om PayPal Avgift"
"Payflow Pro and Express Checkout","Payflow Pro och Express Checkout"
"Payment Action","Betalningsåtgärd"
"Payment Method","Betalningsmetod"
"Payment transactions disallow storing objects.","Betalningstransaktioner förbjuder lagring av objekt."
"Payments Pro Hosted Solution","Webbplats betalningar Pro hostad lösning"
"Place Order","Beställ"
"Please agree to all the terms and conditions before placing the order.","Du måste acceptera villkoren innan du lägger en order."
"Please select a shipping method...","Vänligen välj ett leveranssätt..."
"Please select region, state or province","Ange region eller område"
"Position","Plats"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnamn"
"Qty","Antal"
"Reference Information","Referensinformation"
"Reports","Rapporter"
"Require Customer's Billing Address","Kräv kundens faktureringsadress"
"Sale","Försäljning"
"Sales","Försäljning"
"Schedule","Schemaläggning"
"Shipping","Frakt"
"Shipping Address","Leveransadress"
"Shipping Information","Leveransinformation"
"Shipping Method","Leveransmetod"
"Size","Storlek"
"Sort Order","Sorteringsordning"
"State/Province","Län"
"Street Address","Gatuadress"
"Subtotal","Delsumma"
"Test Mode","Testläge"
"Title","Titel"
"Transaction ID","Transaktions-ID"
"User","Användare"
"VAT Number","VAT-nummer"
"View","Visa"
"Void","Makulera"
"Website Payments Pro Hosted Solution","Webbplats betalningar Pro hostad lösning"
"Website Payments Pro Hosted Solution and Express Checkout","Webbplats betalningar Pro hostad lösning och Express Checkout"
"Yes","Ja"
"You will be required to enter your payment details after you place an order.","Du kommer att behöva ange betalningsinformation när du gör en beställning."
"Zip/Postal Code","Postnummer"
