"-- Please Select --","--Vänligen välj--"
"Add Secret Key to URLs","Lägga till hemlig nyckel i webbadresser"
"Add Store Code to Urls","Lägg till Butikskoder till urls"
"Admin","Administratör"
"Admin User Emails","Admin användarens e-post"
"Advanced","Advancerat"
"Allow Countries","Tillåta länder"
"Allow Symlinks","Tillåt symboliska länkar"
"Allowed IPs (comma separated)","Tillåtna IPs (kommaavgränsad)"
"Anchor Text for Next","Ankartexten för nästa"
"Anchor Text for Previous","Ankartexten för föregående"
"Are you sure?","Är du säker?"
"Auto-redirect to Base URL","Auto-omdirigering till bas-URL"
"Back","Tillbaka"
"Backup Options","Alternativ för säkerhetskopiering"
"Base Link URL","Bas länk-URL"
"Base URL","Bas-URL"
"CSS Settings","CSS-Inställningar"
"Cache Storage Management","Cache-lagrings hantering"
"Cancel","Avbryt"
"Code","Kod"
"Cookie Domain","Cookiedomän"
"Cookie Lifetime","Cookiens Livstid"
"Cookie Path","Sökväg för Cookie (Cookie path)"
"Cookie Restriction Mode","Cookie begränsning-läge"
"Country","Land"
"Create Store","Skapa butik"
"Create Store View","Skapa butiks vy"
"Create Website","Skapa hemsida"
"Custom Admin Path","Anpassad sökväg"
"Custom Admin URL","Anpassad Admin URL"
"Custom Design","Anpassad Design"
"Custom Email 1","Skräddarsydd e-post 1"
"Custom Email 2","Skräddarsydd e-post 2"
"Custom Variables","Anpassade variabler"
"Customer Support","Kundsupport"
"Dashboard","Översikt"
"Date From","Datum från"
"Date To","Datum till"
"Debug","Felsök"
"Default","Förvald"
"Default Country","Standardland"
"Default No-route URL","Standard no-route-URL"
"Default Pages","Standardsidor"
"Default Robots","Standard robotar"
"Default Store","Standardarkivet"
"Default Store View","Standard butiks vy"
"Default Title","Standardtitel"
"Default Web URL","Standard Webbadress"
"Delete","Ta bort"
"Delete Store","Ta bort butik"
"Delete Store View","Tag bort butiksvy"
"Design Change","Designändring"
"Developer","Utvecklare"
"Developer Client Restrictions","Utvlecklare och Klient Begränsningar"
"Disable Email Communications","Inaktivera e-kommunikation"
"Disable Modules Output","Avaktivera modulers output"
"Display Demo Store Notice","Visa Demo Affär meddelande"
"Duplicate Of Template Name","Dubblett av Mallnamn"
"Edit Design Change","Redigera designändring"
"Edit Store","Redigera butik"
"Edit Store View","Redigera butiksvy"
"Enable Charts","Aktivera diagram"
"Enabled","Aktiverad"
"Enabled for Admin","Aktiverat för Admin"
"Environment Update Time","Tidpunkt för uppdateringen av miljö"
"European Union Countries","Länder i Europeiska unionen"
"Favicon Icon","Favicon-ikonen"
"File system","Filsystem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Fil med tillägget ""%value%"" är skyddad och kan inte laddas upp"
"First Day of Week","Första dagen i veckan"
"Flush Cache Storage","Tömma Cache-lagring"
"Flush OpenMage Cache","Töm magento cachen"
"Footer","Sidfot"
"Forgot Password Email Template","Glömde lösenord e-postmall"
"General","Allmänt"
"General Contact","Allmän kontakt"
"General Settings","Generella inställningar"
"Header","Sidhuvud"
"Host","Värd"
"How many links to display at once.","Hur många länkar som ska visas på en gång."
"Input type ""%value%"" not found in the input types list.","Indatatyp ""%value%"" hittades inte i listan över inmatningstyper."
"Invalid date","Ogiltigt datum"
"JavaScript Settings","JavaScript-inställningar"
"Leave empty for access from any location.","Lämna tom för åtkomst från valfri plats."
"Locale Options","Locale alternativ"
"Login is Case Sensitive","Inloggning är skiftlägeskänslig"
"Logo Image","Logotypbild"
"Logo Image Alt","Logo bild Alt"
"Mail Sending Settings","Mailutskicks inställningar"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Kontrollera att bas-URL slutar med ' /' (snedstreck), e.g. http://yourdomain/magento/"
"Manage Stores","Hantera butiker"
"Media Storage","Medialagring"
"Merge CSS Files","Koppla CSS-filer"
"Merge JavaScript Files","Koppla JavaScript-filer"
"Miscellaneous HTML","Diverse HTML"
"Name","Namn"
"New Store","Ny butik"
"New Store View","Ny butiksvy"
"No","Nej"
"Package","Paket"
"Pagination","Sidbrytning"
"Pagination Frame","Sidbrytningsram"
"Pagination Frame Skip","Sidbrytnings frame skip"
"Path ""%value%"" is not available and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Path ""%value%"" is protected and cannot be used.","Url ""%value%"" är inte tillgänglig och kan inte användas."
"Please enter a number 0 or greater in this field.","Skriv in en siffra, 0 eller större i detta fält."
"Please enter a number 1 or greater in this field.","Skriv in ett nummer 1 eller större i detta fält."
"Please enter a valid credit card number.","Ange ett giltigt kreditkortsnummer."
"Please enter a valid number in this field.","Vänligen ange ett giltigt nummer i fältet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer. Till exempel +46 23 456 78 90 eller +46 (0)23-456 78 90."
"Please make sure your passwords match.","Kontrollera att lösenorden matchar."
"Please select an option.","Välj ett alternativ."
"Please set available and/or protected paths list(s) before validation.","Vänligen ange tillgängliga och/eller skyddade sökvägar förteckningar innan validering."
"Recovery Link Expiration Period (hours)","Recovery länk förfallotid (timmar)"
"Root Category","Rotkategori"
"Sales Representative","Säljare"
"Save","Spara"
"Save Store","Spara butik"
"Save Store View","Spara butiksvy"
"Security","Säkerhet"
"Select Media Database","Välj Media databas"
"Sender Email","Avsändares e-post"
"Sender Name","Avsändarens namn"
"Services","Tjänster"
"Session Validation Settings","Inställningar för validering av session"
"Set Return-Path","Ställa in Return-Path"
"Set as Default","Ange som standard"
"Sort Order","Sorteringsordning"
"Startup Page","Startsida"
"Storage Configuration for Media","Lagringskonfiguration för Media"
"Store","Butik"
"Store Email Addresses","Lagra e-postadresser"
"Store Hours of Operation","Butikens öppettider"
"Store Information","Butiks information"
"Store Name","Butiksnamn"
"Store View","Butiksvy"
"Store View Information","Butiksvys information"
"Store view doesn't exist","Butiksvyn finns inte"
"Store with the same code","Butik med samma kod"
"Template Settings","Sidmall-inställningar"
"Template Variables","Mallvariabler"
"The store does not exist","Butiken finns inte"
"The website does not exist.","Webbplatsen finns inte."
"Themes","Teman"
"This is a required field.","Detta är ett obligatoriskt fält."
"This store cannot be deleted.","Denna butik kan inte raderas."
"This store view cannot be deleted.","Denna butik Visa kan inte raderas."
"This website cannot be deleted.","Denna webbplats kan inte raderas."
"This will be included before head closing tag in page HTML.","Detta kommer att finnas före huvudets avslutande tagg i sidans HTML."
"Timezone","Tidszon"
"Transactional Emails","Transaktionella mail"
"Translate Inline","Översätt Inline"
"Translations","Översättningar"
"Url Options","Url alternativ"
"Use Custom Admin Path","Använda anpassade Admin-sökväg"
"Use Custom Admin URL","Använda anpassade Admin URL"
"Use HTTP Only","Använd HTTP endast"
"None","Inga"
"Use Secure URLs in Admin","Använd säkra webbadresser i Admin"
"Use Web Server Rewrites","Använda Web Server överskrivningar"
"VAT Number","VAT-nummer"
"Validate HTTP_USER_AGENT","Validera HTTP_USER_AGENT"
"Validate HTTP_VIA","Validera HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validera HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validera REMOTE_ADDR"
"Validation has failed.","Valideringen misslyckades."
"Variable Code must be unique.","Variabelkoden måste vara unik."
"Web","Webb"
"Website","Webbplats"
"Website with the same code","Webbplats med samma kod"
"Weekend Days","Helgdagar"
"Welcome Text","Välkommen Text"
"Wrong file info format","Fel filformat"
"Yes","Ja"
