"* Required Fields","* Obligatoriska fält"
"--Please Select--","--Vänligen Välj--"
"Bank Transfer Payment","Betalning via bankgiro"
"Card Verification Number","Verifikationsnummer för kort"
"Cash On Delivery Payment","Kontant betalning vid leverans"
"Check / Money Order","Check/kontantorder"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Type","Kreditkortstyp"
"Credit Card Types","Kreditkortstyper"
"Currency","Valuta"
"Day","Dag"
"Enabled","Aktiverad"
"Expiration Date","Utgångsdatum"
"Instructions","Instruktioner"
"Make Check Payable to","Ställ ut checken till"
"Make Check payable to:","Checkbetalning till:"
"Maximum Order Total","Högsta orderbelopp"
"Merchant ID","Handlar-ID"
"Minimum Order Total","Minsta orderbelopp"
"Month","Månad"
"N/A","Ej tillgängligt"
"New Order Status","Ny orderstatus"
"Password","Lösenord"
"Payment Method","Betalningsmetod"
"Payment Methods","Betalningsmetoder"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Purchase Order","Inköpsorder"
"Purchase Order Number","Inköpsordernummer"
"Send Check to","Skicka check till"
"Send Check to:","Skicka check till:"
"Shipping Amount","Fraktkostnad"
"Sort Order","Sorteringsordning"
"Start Date","Startdatum"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro utfärdandenummer"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro startdatum"
"Tax Amount","Momsbelopp"
"Test Mode","Testläge"
"The requested Payment Method is not available.","Önskad betalningsmetod är inte tillgänglig."
"Title","Titel"
"What is this?","Vad är det här?"
"Year","År"
