"1 Day Freight","1 dagsfrakt"
"2 Day","2 dagars"
"2 Day Freight","2 dagars frakt"
"3 Day Freight","3-dagars frakt"
"Account ID","Konto-ID"
"Account Number","Kontonummer"
"Adult","Vuxen"
"Allowed Methods","Tillåtna metoder"
"Centimeters","Centimeter"
"Configuration","Konfiguration"
"Debug","Felsök"
"Depth","Djup"
"Development","Utveckling"
"Direct","Direkt"
"Domestic economy select","Inhemska ekonomin väljer"
"Domestic express","Inhemsk express"
"Easy shop","Lätthandel"
"Economy select","Välj ekonomi"
"Empty response","Tomt svar"
"Europe First Priority","Europa första prioritet"
"Express easy","Enkel Express"
"FedEx Envelope","FedEx kuvert"
"First Overnight","Prioritet över natten"
"First-Class Mail Large Envelope","Första klass post stort kuvert"
"First-Class Mail Large Postcards","Förstklassiga stora vykort"
"First-Class Mail Letter","Första klass brev"
"First-Class Mail Postcards","Förstklassiga vykort"
"Freight","Frakt"
"Gateway URL","Gateway-URL"
"Girth","Omkrets"
"Ground","Marken"
"Height","Höjd"
"Home Delivery","Hemleverans"
"Inches","Tum"
"International Economy","Internationell ekonomi"
"International First","Internationella först"
"International Ground","Internationell mark"
"International Priority","Internationella först"
"Intl Economy Freight","Intl ekonomi frakt"
"Intl Priority Freight","Internationell prioriterad frakt"
"Kilograms","Kg"
"Length","Längd"
"Medical express","Medicinsk express"
"Mode","Läge"
"National Freight","Nationella godstransporter"
"Next Day Air Early AM","Nästa dag flyg tidigt på förmiddagen"
"Next Day Air Early AM Letter","Nästa dag flyg tidigt på förmiddagen brev"
"Next Day Air Letter","Nästa dag Air brev"
"No","Nej"
"None","Inga"
"Order","Beställning"
"Package","Paket"
"Password","Lösenord"
"Priority Mail","Prioriterad Mail"
"Priority Mail Express","Prioritet post Express"
"Priority Mail Express Flat Rate Envelope","Prioriterad Frakt med förpackning, fast pris"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Express Mail schablonbelopp kuvert håll för avhämtning"
"Priority Mail Express Hold For Pickup","Prioriterad expressfrakt hålls för upphämtning"
"Priority Mail Express Legal Flat Rate Envelope","Prioriterad Frakt med förpackning, fast pris"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Express Mail schablonbelopp kuvert håll för avhämtning"
"Priority Mail Express Sunday/Holiday Delivery","Prioriterad Expressfrakt Söndagar/helgdagar"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Söndag/Helgdagsfrakt Fastpris Brev"
"Priority Mail Flat Rate Envelope","Prioritetsfrakt Fastpris brev"
"Priority Mail Hold For Pickup","Prioriterad expressfrakt hålls för upphämtning"
"Priority Mail Large Flat Rate Box","Prioriterad Fraktsätt för stora lådor med fast pris"
"Priority Mail Large Flat Rate Box Hold For Pickup","Express Mail Stort Fast avgift håll för avhämtning"
"Priority Mail Medium Flat Rate Box","Prioriterad Fraktsätt för medelstora lådor med fast pris"
"Priority Mail Padded Flat Rate Envelope","Prioriterad Frakt med vadderat förpackning, fast pris"
"Priority Mail Small Flat Rate Box","Prioriterat Fraktsätt för små lådor med fast pris"
"Priority Mail Small Flat Rate Box Hold For Pickup","Express Mail Litet Fast avgift håll för avhämtning"
"Priority Overnight","Prioritet över natten"
"Regular","Vanlig"
"Regular Pickup","Regelbunden avhämtning"
"Request Courier","Begär Transportör"
"Required","Obligatorisk"
"Return","Returnera"
"Secureline","Säker Lina"
"Sender","Avsändare"
"Size","Storlek"
"Smart Post","Smarta inlägg"
"Sort Order","Sorteringsordning"
"Specific","Specifika"
"Standard Overnight","Standard över natten"
"Station","Position"
"Subtotal","Delsumma"
"The field is applicable if the Smart Post method is selected.","Fältet används om metoden Smart Post är markerad."
"Title","Titel"
"UPS Second Day Air","UPS 2nd Day Flyg"
"UPS Second Day Air A.M.","UPS Andra Dag Air förmiddag."
"UPS Three-Day Select","UPS tredagars Välj"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courier"
"UPS Worldwide Expedited","UPS Worldwide Express"
"UPS Worldwide Express PlusSM","UPS Worldwide Express Plus"
"UPS Worldwide Saver","UPS Worldwide Express"
"User ID","Användar-ID"
"Variable","Variabel"
"Weight Unit","Viktenhet"
"Width","Bredd"
"Yes","Ja"
"inch","tum"
