"(Excl. Tax)","(Exkl. Moms)"
"(Incl. Tax)","(Inkl. Moms)"
"* Required Fields","* Obligatoriska fält"
"Add New Address","Lägg till ny adress"
"Add New Condition","Lägga till nytt villkor"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Address","Adress"
"After Adding a Product Redirect to Shopping Cart","Efter att en Produkt lagts till Omdirigera till Kundvagnen"
"Allow Guest Checkout","Tillåt Köp av Gäster"
"Apply","Tillämpa"
"Apply Coupon","Använd Kupong"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker du vill ta bort artikeln från kundvagnen?"
"Back","Tillbaka"
"Billing Address","Faktureringsadress"
"Billing Information","Faktureringsinformation"
"Cancel","Avbryt"
"Cancel Coupon","Avbryt kupong"
"Cannot process the item.","Kan inte bearbeta artikeln."
"Change","Ändra"
"Change Billing Address","Ändra faktureringsadress"
"Checkout","Till Kassan"
"Checkout Conditions","Alternativ för Kassan"
"Checkout Options","Alternativ för Kassan"
"Checkout Terms and Conditions","Allmänna villkor för checkout"
"City","Stad"
"Clear Shopping Cart","Rensa Kundvagn"
"Close","Stäng"
"Company","Företag"
"Condition Name","Villkor"
"Confirm Password","Bekräfta lösenord"
"Content","Innehåll"
"Content Height","Innehållets höjd"
"Content Height (css)","Innehållets höjd (css)"
"Continue","Fortsätt"
"Continue Shopping","Fortsätt Handla"
"Continue to Billing Information","Fortsätt till Faktureringsinformation"
"Country","Land"
"Create Billing Address","Skapa faktureringsadress"
"Create Shipping Address","Skapa leveransadress"
"Customer Information","Kundinformation"
"Data saving problem","Problem med att spara data"
"Delete Condition","Ta bort Villkoret"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Display Cart Summary","Visa Sammanfattning för Varukorgen"
"Display item quantities","Visa antal"
"Display number of items in cart","Visa antal artiklar i kundvagnen"
"Edit","Redigera"
"Edit Address","Redigera adress"
"Edit Billing Address","Redigera faktureringsadress"
"Edit Condition","Redigera villkor"
"Edit Shipping Address","Redigera leveransadress"
"Edit Terms and Conditions","Editera Allmänna Villkor"
"Edit Your Cart","Redigera din kundvagn"
"Edit item","Redigera artikel"
"Edit item parameters","Redigera parametrarna för"
"Email Address","E-postadress"
"Enable Onepage Checkout","Aktivera Onepage Kassa"
"Enable Terms and Conditions","Aktivera löpvillkor"
"Enabled","Aktiverad"
"Enter a New Address","Ange en ny adress"
"Enter your destination to get a shipping estimate.","Ange din leveransadress för att få en leveranskostnadsberäkning."
"Estimate Shipping and Tax","Uppskatta Frakt och Moms"
"Excl. Tax","-Exkl. Moms"
"Forgot an Item?","Glömt något?"
"Forgot your password?","Glömt ditt lösenord?"
"Gift Message","Presentmeddelande"
"Grouped Product Image","Grupperade Produktbilder"
"Incl. Tax","Inkl. Moms"
"Items","Artiklar"
"Load customer quote error","Inläsningsfel för kundoffert"
"Login","Logga in"
"Move","Flytta"
"Move to Wishlist","Flytta till önskelista"
"My Cart","Min kundvagn"
"My Cart Link","Mina Länk för Varukorgen"
"New Address","Ny adress"
"New Condition","Nytt villkor"
"New Terms and Conditions","Allmänna villkor"
"No Payment Methods","Inga betalningsmetoder tillgängliga"
"Order #","Beställning #"
"Order Review","Granska beställning"
"Password","Lösenord"
"Payment Failed Email Sender","E-post Sändare för Misslyckade Betalningar"
"Payment Failed Emails","E-post för Misslyckade Betalningar"
"Payment Failed Template","Mall för Misslyckade Betalningar"
"Payment Information","Betalinformation"
"Payment Method","Betalningsmetod"
"Place Order","Beställ"
"Please agree to all Terms and Conditions before placing the order.","Vänligen godkänn köpvillkoren innan du genomför beställningen."
"Please agree to all the terms and conditions before placing the order.","Du måste acceptera villkoren innan du lägger en order."
"Please select region, state or province","Ange region eller område"
"Price","Pris"
"Proceed to Checkout","Gå vidare till Kassan"
"Product","Produkt"
"Product Name","Produktnamn"
"Products","Produkter"
"Qty","Antal"
"Qty:","Antal:"
"Quantity","Antal"
"Quote Lifetime (days)","Offert Livstid (dagar)"
"Remove Item","Ta bort Artikel"
"Remove This Item","Ta bort Denna Artikel"
"Remove item","Ta bort artikel"
"SKU","Art.nr"
"Sales","Försäljning"
"Save Condition","Spara Regelvillkor"
"Save in address book","Spara i adressboken"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Select Addresses","Välj adresser"
"Select Shipping Method","Välj fraktsätt"
"Select a shipping address from your address book or enter a new address.","Välj en leveransadress från din adressbok eller ange en ny adress."
"Send Payment Failed Email Copy Method","Skicka Misslyckad Betalning E-post Kopia Metod"
"Send Payment Failed Email Copy To","Skicka Misslyckad Betalning E-post Kopia Till"
"Separate by "","".","Avgränsa med "",""."
"Ship to Multiple Addresses","Leverera till flera adresser"
"Shipping Address","Leveransadress"
"Shipping Information","Leveransinformation"
"Shipping Method","Leveransmetod"
