"Add Your Review","Skriv en egen recension"
"Administrator","Administratör"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Are you sure?","Är du säker?"
"Back","Tillbaka"
"Be the first to review this product","Bli först med att recensera denna produkt"
"Customer","Kund"
"Customer Reviews","Kundrecensioner"
"Customers Reviews","Kundrecensioner"
"Delete","Ta bort"
"Delete Review","Ta bort recension"
"Detailed Rating","Detaljerad betygsättning"
"Guest","Gäst"
"My Product Reviews","Mina Produktrecensioner"
"Name","Namn"
"New Review","Ny Recension"
"Nickname","Smeknamn"
"Pending","Väntar"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnamn"
"Product Rating","Produktbetyg"
"Product Reviews","Produktrecensioner"
"Products Reviews","Produktrecensioner"
"Qty","Antal"
"Review","Recension"
"Review Details","Granska Detaljer"
"Reviews","Recensioner"
"SKU","Art.nr"
"Save Review","Spara utvärdering"
"Submit Review","Skicka recension"
"Summary Rating","Sammanfattande värdering"
"Summary of Review","Sammanfattning av recension"
"Title","Titel"
"Type","Typ"
"View Details","Visa detaljer"
"Websites","Webbplatser"
"You have submitted no reviews.","Du har inte skickat några recensioner."
"You're reviewing:","Du recenserar:"
