"* Required Fields","* Obligatoriska fält"
"ALL GROUPS","ALLA GRUPPER"
"Account Information","Kontoinformation"
"Account Sharing Options","Kontodelningsalternativ"
"Action","Åtgärd"
"Add New Address","Lägg till ny adress"
"Add New Customer","Lägg till ny kund"
"Add New Customer Group","Lägg till ny kundgrupp"
"Additional Address Entries","Ytterligare adressfält"
"Address","Adress"
"Address Book","Adressbok"
"Address Information","Adressinformation"
"Address Templates","Adressmallar"
"Addresses","Adresser"
"Admin","Administratör"
"All","Alla"
"All Store Views","Alla butiksvyer"
"All countries","Alla länder"
"Amount","Belopp"
"Are you sure you want to delete this address?","Är du säker du vill ta bort denna adress?"
"Are you sure?","Är du säker?"
"Assign a Customer Group","Tilldela en kundgrupp"
"Average Sale","Genomsnittlig försäljning"
"Back","Tillbaka"
"Bad request.","Felaktig förfrågan."
"By Email","Via e-post"
"By IP","Via IP"
"By IP and Email","Via IP och E-post"
"Cancel","Avbryt"
"Change Billing Address","Ändra faktureringsadress"
"Change Password","Ändra Lösenord"
"Change Shipping Address","Ändra leveransadress"
"City","Stad"
"Company","Företag"
"Configure","Konfigurera"
"Confirm New Password","Bekräfta Nytt Lösenord"
"Confirm Password","Bekräfta lösenord"
"Confirmed","Bekräftad"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsätt Handla"
"Country","Land"
"Create","Skapa"
"Create Order","Skapa Order"
"Create an Account","Skapa ett konto"
"Current Password","Nuvarande Lösenord"
"Customer","Kund"
"Customer Configuration","Kundkonfiguration"
"Customer Group","Kundgrupp"
"Customer Groups","Kundgrupper"
"Customer Information","Kundinformation"
"Customer Since","Kund sedan"
"Customer View","Kundvy"
"Customers","Kunder"
"Date","Datum"
"Date Added","Tillagd datum"
"Date of Birth","Födelsedag"
"Day","Dag"
"Default Addresses","Förvalda adresser"
"Default Billing Address","Förvald faktureringsadress"
"Default Shipping Address","Förvald leveransadress"
"Delete","Ta bort"
"Delete Customer","Radera kund"
"Delete Customer Group","Ta bort kundgrupp"
"Deleted Stores","Borttagna butiker"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Edit","Redigera"
"Edit Account Information","Redigera kontoinformation"
