"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till en Ny Regel"
"Alphanumeric","Alfanumerisk"
"Apply","Tillämpa"
"Apply To","Gäller"
"Catalog","Katalog"
"Code Format","Kodformat"
"Code Length","Kodlängd"
"Code Prefix","Kodprefix"
"Code Suffix","Kodsuffix"
"Conditions","Villkor"
"Conditions combination","Villkorskombination"
"Coupon","Kupong"
"Coupon Code","Kupongkod"
"Coupon Qty","Kupongantal"
"Customer Groups","Kundgrupper"
"Dash Every X Characters","Använd ""-"" för varje X tecken"
"Default Label","Standardetikett"
"Description","Beskrivning"
"Discount Amount","Rabattbelopp"
"Discount Qty Step (Buy X)","Rabatt Antal Steg (Köp X)"
"Edit Rule","Redigera regel"
"Excluding prefix, suffix and separators.","Exklusive prefix, suffix och separatorer."
"General Information","Allmän Information"
"Generate","Generera"
"If empty no separation.","Om tom, separera ej."
"Inactive","Inaktiv"
"Labels","Etiketter"
"Manage Coupon Codes","Hantera kupongkoder"
"Maximum Qty Discount is Applied To","Maximalt Antal Rabatter Tillämpas På"
"NOT LOGGED IN","INTE INLOGGAD"
"New Rule","Ny regel"
"No","Nej"
"No Coupon","Ingen kupong"
"Number of Uses","Antal användningar"
"Payment Method","Betalningsmetod"
"Price in cart","Pris i varukorg"
"Priority","Prioritet"
"Promotions","Kampanjer"
"Public In RSS Feed","Öppen RSS-Feed"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Shipping Method","Leveransmetod"
"Special Price","Specialpris"
"Store View Specific Labels","Butiksvy-specifika etiketter"
"Subtotal","Delsumma"
"This rule no longer exists.","Denna regel finns inte längre."
"Total","Summa"
"Total Weight","Total vikt"
"Used","Använd"
"Website","Webbplats"
"Websites","Webbplatser"
"Yes","Ja"
