"Actions","Åtgärder"
"Are you sure?","Är du säker?"
"Date Added","Tillagd datum"
"Last Update","Senaste uppdatering"
"Mark as Read","Markera som läst"
"Message","Meddelande"
"Messages Inbox","Inkorgen"
"Notifications","Aviseringar"
"Please select messages.","Välj meddelanden."
"Read Details","Läs detaljer"
"Remove","Ta bort"
"Severity","Nivå"
"Show List","Visa lista"
"Show Toolbar","Visa verktygsfält"
"The message has been removed.","Meddelandet har tagits bort."
"Update Frequency","Uppdateringsfrekvens"
"Use HTTPS to Get Feed","Hämta feed via HTTPS"
"Wrong message type","Fel meddelandetyp"
"critical","kritiska"
"major","stora"
"minor","mindre"
"notice","avisering"
