"ALL","ALLA"
"Add","Lägg till"
"Apply","Tillämpa"
"Conditions Combination","Villkorskombination"
"Perform following actions","Utför följande åtgärder"
"Remove","Ta bort"
"TRUE","Sann"
"by","av"
"contains","innehåller"
"does not contain","innehåller inte"
"does not contains","innehåller inte"
"equals or greater than","är lika med eller större än"
"equals or less than","är lika med eller mindre än"
"for","för"
"from","från"
"greater than","större än"
"is","är"
"is not","är inte"
"is not one of","är inte en av"
"is one of","är en av"
"less than","mindre än"
"to","till"
