"Add","එකතු කරන්න"
"Add New Role","නව භූමිකාවක් එක් කරන්න"
"Admin","පරිපාලක"
"Allow","ඉඩ දෙන්න"
"Assigned","පවරා"
"Attribute Set","ගුණාංග කට්ටලය"
"Attributes","ගුණාංග"
"Automatically Return Credit Memo Item to Stock","ණය මතක අයිතමය තොගයට ස්වයංක්‍රීයව ආපසු ලබා දෙන්න"
"Back","ආපසු"
"Backorders","පසුපෙළ"
"Catalog","නාමාවලිය"
"Category ID","ප්‍රවර්ග ID"
"City","නගරය"
"Company","සමාගම"
"Country","රට"
"Coupon Code","කූපන් කේතය"
"Create","නිර්මාණය කරන්න"
"Create Permanent Redirect for old URL","පැරණි URL සඳහා ස්ථිර යළි-යොමුවක් සාදන්න"
"Customer","පාරිභෝගික"
"Customer Address","පාරිභෝගික ලිපිනය"
"Customer First Name","පාරිභෝගික මුල් නම"
"Customer ID","පාරිභෝගික හැඳුනුම් පත"
"Customer Last Name","පාරිභෝගිකයාගේ අවසාන නම"
"Delete","මකන්න"
"Deny","ප්‍රතික්ෂේප කරන්න"
"Discount","වට්ටම්"
"Discount Amount","වට්ටම් මුදල"
"Edit","සංස්කරණය කරන්න"
"Edit Role","භූමිකාව සංස්කරණය කරන්න"
"Email","විද්යුත් තැපෑල"
"Enable Qty Increments","Qty වැඩිවීම් සබල කරන්න"
"Exclude","බැහැර කරන්න"
"File Name","ගොනුවේ නම"
"First Name","මුල් නම"
"Gift Message","තෑගි පණිවිඩය"
"Grand Total","මුලු එකතුව"
"Grand Total to Be Charged","අය කළ යුතු විශාල එකතුව"
"Group","සමූහය"
"Guest","අමුත්තන්ගේ"
"ID","හැඳුනුම්පත"
"Label","ලේබලය"
"Last Name","අවසන් නම"
"Manage Stock","කොටස් කළමනාකරණය කරන්න"
"Maximum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ උපරිම ප්‍රමාණයට අවසර ඇත"
"Minimum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ අවම ප්‍රමාණයට අවසර ඇත"
"New Role","නව භූමිකාව"
"Notify for Quantity Below","පහත ප්‍රමාණය සඳහා දැනුම් දෙන්න"
"Order","නියෝග"
"Order Comments","අදහස් ඇණවුම් කරන්න"
"Order Date","ඇණවුම් දිනය"
"Order ID","ඕඩර අංකය"
"Order Status","ඇණවුම් තත්ත්වය"
"Orders","නියෝග"
"Original Price","මුල් මිල"
"Payment Method","ගෙවීම් ක්රමය"
"Phone Number","දුරකථන අංකය"
"Placed from IP","IP වලින් ස්ථානගත කර ඇත"
"Position","තනතුර"
"Price","මිල"
"Product","නිෂ්පාදන"
"Product ID","නිෂ්පාදන හැඳුනුම්පත"
"Qty","ප්‍රමාණය"
"Qty Increments","Qty වර්ධක"
"Qty Uses Decimals","Qty දශම භාවිතා කරයි"
"Role Info","භූමිකාව පිළිබඳ තොරතුරු"
"Role Information","භූමිකාව පිළිබඳ තොරතුරු"
"Role Name","භූමිකාවේ නම"
"Role Users","භූමිකාව භාවිතා කරන්නන්"
"Roles","භූමිකාවන්"
"SKU","කේතය"
"Sales","විකුණුම්"
"Save","සුරකින්න"
"Shipping Amount","නැව්ගත කිරීමේ මුදල"
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"State","රජයේ"
"Stock Availability","කොටස් ලබා ගැනීමේ හැකියාව"
"Stock Status","කොටස් තත්ත්වය"
"Store Name","ගබඩාවේ නම"
"Street","වීදිය"
"Subtotal","උප එකතුව"
"System","පද්ධතිය"
"Tax Amount","බදු මුදල"
"Tax Percent","බදු ප්රතිශතය"
"Tax Rate","බදු අනුපාතය"
"Total Due","සම්පූර්ණ ගෙවීම"
"Total Paid","මුළු ගෙවා ඇත"
"Total Refunded","සම්පූර්ණ ආපසු ගෙවන ලදී"
"Type","ටයිප් කරන්න"
"Update","යාවත්කාලීන කරන්න"
"ZIP/Postal Code","සිප් / තැපැල් කේතය"
