"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Add All to Cart","කරත්තයට සියල්ල එක් කරන්න"
"Add to Cart","ගැලට එක් කරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Add to Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Back","ආපසු"
"Cannot specify product.","නිෂ්පාදනය සඳහන් කළ නොහැක."
"Click for price","මිල සඳහා ක්ලික් කරන්න"
"Comment","අදහස් දක්වන්න"
"Comment:","අදහස් දැක්වීම:"
"Date Added","එකතු කළ දිනය"
"Edit","සංස්කරණය කරන්න"
"Email Sender","ඊමේල් යවන්නා"
"Email Template","ඊමේල් සැකිල්ල"
"Email addresses, separated by commas","ඊමේල් ලිපින, කොමා වලින් වෙන් කර ඇත"
"Enabled","සබල කර ඇත"
"General Options","සාමාන්ය විකල්ප"
"In stock","ගබඩාවේ ඇත"
"Last Added Items","අවසන් වරට එකතු කරන ලද අයිතම"
"Message","පණිවුඩය"
"Options Details","විකල්ප විස්තර"
"Out of stock","තොග අවසන්"
"Price","මිල"
"Product","නිෂ්පාදන"
"Product Details and Comment","නිෂ්පාදන විස්තර සහ අදහස්"
"Qty","ප්‍රමාණය"
"RSS Feed","RSS සංග්‍රහය"
"Remove Item","අයිතමය ඉවත් කරන්න"
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"SKU","කේතය"
"Share Options","බෙදාගැනීමේ විකල්ප"
"Sharing Information","තොරතුරු බෙදාගැනීම"
"User Description","පරිශීලක විස්තරය"
"View Details","තොරතුරු පෙන්වන්න"
"View Product","නිෂ්පාදනය බලන්න"
"What's this?","මෙය කුමක් ද?"
"Wishlist","පැතුම් ලැයිස්තුව"
