"(Excl. Tax)","(බදු හැර)"
"(Incl. Tax)","(බදු ඇතුළුව)"
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Add New Address","නව ලිපිනය එක් කරන්න"
"Add New Condition","නව කොන්දේසියක් එක් කරන්න"
"Add to Cart","ගැලට එක් කරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Add to Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Address","ලිපිනය"
"After Adding a Product Redirect to Shopping Cart","සාප්පු කරත්තයට නිෂ්පාදන යළි-යොමුකිරීමක් එක් කිරීමෙන් පසු"
"Allow Guest Checkout","අමුත්තන් පිටවීමට ඉඩ දෙන්න"
"Apply","අයදුම් කරන්න"
"Apply Coupon","කූපනය යොදන්න"
"Are you sure you would like to remove this item from the shopping cart?","ඔබ මෙම අයිතමය සාප්පු කරත්තයෙන් ඉවත් කිරීමට කැමති බව ඔබට විශ්වාසද?"
"Back","ආපසු"
"Back to Billing Information","බිල්පත් තොරතුරු වෙත ආපසු"
"Back to Select Addresses","ලිපින තෝරන්න වෙත ආපසු"
"Back to Shipping Information","නැව්ගත කිරීමේ තොරතුරු වෙත නැවත යන්න"
"Back to Shopping Cart","සාප්පු කරත්තය වෙත නැවත යන්න"
"Billing Address","බිල්පත් ලිපිනය"
"Billing Information","බිල්කරණ තොරතුරු"
"Cancel","අවලංගු කරන්න"
"Cancel Coupon","කූපනය අවලංගු කරන්න"
"Card Verification Number Visual Reference","කාඩ්පත් සත්‍යාපන අංකය දෘශ්‍ය යොමුව"
"Change","වෙනස් කරන්න"
"Change Billing Address","බිල්පත් ලිපිනය වෙනස් කරන්න"
"Checkbox Text","පිරික්සුම් කොටු පෙළ"
"Checkout","පරීක්ෂාකාරී වන්න"
"Checkout Conditions","පිටවීමේ කොන්දේසි"
"Checkout Options","පිටවීමේ විකල්ප"
"Checkout Terms and Conditions","පිටවීමේ නියමයන් සහ කොන්දේසි"
"City","නගරය"
"Clear Shopping Cart","පැහැදිලි සාප්පු කරත්තය"
"Close","වසන්න"
"Company","සමාගම"
"Condition Name","කොන්දේසි නාමය"
"Configurable Product Image","වින්‍යාසගත කළ හැකි නිෂ්පාදන රූපය"
"Confirm Password","මුරපදය තහවුරු කරන්න"
"Content","අන්තර්ගතය"
"Content Height","අන්තර්ගත උස"
"Content Height (css)","අන්තර්ගත උස (css)"
"Continue","දිගටම කරගෙන යන්න"
"Continue Shopping","තවත් දෑ මිලදී ගන්න"
"Continue to Billing Information","බිල්පත් තොරතුරු වෙත ඉදිරියට යන්න"
"Country","රට"
"Create Billing Address","බිල්පත් ලිපිනය සාදන්න"
"Create Shipping Address","නැව්ගත කිරීමේ ලිපිනය සාදන්න"
"Customer Information","පාරිභෝගික තොරතුරු"
"Data saving problem","දත්ත සුරැකීමේ ගැටලුව"
"Default Billing","පෙරනිමි බිල්පත්"
"Default Shipping","පෙරනිමි නැව්ගත කිරීම"
"Delete Condition","තත්ත්වය මකන්න"
"Details","විස්තර"
"Disabled","ආබාධිතයි"
"Display Cart Summary","සංදර්ශක කරත්ත සාරාංශය"
"Display item quantities","අයිතම ප්‍රමාණ පෙන්වන්න"
"Display number of items in cart","කරත්තයේ ඇති අයිතම ගණන ප්‍රදර්ශනය කරන්න"
"Edit","සංස්කරණය කරන්න"
"Edit Address","ලිපිනය සංස්කරණය කරන්න"
"Edit Billing Address","බිල්පත් ලිපිනය සංස්කරණය කරන්න"
"Edit Condition","තත්ත්වය සංස්කරණය කරන්න"
"Edit Items","අයිතම සංස්කරණය කරන්න"
"Edit Shipping Address","නැව්ගත කිරීමේ ලිපිනය සංස්කරණය කරන්න"
"Edit Terms and Conditions","නියම සහ කොන්දේසි සංස්කරණය කරන්න"
"Edit Your Cart","ඔබේ කරත්තය සංස්කරණය කරන්න"
"Edit item","අයිතමය සංස්කරණය කරන්න"
"Edit item parameters","අයිතම පරාමිතීන් සංස්කරණය කරන්න"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Enable Onepage Checkout","Onepage Checkout සබල කරන්න"
"Enable Terms and Conditions","නියම සහ කොන්දේසි සබල කරන්න"
"Enabled","සබල කර ඇත"
"Enter a New Address","නව ලිපිනයක් ඇතුළත් කරන්න"
"Enter your destination to get a shipping estimate.","නැව්ගත කිරීමේ ඇස්තමේන්තුවක් ලබා ගැනීමට ඔබේ ගමනාන්තය ඇතුළු කරන්න."
"Estimate Shipping and Tax","ඇස්තමේන්තුගත නැව්ගත කිරීම සහ බදු"
"Excl. Tax","හැර. බද්ද"
"Fax","ෆැක්ස්"
"Forgot an Item?","අයිතමයක් අමතකද?"
"Forgot your password?","මුරපදය අමතක වුනාද?"
"Gift Message","තෑගි පණිවිඩය"
"Grand Total:","මුලු එකතුව:"
"ID","හැඳුනුම්පත"
"Incl. Tax","ඇතුළු. බද්ද"
"Items","අයිතම"
"Load customer quote error","පාරිභෝගික උද්ධෘත දෝෂය පූරණය කරන්න"
"Login","ඇතුල් වන්න"
"Move","චලනය කරන්න"
"Move to Wishlist","අවශ්ය ලැයිස්තු වෙත ගෙන යන්න"
"My Cart","මගේ කරත්තය"
"My Cart Link","මගේ කරත්ත සබැඳිය"
"New Address","නව ලිපිනය"
"New Condition","නව කොන්දේසිය"
"New Terms and Conditions","නව නියම සහ කොන්දේසි"
"No Payment Methods","ගෙවීම් ක්‍රම නැත"
"Order #","නියෝග #"
"Order Review","ඇණවුම් සමාලෝචනය"
"Order Success","ඇණවුම සාර්ථකයි"
"Password","මුරපදය"
"Payment Failed Email Sender","ගෙවීම අසාර්ථක වූ ඊමේල් යවන්නා"
"Payment Failed Emails","ගෙවීම් අසාර්ථක ඊමේල්"
"Payment Failed Template","ගෙවීම අසාර්ථක වූ අච්චුව"
"Payment Information","ගෙවීම් තොරතුරු"
"Payment Method","ගෙවීම් ක්රමය"
"Place Order","ඇනවුම කරන්න"
