"-- Please Select --","-- කරුණාකර තෝරන්න --"
"1 column","1 තීරු"
"2 columns with left bar","වම් තීරුව සහිත තීරු 2"
"2 columns with right bar","දකුණු තීරුව සහිත තීරු 2"
"3 columns","තීරු 3 ක්"
"About the calendar","කැලැන්ඩරය ගැන"
"Account","ගිණුම"
"All Pages","සියලුම පිටු"
"Allow","ඉඩ දෙන්න"
"Close","වසන්න"
"Close Window","කවුළුව වසන්න"
"Default welcome msg!","පෙරනිමි පිළිගැනීමේ පණිවිඩය!"
"Empty","හිස්"
"Go Today","අදම යන්න"
"JavaScript seems to be disabled in your browser.","ඔබගේ බ්‍රවුසරයේ JavaScript අක්‍රිය කර ඇති බව පෙනේ."
"Left Column","වම් තීරුව"
"Menu","මෙනු"
"Next","ඊළඟ"
"Page:","පිටුව:"
"Previous","කලින්"
"Report All Bugs","සියලුම දෝෂ වාර්තා කරන්න"
"Right Column","දකුණු තීරුව"
"Search","සොයන්න"
"Select Store","ගබඩාව තෝරන්න"
"Show","පෙන්වන්න"
"View All","සියල්ල බලන්න"
"Your Language","ඔබගේ භාෂාව"
"Your Language:","ඔබගේ භාෂාව:"
"per page","පිටුවකට"
