"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"-- Select --","-- තෝරන්න --"
"Add New Option","නව විකල්පය එක් කරන්න"
"As Low as","තරම් අඩුයි"
"As low as","තරම් අඩුයි"
"Bundle Items","බණ්ඩල් අයිතම"
"Checkbox","පිරික්සුම් කොටුව"
"Choose a selection...","තේරීමක් තෝරන්න..."
"Click for price","මිල සඳහා ක්ලික් කරන්න"
"Close","වසන්න"
"Default","පෙරනිමිය"
"Default Title","පෙරනිමි මාතෘකාව"
"Drop-down","පතන"
"Dynamic","ගතික"
"Excl. Tax","හැර. බද්ද"
"Fixed","ස්ථාවර"
"From","සිට"
"From:","සිට:"
"Gift Message","තෑගි පණිවිඩය"
"Incl. Tax","ඇතුළු. බද්ද"
"Input Type","ආදාන වර්ගය"
"Is Required","අවශ්යයි"
"Message:","පණිවුඩය:"
"Multiple Select","බහු තේරීම"
"No options of this product are available.","මෙම නිෂ්පාදනය සඳහා විකල්ප නොමැත."
"None","කිසිවක් නැත"
"Percent","සියයට"
"Percent Discount","සියයට වට්ටමක්"
"Please Select Products to Add","කරුණාකර එකතු කිරීමට නිෂ්පාදන තෝරන්න"
"Please enter a number greater 0 in this field.","මෙම ක්‍ෂේත්‍රයේ 0 ට වඩා විශාල සංඛ්‍යාවක් යොදන්න."
"Please specify product option(s).","කරුණාකර නිෂ්පාදන විකල්පය(ය) සඳහන් කරන්න."
"Position","තනතුර"
"Price Range","මිල පරාසය"
"Price Type","මිල වර්ගය"
"Qty:","ප්‍රමාණය:"
"Radio Buttons","ගුවන්විදුලි බොත්තම්"
"SKU","කේතය"
"Separately","වෙනම"
"Ship Bundle Items","නැව් බණ්ඩල් අයිතම"
"Shipment","නැව්ගත"
"Store View Title","ගබඩා දැක්ම මාතෘකාව"
"To","වෙත"
"To:","වෙත:"
"Together","එක්ව"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"save","සුරකින්න"
