"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Add Secret Key to URLs","URL වලට රහස් යතුර එක් කරන්න"
"Add Store Code to Urls","Url වෙත ගබඩා කේතය එක් කරන්න"
"Admin","පරිපාලක"
"Admin Base URL","පරිපාලක මූලික URL"
"Admin User Emails","පරිපාලක පරිශීලක ඊමේල්"
"Advanced","උසස්"
"Allow Countries","රටවල් වලට ඉඩ දෙන්න"
"Allow Symlinks","Symlinks වලට ඉඩ දෙන්න"
"Anchor Text for Next","Next සඳහා ඇන්කර් පෙළ"
"Anchor Text for Previous","පෙර සඳහා ඇන්කර් පෙළ"
"Are you sure?","ඔබට විශ්වාසද?"
"Auto-redirect to Base URL","මූලික URL වෙත ස්වයංක්‍රීය යළි-යොමුවීම්"
"Back","ආපසු"
"Backup Options","උපස්ථ විකල්ප"
"Base Link URL","මූලික සබැඳි URL"
"Base URL","මූලික URL"
"Browser Capabilities Detection","බ්‍රව්සර් හැකියාවන් හඳුනාගැනීම"
"CSS Settings","CSS සැකසුම්"
"Cache Storage Management","හැඹිලි ගබඩා කළමනාකරණය"
"Cancel","අවලංගු කරන්න"
"Card type does not match credit card number.","පතෙහි වර්ගය ණයපතෙහි අංකයට නොගැළපේ."
"Code","කේතය"
"Copyright","කතුහිමිකම"
"Country","රට"
"Create Store","ගබඩාව සාදන්න"
"Create Store View","ගබඩා දර්ශනය සාදන්න"
"Create Website","වෙබ් අඩවිය සාදන්න"
"Credit card number does not match credit card type.","ණය පතෙහි අංකය ණය පතෙහි වර්ගයට නොගැළපේ."
"Custom Admin Path","අභිරුචි පරිපාලක මාර්ගය"
"Custom Admin URL","අභිරුචි පරිපාලක URL"
"Custom Design","අභිරුචි නිර්මාණය"
"Custom Email 1","අභිරුචි විද්‍යුත් තැපෑල 1"
"Custom Email 2","අභිරුචි විද්‍යුත් තැපෑල 2"
"Custom Variables","අභිරුචි විචල්යයන්"
"Customer Support","පාරිභෝගික සහාය"
"Dashboard","උපකරණ පුවරුව"
"Date From","දින සිට"
"Date To","දිනය දක්වා"
"Debug","දෝෂහරණය කරන්න"
"Default","පෙරනිමිය"
"Default Country","පෙරනිමි රට"
"Default No-route URL","පෙරනිමි මාර්ග රහිත URL"
"Default Pages","පෙරනිමි පිටු"
"Default Robots","පෙරනිමි රොබෝවරු"
"Default Store","පෙරනිමි වෙළඳසැල"
"Default Store View","පෙරනිමි ගබඩා දසුන"
"Default Title","පෙරනිමි මාතෘකාව"
"Default Web URL","පෙරනිමි වෙබ් URL"
"Delete","මකන්න"
"Delete Store","ගබඩාව මකන්න"
"Delete Store View","ගබඩා දර්ශනය මකන්න"
"Design","නිර්මාණ"
"Design Change","සැලසුම් වෙනස් කිරීම"
"Developer","සංවර්ධකයා"
"Disable Email Communications","විද්‍යුත් තැපැල් සන්නිවේදනය අක්‍රිය කරන්න"
"Disable Modules Output","මොඩියුල ප්‍රතිදානය අක්‍රීය කරන්න"
"Display Demo Store Notice","Demo Store Notice පෙන්වන්න"
"Duplicate Of Template Name","සැකිල්ල නම අනුපිටපත"
"Edit Design Change","නිර්මාණ වෙනස් කිරීම සංස්කරණය කරන්න"
"Edit Store","ගබඩාව සංස්කරණය කරන්න"
"Edit Store View","ගබඩා දර්ශනය සංස්කරණය කරන්න"
"Enable Charts","ප්‍රස්ථාර සක්‍රීය කරන්න"
"Enabled","සබල කර ඇත"
"Enabled for Admin","පරිපාලක සඳහා සබල කර ඇත"
"European Union Countries","යුරෝපීය සංගමයේ රටවල්"
"Favicon Icon","Favicon නිරූපකය"
"First Day of Week","සතියේ පළමු දිනය"
"Flush Cache Storage","ෆ්ලෂ් හැඹිලි ගබඩාව"
"Flush OpenMage Cache","OpenMage හැඹිලිය ෆ්ලෂ් කරන්න"
"Footer","පාදකය"
"Forgot Password Email Template","මුරපද ඊමේල් අච්චුව අමතක විය"
"General","ජනරාල්"
"General Contact","සාමාන්ය සම්බන්ධතා"
"General Settings","සාමාන්ය සැකසුම්"
"Global","ගෝලීය"
"HTML Head","HTML හිස"
"Header","ශීර්ෂකය"
"Host","සත්කාරක"
"How many links to display at once.","එකවර පෙන්විය යුතු සබැඳි කීයක්."
"Incorrect credit card expiration date.","ණය පත කල් ඉකුත් වීමේ දිනය වැරදිය."
"Input type ""%value%"" not found in the input types list.","ආදාන වර්ගය ""%value%"" ආදාන වර්ග ලැයිස්තුවේ හමු නොවේ."
"Invalid date","වලංගු නොවන දිනය"
"JavaScript Settings","JavaScript සැකසුම්"
"Layout","පිරිසැලසුම"
"Locale","දේශීය"
"Locale Options","දේශීය විකල්ප"
"Login is Case Sensitive","පුරනය වීම සිද්ධි සංවේදී වේ"
"Logo Image","ලාංඡන රූපය"
"Logo Image Alt","ලාංඡන රූපය Alt"
"Mail Sending Settings","තැපැල් යැවීමේ සැකසුම්"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","මූලික URL එක '/' (slash) වලින් අවසන් වන බවට වග බලා ගන්න, උදා http://yourdomain/magento/"
"Manage Stores","ගබඩා කළමනාකරණය කරන්න"
"Media Storage","මාධ්ය ගබඩාව"
"Merge CSS Files","CSS ගොනු ඒකාබද්ධ කරන්න"
"Merge JavaScript Files","JavaScript ගොනු ඒකාබද්ධ කරන්න"
"Miscellaneous HTML","විවිධ HTML"
"Name","නම"
"New Store","නව වෙළඳසැල"
"New Store View","නව ගබඩා දසුන"
"No","නැත"
"Offloader header","ඕෆ්ලෝඩර් ශීර්ෂකය"
"PHP SOAP extension is required.","PHP SOAP දිගුව අවශ්‍යයි."
"Package","පැකේජය"
"Pagination","පේජිනේෂන්"
"Pagination Frame","පේජිනේෂන් රාමුව"
"Please enter a number 0 or greater in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 හෝ ඊට වැඩි අංකයක් ඇතුළත් කරන්න."
"Please enter a number 1 or greater in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අංක 1 හෝ ඊට වැඩි ගණනක් ඇතුළත් කරන්න."
"Please enter a number greater than 0 in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ 0 ට වඩා වැඩි අංකයක් ඇතුළු කරන්න."
"Please enter a valid $ amount. For example $100.00.","කරුණාකර වලංගු $ මුදලක් ඇතුළු කරන්න. උදාහරණයක් ලෙස $100.00."
"Please enter a valid credit card number.","කරුණාකර වලංගු ණයපත් අංකයක් ඇතුළත් කරන්න."
"Please enter a valid credit card verification number.","කරුණාකර වලංගු ක්‍රෙඩිට් කාඩ් සත්‍යාපන අංකයක් ඇතුළු කරන්න."
"Please enter a valid date.","කරුණාකර වලංගු දිනයක් ඇතුළත් කරන්න."
"Please enter a valid month (1-12).","වලංගු මාසයක් ඇතුල් කරන්න (1-12)."
"Please enter a valid number in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ වලංගු අංකයක් ඇතුළත් කරන්න."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","කරුණාකර වලංගු දුරකථන අංකයක් ඇතුළු කරන්න. උදාහරණයක් ලෙස (123) 456-7890 හෝ 123-456-7890."
"Please enter a valid zip code.","වලංගු තැපැල් කේතයක් ඇතුල් කරන්න."
"Please enter issue number or start date for switch/solo card type.","කරුණාකර ස්විච්/තනි කාඩ්පත් වර්ගය සඳහා නිකුත් අංකය හෝ ආරම්භක දිනය ඇතුළත් කරන්න."
"Please make sure your passwords match.","කරුණාකර ඔබගේ මුරපද ගැලපෙන බවට වග බලා ගන්න."
"Please select State/Province.","කරුණාකර ප්‍රාන්තය/පළාත තෝරන්න."
"Please select an option.","කරුණාකර විකල්පයක් තෝරන්න."
"Please select one of the options.","විකල්ප වලින් එකක් තෝරන්න."
"Please use letters only (a-z or A-Z) in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු පමණක් (az හෝ AZ) භාවිතා කරන්න."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","කරුණාකර මෙම දින ආකෘතිය භාවිතා කරන්න: dd/mm/yyyy. උදාහරණයක් ලෙස 17/03/2006 2006 මාර්තු 17 සඳහා."
"Port (25)","වරාය (25)"
"Recovery Link Expiration Period (hours)","ප්‍රතිසාධන සබැඳිය කල් ඉකුත් වීමේ කාලය (පැය)"
"Request Path for Specified Store","නිශ්චිත ගබඩාව සඳහා මාර්ගය ඉල්ලන්න"
"Return-Path Email","Return-Path විද්‍යුත් තැපෑල"
"Root Category","මූල කාණ්ඩය"
"Sales Representative","අලෙවි නියෝජිත"
"Save","සුරකින්න"
"Save Store","ගබඩාව සුරකින්න"
"Save Store View","ගබඩා දර්ශනය සුරකින්න"
"Security","ආරක්ෂක"
"Select Date","දිනය තෝරන්න"
"Sender Email","යවන්නාගේ ඊමේල්"
"Sender Name","යවන්නාගේ නම"
"Services","සේවාවන්"
"Session Validation Settings","සැසි වලංගුකරණ සැකසුම්"
"Set Return-Path","ආපසු පැමිණීමේ මාර්ගය සකසන්න"
"Set as Default","පෙරනිමිය ලෙස සකසන්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Startup Page","ආරම්භක පිටුව"
"Status","තත්ත්වය"
"Store","ගබඩා කරන්න"
"Store Email Addresses","ඊමේල් ලිපින ගබඩා කරන්න"
"Store Hours of Operation","ගබඩාවේ ක්‍රියාකාරී වේලාවන්"
"Store Information","ගබඩා තොරතුරු"
"Store Name","ගබඩාවේ නම"
"Store View","ගබඩා දර්ශනය"
"Store View Information","ගබඩා බැලීමේ තොරතුරු"
"Store view doesn't exist","ගබඩා දසුන නොපවතී"
"Store with the same code","එකම කේතය සමඟ ගබඩා කරන්න"
"System","පද්ධතිය"
"Template Settings","සැකිලි සැකසුම්"
"Template Variables","සැකිලි විචල්යයන්"
"The store does not exist","ගබඩාව නොපවතී"
"The value is not within the specified range.","අගය නිශ්චිත පරාසය තුළ නොවේ."
"The website does not exist.","වෙබ් අඩවිය නොපවතී."
"Themes","තේමා"
"This is a required field.","මෙය අවශ්ය ක්ෂේත්රයකි."
"This store cannot be deleted.","මෙම ගබඩාව මකා දැමිය නොහැක."
"This store view cannot be deleted.","මෙම ගබඩා දසුන මකා දැමිය නොහැක."
"This website cannot be deleted.","මෙම වෙබ් අඩවිය මකා දැමිය නොහැක."
"This will be included before head closing tag in page HTML.","HTML පිටුවෙහි හිස වැසීමට පෙර මෙය ඇතුළත් වේ."
"Timezone","වේලා කලාපය"
"Transactional Emails","ගනුදෙනු ඊමේල්"
"Translate Inline","Inline පරිවර්තනය කරන්න"
"Url Options","Url විකල්ප"
"Use Custom Admin Path","අභිරුචි පරිපාලක මාර්ගය භාවිතා කරන්න"
"Use Custom Admin URL","අභිරුචි පරිපාලක URL භාවිතා කරන්න"
"None","කිසිවක් නැත"
"Use Secure URLs in Admin","පරිපාලක තුළ ආරක්ෂිත URL භාවිතා කරන්න"
"Use Web Server Rewrites","Web Server Rewrites භාවිතා කරන්න"
"VAT Number","වැට් අංකය"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT වලංගු කරන්න"
"Validate HTTP_VIA","HTTP_VIA වලංගු කරන්න"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR වලංගු කරන්න"
"Validate REMOTE_ADDR","REMOTE_ADDR වලංගු කරන්න"
"Web","වෙබ්"
"Website","වෙබ් අඩවිය"
"Website with the same code","එකම කේතය සහිත වෙබ් අඩවිය"
"Weekend Days","සති අන්ත දින"
"Welcome Text","පිළිගැනීමේ පෙළ"
"Yes","ඔව්"
