"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Address","ලිපිනය"
"Address Information","ලිපින තොරතුරු"
"Back","ආපසු"
"City","නගරය"
"Close","වසන්න"
"Company","සමාගම"
"Confirm Password","මුරපදය තහවුරු කරන්න"
"Continue","දිගටම කරගෙන යන්න"
"Country","රට"
"Create an Account","ගිණුමක් තනන්න"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Fax","ෆැක්ස්"
"Forgot Your Password?","මුරපදය අමතක වුනාද?"
"Forgot your password?","මුරපදය අමතක වුනාද?"
"General Options","සාමාන්ය විකල්ප"
"Login","ඇතුල් වන්න"
"New Customers","නව පාරිභෝගිකයින්"
"Password","මුරපදය"
"Personal Information","පුද්ගලික තොරතුරු"
"Please select region, state or province","කරුණාකර කලාපය, ප්‍රාන්තය හෝ පළාත තෝරන්න"
"Registered Customers","ලියාපදිංචි පාරිභෝගිකයින්"
"Save in address book","ලිපින පොතේ සුරකින්න"
"Sign Up for Newsletter","පුවත් පත්‍රිකාව සඳහා ලියාපදිංචි වන්න"
"State/Province","ප්රාන්තය/පළාත"
"Street Address","වීථි ලිපිනය"
"Submit","ඉදිරිපත් කරන්න"
"VAT Number","වැට් අංකය"
"What's this?","මෙය කුමක් ද?"
"Zip/Postal Code","සිප් / තැපැල් කේතය"
