" Copy"," පිටපත් කරන්න"
"Action","කටයුතු"
"Add New Template","නව සැකිල්ල එක් කරන්න"
"Add to Queue","පෝලිමට එකතු කරන්න"
"Allow Guest Subscription","අමුත්තන්ගේ දායකත්වයට ඉඩ දෙන්න"
"Are you sure that you want to strip all tags?","ඔබට සියලුම ටැග් ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Back","ආපසු"
"Cancel","අවලංගු කරන්න"
"Cancelled","අවලංගු කළා"
"Confirmation Email Sender","තහවුරු කිරීම ඊමේල් යවන්නා"
"Confirmation Email Template","තහවුරු කිරීමේ ඊමේල් සැකිල්ල"
"Convert to Plain Text","සරල පෙළ බවට පරිවර්තනය කරන්න"
"Create Newsletter Template","පුවත් පත්‍රිකා ආකෘතියක් සාදන්න"
"Customer","පාරිභෝගික"
"Customer First Name","පාරිභෝගික මුල් නම"
"Customer Last Name","පාරිභෝගිකයාගේ අවසාන නම"
"Date Added","එකතු කළ දිනය"
"Delete","මකන්න"
"Delete Selected Problems","තෝරාගත් ගැටළු මකන්න"
"Delete Template","අච්චුව මකන්න"
"Do you really want to cancel the queue?","ඔබට ඇත්තටම පෝලිම අවලංගු කිරීමට අවශ්‍යද?"
"Edit Newsletter","පුවත් පත්‍රිකාව සංස්කරණය කරන්න"
"Edit Newsletter Template","පුවත් පත්‍රිකා අච්චුව සංස්කරණය කරන්න"
"Edit Queue","පෝලිම සංස්කරණය කරන්න"
"Edit Template","සැකිල්ල සංස්කරණය කරන්න"
"Email","විද්යුත් තැපෑල"
"Enter your email address","ඔබගේ ඊමේල් ලිපිනය ඇතුලත් කරන්න"
"Error Code","දෝෂ කේතය"
"Error Text","දෝෂ පෙළ"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","දායකත්වයෙන් ඉවත් වීමට මෙම සබැඳිය අනුගමනය කරන්න<!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","අමුත්තන්ගේ"
"ID","හැඳුනුම්පත"
"Message","පණිවුඩය"
"Need to Confirm","තහවුරු කිරීමට අවශ්යයි"
"New Newsletter Template","නව පුවත් පත්‍රිකා අච්චුව"
"New Template","නව සැකිල්ල"
"Newsletter","පුවත් පත්‍රිකාව"
"Newsletter Message Preview","පුවත් පත්‍රිකා පණිවිඩ පෙරදසුන"
"Newsletter Problem Reports","පුවත් පත්‍රිකා ගැටළු වාර්තා"
"Newsletter Queue","ප්‍රවෘත්ති පත්‍ර පෝලිම"
"Newsletter Styles","පුවත් පත්‍රිකා ශෛලීන්"
"Newsletter Subscribers","පුවත් පත්‍රිකා ග්‍රාහකයින්"
"Newsletter Subscription","පුවත් පත්‍රිකා දායකත්වය"
"Newsletter Subscriptions","පුවත් පත්‍රිකා දායකත්ව"
"Newsletter Templates","පුවත් පත්ර ආකෘති"
"Newsletter subscription confirmation","පුවත් පත්‍රිකා දායකත්වය තහවුරු කිරීම"
"Newsletter subscription success","පුවත් පත්‍රිකා දායකත්වය සාර්ථකයි"
"Newsletter unsubscription success","පුවත් පත්‍රිකා දායකත්වයෙන් ඉවත් වීම සාර්ථකයි"
"No Templates Found","සැකිලි හමු නොවිණි"
"Not Activated","සක්රිය කර නැත"
"Not Sent","යවා නැත"
"Pause","නවත්වන්න"
"Paused","විරාම කළා"
"Please enter a valid email address.","කරණාකර වලංගු ඊතැපැල් ලිපිනයක් ඇතුළු කරන්න."
"Preview","පෙරදසුන"
"Preview Template","පෙරදසුන් අච්චුව"
"Processed","සකසන ලදී"
"Queue Date Start","පෝලිම් දිනය ආරම්භය"
"Queue Information","පෝලිම් තොරතුරු"
"Queue Start","පෝලිම් ආරම්භය"
"Queue Subject","පෝලිම් විෂය"
"Recipients","ලබන්නන්"
"Reset","යළි පිහිටුවන්න"
"Resume","අරඹන්න"
"Return HTML Version","HTML අනුවාදය ආපසු දෙන්න"
"Save As","ලෙස සුරකින්න"
"Save Newsletter","පුවත් පත්‍රිකාව සුරකින්න"
"Save Template","සැකිල්ල සුරකින්න"
"Save and Resume","සුරකින්න සහ නැවත ආරම්භ කරන්න"
"Security","ආරක්ෂක"
"Sender","යවන්නා"
"Sender Email","යවන්නාගේ ඊමේල්"
"Sender Name","යවන්නාගේ නම"
"Sending","යවනවා"
"Sent","යවා ඇත"
"Sign Up for Our Newsletter:","අපගේ පුවත් පත්‍රිකාව සඳහා ලියාපදිංචි වන්න:"
"Start","ආරම්භ කරන්න"
"Status","තත්ත්වය"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Subject","විෂය"
"Submit","ඉදිරිපත් කරන්න"
"Subscribe","දායක වන්න"
"Subscribed","දායක විය"
"Subscriber","ග්රාහකයා"
"Subscribers","ග්රාහකයින්"
"Subscribers From","ග්‍රාහකයින් වෙතින්"
"Subscription Options","දායකත්ව විකල්ප"
"Success Email Sender","සාර්ථක ඊමේල් යවන්නා"
"Success Email Template","සාර්ථක ඊමේල් අච්චුව"
"Template Content","සැකිලි අන්තර්ගතය"
"Template Information","සැකිලි තොරතුරු"
"Template Name","සැකිල්ල නම"
"Template Styles","සැකිලි මෝස්තර"
"Template Subject","සැකිලි විෂය"
"Template Type","සැකිලි වර්ගය"
"Thank you for your subscription.","ඔබගේ දායකත්වයට ස්තූතියි."
"This email address is already assigned to another user.","මෙම ඊමේල් ලිපිනය දැනටමත් වෙනත් පරිශීලකයෙකුට පවරා ඇත."
"Type","ටයිප් කරන්න"
"Unconfirmed","තහවුරු කර නැත"
"Unsubscribe","දායක නොවන්න"
"Unsubscribe Selected","දායකත්වයෙන් ඉවත් වන්න තෝරන ලදී"
"Unsubscribed","දායක නොවීය"
"Unsubscription Email Sender","දායක නොවීම ඊමේල් යවන්නා"
"Unsubscription Email Template","දායක නොවීම ඊමේල් අච්චුව"
"View Newsletter","පුවත් පත්‍රිකාව බලන්න"
"Website","වෙබ් අඩවිය"
"Your subscription has been confirmed.","ඔබගේ දායකත්වය තහවුරු කර ඇත."
