"Action","කටයුතු"
"Add","එකතු කරන්න"
"Add to Cart","ගැලට එක් කරන්න"
"Add to Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Approved","අනුමත කළා"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure?","ඔබට විශ්වාසද?"
"Back","ආපසු"
"Block Information","තොරතුරු අවහිර කරන්න"
"Change status","තත්ත්වය වෙනස් කරන්න"
"Country","රට"
"Customer Since","පාරිභෝගික සිට"
"Customers","පාරිභෝගිකයන්"
"Delete","මකන්න"
"Disabled","ආබාධිතයි"
"Email","විද්යුත් තැපෑල"
"First Name","මුල් නම"
"General Information","සාමාන්ය තොරතුරු"
"Grid","ජාලකය"
"ID","හැඳුනුම්පත"
"Last Name","අවසන් නම"
"List","ලැයිස්තුව"
"Name","නම"
"Pending","පොරොත්තුවෙන්"
"Price","මිල"
"Product Name","නිෂ්පාදන නාමය"
"Products","නිෂ්පාදන"
"Remove","ඉවත් කරන්න"
"SKU","කේතය"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Status","තත්ත්වය"
"Store View","ගබඩා දර්ශනය"
"Tags","ටැග්"
"Update","යාවත්කාලීන කරන්න"
"ZIP/Post Code","ZIP/තැපැල් කේතය"
"[STORE VIEW]","[ගබඩා දසුන]"
