"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Attribute Code","ගුණාංග කේතය"
"Attribute Label","ගුණාංග ලේබලය"
"Begin data validation","දත්ත වලංගු කිරීම ආරම්භ කරන්න"
"Cannot get autoincrement value","ස්වයං වර්ධක අගය ලබා ගත නොහැක"
"Check Data","දත්ත පරීක්ෂා කරන්න"
"Customers","පාරිභෝගිකයන්"
"Delete Entities","ආයතන මකන්න"
"Destination file is not writable","ගමනාන්ත ගොනුව ලිවිය නොහැක"
"Entity Type","ආයතන වර්ගය"
"Entity is unknown","ආයතනය නොදනී"
"Export","අපනයන"
"Export File Format","අපනයන ගොනු ආකෘතිය"
"Export Settings","අපනයන සැකසුම්"
"File is valid! To start import process press ""Import"" button","ගොනුව වලංගු වේ! ආනයන ක්‍රියාවලිය ආරම්භ කිරීමට ""ආනයන"" බොත්තම ඔබන්න"
"Filter","පෙරහන"
"From","සිට"
"Import","ආනයන"
"Import Behavior","ආයාත හැසිරීම"
"Import Settings","ආයාත සැකසුම්"
"Import/Export","ආනයන අපනයන"
"No valid data sent","වලංගු දත්ත යවා නැත"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","කරුණාකර දෝෂ නිවැරදි කර ගොනුව නැවත උඩුගත කරන්න නැතහොත් දෝෂ සහිත පේළි මඟ හැරීමට ""ආයාත කරන්න"" බොත්තම ඔබන්න"
"Products","නිෂ්පාදන"
"Select File to Import","ආයාත කිරීමට ගොනුව තෝරන්න"
"Status","තත්ත්වය"
"There are no product types available for export","අපනයනය සඳහා ලබා ගත හැකි නිෂ්පාදන වර්ග නොමැත"
"To","වෙත"
"Unknown attribute filter type","නොදන්නා ගුණාංග පෙරහන වර්ගය"
