"--Please Select--","--කරුණාකර තෝරන්න--"
"API Login ID","API පිවිසුම් ID"
"Accepted Currency","පිළිගත් මුදල්"
"Authorize.net Direct Post","Authorize.net සෘජු තැපැල්"
"Card Verification Number","කාඩ් සත්යාපනය අංකය"
"Card Verification Number Visual Reference","කාඩ්පත් සත්‍යාපන අංකය දෘශ්‍ය යොමුව"
"Close","වසන්න"
"Credit Card Information","ක්රෙඩිට් කාඩ් තොරතුරු"
"Credit Card Number","ණය පත් අංකය"
"Credit Card Type","ක්රෙඩිට් කාඩ් වර්ගය"
"Credit Card Types","ක්රෙඩිට් කාඩ් වර්ග"
"Credit Card Verification","ක්‍රෙඩිට් කාඩ් සත්‍යාපනය"
"Debug","දෝෂහරණය කරන්න"
"Email Customer","පාරිභෝගිකයාට විද්‍යුත් තැපැල් කරන්න"
"Enabled","සබල කර ඇත"
"Expiration Date","කල්පිරෙන දිනය"
"Gateway URL","ද්වාර URL"
"Maximum Order Total","උපරිම ඇණවුම මුළු"
"Merchant MD5","වෙළෙන්දා MD5"
"Merchant's Email","වෙළෙන්දාගේ විද්‍යුත් තැපෑල"
"Minimum Order Total","අවම ඇණවුම මුළු"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Test Mode","පරීක්ෂණ මාදිලිය"
"Title","ශීර්ෂය"
"Transaction Key","ගනුදෙනු යතුර"
"What is this?","මේ කුමක් ද?"
