"Action","කටයුතු"
"Add Sitemap","අඩවි සිතියම එක් කරන්න"
"Always","සැමවිටම"
"CMS Pages Options","CMS පිටු විකල්ප"
"Categories Options","කාණ්ඩ විකල්ප"
"Daily","දිනපතා"
"Edit Sitemap","අඩවි සිතියම සංස්කරණය කරන්න"
"Enabled","සබල කර ඇත"
"Error Email Recipient","ඊමේල් ලබන්නාගේ දෝෂයකි"
"Error Email Sender","ඊමේල් යවන්නාගේ දෝෂයකි"
"Error Email Template","දෝෂ ඊමේල් සැකිල්ල"
"Filename","ගොනුවේ නම"
"Frequency","සංඛ්යාතය"
"Generate","උත්පාදනය කරන්න"
"Generation Settings","උත්පාදන සැකසුම්"
"Hourly","පැයකට වරක්"
"ID","හැඳුනුම්පත"
"Link for Google","Google සඳහා සබැඳිය"
"Monthly","මාසික"
"Never","කවදාවත් නැහැ"
"New Sitemap","නව අඩවි සිතියම"
"Path","මාර්ගය"
"Priority","ප්රමුඛත්වය"
"Products Options","නිෂ්පාදන විකල්ප"
"Sitemap","අඩවි සිතියම"
"Sitemap generate Warnings","අඩවි සිතියම අනතුරු ඇඟවීම් ජනනය කරයි"
"Start Time","ආරම්භක වේලාව"
"Store View","ගබඩා දර්ශනය"
"The priority must be between 0 and 1.","ප්‍රමුඛතාවය 0 සහ 1 අතර විය යුතුය."
"This sitemap no longer exists.","මෙම අඩවි සිතියම තවදුරටත් නොපවතී."
"Weekly","සතිපතා"
"Yearly","වාර්ෂිකව"
