"Actions","ක්රියාවන්"
"Active","ක්රියාකාරී"
"Add New Rule","නව රීතිය එක් කරන්න"
"Alphabetical","අකාරාදී"
"Alphanumeric","අක්ෂරාංක"
"Apply","අයදුම් කරන්න"
"Apply To","වෙත අයදුම් කරන්න"
"Apply to Shipping Amount","නැව්ගත කිරීමේ මුදලට අයදුම් කරන්න"
"Are you sure you want to delete the selected coupon(s)?","තෝරාගත් කූපනය(ය) මැකීමට අවශ්‍ය බව ඔබට විශ්වාසද?"
"Auto","ඔටෝ"
"Auto Generated Specific Coupon Codes","ස්වයංක්‍රීයව ජනනය කරන ලද විශේෂිත කූපන් කේත"
"Buy X get Y free (discount amount is Y)","X මිලදී ගන්න Y නොමිලේ ලබා ගන්න (වට්ටම් මුදල Y වේ)"
"By Fixed value","ස්ථාවර අගය අනුව"
"By Percentage","ප්‍රතිශතය අනුව"
"Can't acquire coupon.","කූපනය ලබා ගත නොහැක."
"Cart Attribute","කරත්ත ගුණාංගය"
"Catalog","නාමාවලිය"
"Code Format","කේත ආකෘතිය"
"Code Length","කේත දිග"
"Code Prefix","කේත උපසර්ගය"
"Code Suffix","කේත උපසර්ගය"
"Conditions","කොන්දේසි"
"Conditions combination","කොන්දේසි සංයෝජනය"
"Coupon","කූපනය"
"Coupon Code","කූපන් කේතය"
"Coupon Qty","කූපන් Qty"
"Coupon with the same code","එකම කේතය සහිත කූපනය"
"Created On","මත නිර්මාණය කරන ලදී"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Dash Every X Characters","සෑම X අක්ෂරයකටම ඩෑෂ් කරන්න"
"Default Label","පෙරනිමි ලේබලය"
"Default Rule Label for All Store Views","සියලුම වෙළඳසැල් බැලීම් සඳහා පෙරනිමි රීති ලේබලය"
"Description","විස්තර"
"Discount Amount","වට්ටම් මුදල"
"Discount Qty Step (Buy X)","වට්ටම් Qty පියවර (X මිලදී ගන්න)"
"Edit Rule","රීතිය සංස්කරණය කරන්න"
"Excluding prefix, suffix and separators.","උපසර්ගය, උපසර්ගය සහ බෙදුම්කරුවන් හැර."
"FOUND","හමු විය"
"Fixed amount discount","ස්ථාවර මුදල වට්ටමක්"
"Fixed amount discount for whole cart","සම්පූර්ණ කරත්තය සඳහා ස්ථාවර වට්ටමක්"
"For matching items only","ගැළපෙන අයිතම සඳහා පමණි"
"For shipment with matching items","ගැලපෙන අයිතම සමඟ නැව්ගත කිරීම සඳහා"
"Free Shipping","ගාස්තු රහිත නැව්ගත කිරීම"
"General Information","සාමාන්ය තොරතුරු"
"Generate","උත්පාදනය කරන්න"
"ID","හැඳුනුම්පත"
"If empty no separation.","හිස් නම් වෙන්වීමක් නැත."
"Inactive","අක්රියයි"
"Labels","ලේබල්"
"Manage Coupon Codes","කූපන් කේත කළමනාකරණය කරන්න"
"Maximum Qty Discount is Applied To","උපරිම Qty වට්ටමක් අදාළ වේ"
"NOT FOUND","හමු වුණේ නැහැ"
"NOT LOGGED IN","ලොග් වී නැත"
"New Rule","නව රීතිය"
"No","නැත"
"No Coupon","කූපනයක් නැත"
"Number of Uses","භාවිත ගණන"
"Numeric","සංඛ්යාත්මක"
"Payment Method","ගෙවීම් ක්රමය"
"Percent of product price discount","නිෂ්පාදන මිල අඩු කිරීමේ ප්‍රතිශතය"
"Period","කාලය"
"Price in cart","කරත්තයේ මිල"
"Priority","ප්රමුඛත්වය"
"Product attribute combination","නිෂ්පාදන ගුණාංග සංයෝජනය"
"Products subselection","නිෂ්පාදන උප තේරීම"
"Promotions","උසස්වීම්"
"Public In RSS Feed","RSS සංග්‍රහයේ පොදු"
"Quantity in cart","කරත්තයේ ප්‍රමාණය"
"Row total in cart","කරත්තයේ මුළු පේළිය"
"Rule Information","රීති තොරතුරු"
"Rule Name","රීතියේ නම"
"Rule is not defined","රීතිය අර්ථ දක්වා නැත"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Shipping Country","නැව් රට"
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"Shipping Postcode","නැව්ගත කිරීමේ තැපැල් කේතය"
"Shipping Region","නැව් කලාපය"
"Shipping State/Province","නැව්ගත කිරීමේ ප්‍රාන්තය/පළාත"
"Special Price","විශේෂ මිල"
"Specific Coupon","විශේෂිත කූපනය"
"Status","තත්ත්වය"
"Store View Specific Labels","ගබඩා බලන්න විශේෂිත ලේබල්"
"Subtotal","උප එකතුව"
"This rule no longer exists.","මෙම රීතිය තවදුරටත් නොපවතී."
"Times Used","භාවිතා කළ වේලාවන්"
"To Fixed Value","ස්ථාවර අගයට"
"To Percentage","ප්‍රතිශතයට"
"Total","සමස්ත"
"Total Amount","මුලු වටිනාකම"
"Total Items Quantity","මුළු අයිතම ප්‍රමාණය"
"Total Weight","සම්පූර්ණ බර"
"Update the Product","නිෂ්පාදනය යාවත්කාලීන කරන්න"
"Use Auto Generation","ස්වයංක්‍රීය උත්පාදනය භාවිතා කරන්න"
"Used","පාවිච්චි කළා"
"Uses per Coupon","කූපනයකට භාවිතා වේ"
"Uses per Customer","එක් පාරිභෝගිකයෙකුට භාවිතා වේ"
"Website","වෙබ් අඩවිය"
"Websites","වෙබ් අඩවි"
"Yes","ඔව්"
"total amount","මුලු වටිනාකම"
"total quantity","මුළු ප්රමාණය"
