" for more information or "," වැඩි විස්තර සඳහා හෝ "
"# of Items (and above)","අයිතම # (සහ ඉහළ)"
"# of Items vs. Destination","අයිතම # එදිරිව ගමනාන්තය"
"Allow Shipping to Multiple Addresses","බහුවිධ ලිපින වෙත යැවීමට ඉඩ දෙන්න"
"Calculate Handling Fee","හැසිරවීමේ ගාස්තුව ගණනය කරන්න"
"Carrier:","වාහකය:"
"City","නගරය"
"Close Window","කවුළුව වසන්න"
"Condition","තත්ත්වය"
"Country","රට"
"Custom Value","අභිරුචි අගය"
"Date","දිනය"
"Delivered on:","භාර දුන්නේ:"
"Description","විස්තර"
"Displayed Error Message","දෝෂ පණිවිඩය පෙන්වයි"
"Divide to equal weight (one request)","සමාන බරකට බෙදන්න (එක් ඉල්ලීමක්)"
"Enabled","සබල කර ඇත"
"Error:","දෝෂය:"
"Export","අපනයන"
"Fixed","ස්ථාවර"
"Flat Rate","සමවර්ත අනුපාතිකය"
"Free Shipping","ගාස්තු රහිත නැව්ගත කිරීම"
"Handling Fee","හැසිරවීමේ ගාස්තුව"
"Import","ආනයන"
"Include Virtual Products in Price Calculation","මිල ගණන් ගණනය කිරීමේදී අතථ්‍ය නිෂ්පාදන ඇතුළත් කරන්න"
"Info:","තොරතුරු:"
"Local Time","දේශීය වේලාව"
"Location","ස්ථානය"
"Maximum Qty Allowed for Shipping to Multiple Addresses","බහුවිධ ලිපින වෙත නැව්ගත කිරීම සඳහා අවසර දී ඇති උපරිම ප්‍රමාණය"
"Method Name","ක්රමයේ නම"
"Minimum Order Amount","අවම ඇණවුම් මුදල"
"None","කිසිවක් නැත"
"Options","විකල්ප"
"Order Subtotal (and above)","ඇණවුම් උප එකතුව (සහ ඉහළ)"
"Origin","සම්භවය"
"Per Order","ඇණවුම අනුව"
"Per Package","පැකේජයකට"
"Percent","සියයට"
"Price","මිල"
"Price vs. Destination","මිල එදිරිව ගමනාන්තය"
"Region/State","කලාපය/ප්රාන්තය"
"Ship to Applicable Countries","අදාළ රටවලට නැව්ගත කරන්න"
"Ship to Specific Countries","විශේෂිත රටවලට නැව්ගත කරන්න"
"Shipment #","නැව්ගත #"
"Shipping Methods","නැව්ගත කිරීමේ ක්රම"
"Shipping Settings","නැව්ගත කිරීමේ සැකසුම්"
"Show Method if Not Applicable","අදාළ නොවේ නම් ක්‍රමය පෙන්වන්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Status:","තත්ත්වය:"
"Store Pickup","ගබඩා පිකප්"
"Street Address","වීථි ලිපිනය"
"Street Address Line 2","වීදි ලිපින පේළිය 2"
"Table Rates","වගු ගාස්තු"
"The shipping module is not available.","නැව්ගත කිරීමේ මොඩියුලය නොමැත."
"There is no tracking available for this shipment.","මෙම නැව්ගත කිරීම සඳහා ලුහුබැඳීමක් නොමැත."
"There is no tracking available.","ලබා ගත හැකි ලුහුබැඳීමක් නොමැත."
"Title","ශීර්ෂය"
"Track:","ධාවන පථය:"
"Tracking Information","ලුහුබැඳීමේ තොරතුරු"
"Tracking Number:","සෙවුම් අංකය:"
"Tracking information is currently not available. Please ","ලුහුබැඳීමේ තොරතුරු දැනට නොමැත. කරුණාකර "
"Type","ටයිප් කරන්න"
"Use origin weight (few requests)","මුල් බර භාවිතා කරන්න (ඉල්ලීම් කිහිපයක්)"
"Weight (and above)","බර (සහ ඉහළ)"
"Weight vs. Destination","ගමනාන්තයට එරෙහිව බර"
"ZIP/Postal Code","සිප් / තැපැල් කේතය"
"contact us","අප අමතන්න"
"email us at ","අපට විද්‍යුත් තැපැල් කරන්න "
