"Actions","ක්රියාවන්"
"Are you sure?","ඔබට විශ්වාසද?"
"Date Added","එකතු කළ දිනය"
"Last Update","අවසාන යාවත්කාලීන කිරීම"
"Mark as Read","කියවූ බවට සලකුණු කරන්න"
"Message","පණිවුඩය"
"Messages Inbox","පණිවිඩ එන ලිපි"
"Notifications","දැනුම්දීම්"
"Please select messages.","කරුණාකර පණිවිඩ තෝරන්න."
"Read Details","විස්තර කියවන්න"
"Remove","ඉවත් කරන්න"
"Severity","බරපතලකම"
"Show List","ලැයිස්තුව පෙන්වන්න"
"Show Toolbar","මෙවලම් තීරුව පෙන්වන්න"
"The message has been removed.","පණිවිඩය ඉවත් කර ඇත."
"Update Frequency","යාවත්කාලීන සංඛ්යාතය"
"Use HTTPS to Get Feed","ආහාර ලබා ගැනීමට HTTPS භාවිතා කරන්න"
"Wrong message type","වැරදි පණිවිඩ වර්ගය"
"critical","විවේචනාත්මක"
"major","ප්රධාන"
"minor","සුළු"
"notice","දැනුම්දීම"
