"Add","එකතු කරන්න"
"Add New Row","නව පේළිය එක් කරන්න"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","ගොනු නාම සඳහා අක්ෂරාංක, ඉර සහ යටි ඉරි අකුරු නිර්දේශ කෙරේ. නුසුදුසු අක්ෂර '_' සමඟ ප්‍රතිස්ථාපනය වේ."
"Availability:","පවතින බව:"
"Back","ආපසු"
"Canceled","අවලංගු කළා"
"Date","දිනය"
"Default Link Title","පෙරනිමි සබැඳි මාතෘකාව"
"Default Maximum Number of Downloads","පෙරනිමි උපරිම බාගැනීම් ගණන"
"Default Sample Title","පෙරනිමි නියැදි මාතෘකාව"
"Delete","මකන්න"
"Disable Guest Checkout if Cart Contains Downloadable Items","කරත්තයේ බාගත හැකි අයිතම තිබේ නම් අමුත්තන්ගේ පිටවීම අබල කරන්න"
"Downloadable Information","බාගත හැකි තොරතුරු"
"Downloadable Product Options","බාගත කළ හැකි නිෂ්පාදන විකල්ප"
"Edit","සංස්කරණය කරන්න"
"Edit item parameters","අයිතම පරාමිතීන් සංස්කරණය කරන්න"
"Excl. Tax","හැර. බද්ද"
"File","ගොනුව"
"From:","සිට:"
"Gift Message","තෑගි පණිවිඩය"
"Guest checkout will only work with shareable.","අමුත්තන් පිටවීම බෙදාගත හැකි සමඟ පමණක් ක්‍රියා කරයි."
"In stock","ගබඩාවේ ඇත"
"Incl. Tax","ඇතුළු. බද්ද"
"Invalid download link type.","වලංගු නොවන බාගත කිරීමේ සබැඳි වර්ගය."
"Invoiced","ඉන්වොයිස් කර ඇත"
"Links can be purchased separately","සබැඳි වෙන වෙනම මිලදී ගත හැකිය"
"List","ලැයිස්තුව"
"Max. Downloads","උපරිම. භාගත කිරීම"
"Message:","පණිවුඩය:"
"Move","චලනය කරන්න"
"My Downloadable Products","මගේ බාගත හැකි නිෂ්පාදන"
"Open Links in New Window","නව කවුළුවක සබැඳි විවෘත කරන්න"
"Order #","නියෝග #"
"Order Item Status to Enable Downloads","බාගැනීම් සබල කිරීමට අයිතම තත්ත්වය ඇණවුම් කරන්න"
"Order id cannot be null","ඇණවුම් හැඳුනුම්පත ශුන්‍ය විය නොහැක"
"Order item id cannot be null","ඇණවුම් අයිතම හැඳුනුම්පත ශුන්‍ය විය නොහැක"
"Ordered","ඇණවුම් කළා"
"Out of stock","තොග අවසන්"
"Pending","පොරොත්තුවෙන්"
"Please set resource file and link type.","කරුණාකර සම්පත් ගොනුව සහ සබැඳි වර්ගය සකසන්න."
"Please specify product link(s).","කරුණාකර නිෂ්පාදන සබැඳි(ය) සඳහන් කරන්න."
"Price","මිල"
"Qty","ප්‍රමාණය"
"Refunded","ආපසු ගෙවන ලදී"
"Remaining Downloads","ඉතිරි බාගැනීම්"
"Remove","ඉවත් කරන්න"
"Remove Item","අයිතමය ඉවත් කරන්න"
"SKU","කේතය"
"Sample","නියැදිය"
"See price before order confirmation.","ඇණවුම තහවුරු කිරීමට පෙර මිල බලන්න."
"Shareable","බෙදාගත හැකි"
"Shipped","නැව්ගත කර ඇත"
"Sorry, there was an error getting requested content. Please contact the store owner.","සමාවන්න, ඉල්ලූ අන්තර්ගතය ලබා ගැනීමේ දෝෂයක් ඇති විය. කරුණාකර ගබඩා හිමිකරු අමතන්න."
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Start Download","බාගත කිරීම ආරම්භ කරන්න"
"Status","තත්ත්වය"
"Subtotal","උප එකතුව"
"The link has expired.","සබැඳිය කල් ඉකුත් වී ඇත."
"The link is not available.","සබැඳිය නොමැත."
"Title","ශීර්ෂය"
"To:","වෙත:"
"U","යූ"
"Unlimited","අසීමිතයි"
"Update","යාවත්කාලීන කරන්න"
"Use Content-Disposition","අන්තර්ගතය-ඉවතලීම භාවිතා කරන්න"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"View Order","ඇණවුම බලන්න"
"What's this?","මෙය කුමක් ද?"
"You have not purchased any downloadable products yet.","ඔබ තවමත් බාගත කළ හැකි නිෂ්පාදන කිසිවක් මිල දී ගෙන නැත."
"attachment","ඇමුණුම"
"download","බාගත"
"inline","පෙළට"
"sample","නියැදිය"
