"2nd Day Air","2 වන දින වාතය"
"2nd Day Air AM Letter","2 වන දින ගුවන් AM ලිපිය"
"2nd Day Air Letter","2 වන දින ගුවන් ලිපිය"
"3 Day Select","3 දින තේරීම"
"Access License Number","ප්රවේශ බලපත්ර අංකය"
"Adult Signature Required","වැඩිහිටි අත්සන අවශ්‍යයි"
"Allowed Methods","අවසර ලත් ක්රම"
"Calculate Handling Fee","හැසිරවීමේ ගාස්තුව ගණනය කරන්න"
"Canada Standard","කැනඩා සම්මත"
"Cannot retrieve shipping rates","නැව් ගාස්තු ලබා ගත නොහැක"
"Commercial","වෙළඳ"
"Configuration","මානකරනය"
"Container","කන්ටේනර්"
"Customer Packaging","පාරිභෝගික ඇසුරුම්"
"Customer Supplied Package","පාරිභෝගික සැපයූ පැකේජය"
"Debug","දෝෂහරණය කරන්න"
"Delivery Confirmation","භාරදීම තහවුරු කිරීම"
"Destination Type","ගමනාන්ත වර්ගය"
"Development","සංවර්ධනය"
"Displayed Error Message","දෝෂ පණිවිඩය පෙන්වයි"
"Documents","ලේඛන"
"Empty response","හිස් ප්‍රතිචාරය"
"Enable Negotiated Rates","සාකච්ඡා කළ ගාස්තු සබල කරන්න"
"Enabled for Checkout","පිටවීම සඳහා සබල කර ඇත"
"First-Class Mail International Large Envelope","පළමු පන්තියේ තැපැල් ජාත්‍යන්තර විශාල ලියුම් කවරය"
"First-Class Mail International Letter","පළමු පන්තියේ තැපැල් ජාත්‍යන්තර ලිපිය"
"First-Class Mail International Postcard","පළමු පන්තියේ තැපැල් ජාත්‍යන්තර තැපැල්පත්"
"First-Class Mail Large Envelope","පළමු පන්තියේ තැපැල් විශාල ලියුම් කවරය"
"First-Class Mail Large Postcards","පළමු පන්තියේ තැපැල් විශාල තැපැල්පත්"
"First-Class Mail Letter","පළමු පන්තියේ තැපැල් ලිපිය"
"First-Class Mail Postcards","පළමු පන්තියේ තැපැල් තැපැල්පත්"
"First-Class Package International Service","පළමු පන්තියේ පැකේජ ජාත්‍යන්තර සේවය"
"First-Class Package Service","පළමු පන්තියේ පැකේජ සේවාව"
"First-Class Package Service - Retail","පළමු පන්තියේ පැකේජ සේවාව - සිල්ලර"
"First-Class Package Service Hold For Pickup","පිකප් සඳහා පළමු පන්තියේ පැකේජ සේවා රඳවා තබා ගන්න"
"Flat","පැතලි"
"Flat-Rate Envelope","පැතලි අනුපාත ලියුම් කවරය"
"Free Method","නිදහස් ක්රමය"
"Gateway URL","ද්වාර URL"
"Gift","තෑගි"
"Girth","වට ප්‍රමාණය"
"Global Express Guaranteed Document","Global Express සහතික කළ ලේඛනය"
"Global Express Guaranteed Non-Document Non-Rectangular","ග්ලෝබල් එක්ස්ප්‍රස් සහතික කරන ලද ලේඛන නොවන සෘජුකෝණාස්‍ර"
"Global Express Guaranteed Non-Document Rectangular","Global Express සහතික කරන ලද ලේඛන නොවන සෘජුකෝණාස්‍රය"
"Ground","බිම"
"Ground Commercial","බිම් වාණිජ"
"Ground Residential","බිම් නේවාසික"
"Handling Applied","හැසිරවීම යෙදී ඇත"
"Handling Fee","හැසිරවීමේ ගාස්තුව"
"Height","උස"
"Key","යතුර"
"Kilograms","කිලෝ ග්රෑම්"
"Large","මහා"
"Large Express Box","විශාල එක්ස්ප්‍රස් පෙට්ටිය"
"Length","දිග"
"Letter","ලිපියක්"
"Live","සජීවි"
"Machinable","යන්ත්‍රගත කළ හැකි"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","උපරිම පැකේජ බර (උපරිම සහය දක්වන නැව්ගත කිරීමේ බර සඳහා කරුණාකර ඔබේ නැව්ගත කිරීමේ වාහකයාගෙන් විමසන්න)"
"Medium Express Box","මධ්‍යම අධිවේගී පෙට්ටිය"
"Merchandise","වෙළඳ භාණ්ඩ"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","අවම පැකේජ බර (අවම ආධාරක නැව්ගත කිරීමේ බර සඳහා කරුණාකර ඔබේ නැව්ගත කිරීමේ වාහකයාගෙන් විමසන්න)"
"Mode","මාදිලිය"
"Next Day Air","ඊළඟ දවසේ වාතය"
"Next Day Air Early AM","ඊළඟ දවසේ එයාර් එම්.එම්"
"Next Day Air Early AM Letter","ඊළඟ දවසේ එයාර්ලි AM ලිපිය"
"Next Day Air Intra (Puerto Rico)","ඊළඟ දවසේ ගුවන් අභ්‍යන්තර (Puerto Rico)"
"Next Day Air Letter","ඊළඟ දවසේ ගුවන් ලිපිය"
"Next Day Air Saver","ඊළඟ දවසේ එයාර් සේවර්"
"Next Day Air Saver Letter","ඊළඟ දවසේ එයාර් සේවර් ලිපිය"
"No","නැත"
"No packages for request","ඉල්ලීම සඳහා පැකේජ නොමැත"
"Non-rectangular","සෘජුකෝණාස්රාකාර නොවන"
"None","කිසිවක් නැත"
"Not Required","අවශ්ය නෑ"
"Order","නියෝග"
"Origin of the Shipment","නැව්ගත කිරීමේ සම්භවය"
"Other","වෙනත්"
"Package","පැකේජය"
"Packages Request Type","පැකේජ ඉල්ලීම් වර්ගය"
"Pallet","පැලට්"
"Parcel","පාර්සලය"
"Password","මුරපදය"
"Pickup Method","පිකප් ක්‍රමය"
"Pounds","පවුම්"
"Priority Mail","ප්රමුඛ තැපෑල"
"Priority Mail Express","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස්"
"Priority Mail Express Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් පැතලි ගාස්තු ලියුම් කවරය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Express Hold For Pickup","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Express International","ප්‍රමුඛතා Mail Express International"
"Priority Mail Express International Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ජාත්‍යන්තර පැතලි අනුපාත ලියුම් කවරය"
"Priority Mail Express International Legal Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ජාත්‍යන්තර නීතිමය පැතලි අනුපාත ලියුම් කවරය"
"Priority Mail Express International Padded Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ජාත්‍යන්තර පිරවූ පැතලි අනුපාත ලියුම් කවරය"
"Priority Mail Express Legal Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් නීත්‍යානුකූල පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් නීත්‍යානුකූල පැතලි ගාස්තු ලියුම් කවරය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Express Padded Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් පෑඩ් පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් පැඩ්ඩ් පැතලි ගාස්තු ලියුම් කවරය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Express Sunday/Holiday Delivery","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ඉරිදා/නිවාඩු බෙදා හැරීම"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ඉරිදා/නිවාඩු බෙදා හැරීමේ පැතලි ගාස්තු පෙට්ටි"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ඉරිදා/නිවාඩු බෙදා හැරීමේ පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ඉරිදා/නිවාඩු බෙදා හැරීමේ නීත්‍යානුකූල පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","ප්‍රමුඛතා තැපැල් එක්ස්ප්‍රස් ඉරිදා/නිවාඩු බෙදා හැරීමේ පිරවූ පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Flat Rate Envelope","ප්‍රමුඛතා තැපැල් පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපැල් පැතලි ගාස්තු ලියුම් කවරය ලබා ගැනීම සඳහා රඳවා තබා ගන්න"
"Priority Mail Gift Card Flat Rate Envelope","ප්‍රමුඛතා තැපැල් තෑගි කාඩ්පත පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපෑල තෑගි කාඩ්පත පැතලි මිල ලියුම් කවරය ලබා ගැනීම සඳහා රඳවා තබා ගන්න"
"Priority Mail Hold For Pickup","පිකප් සඳහා ප්‍රමුඛතා තැපැල් රඳවා තබා ගැනීම"
"Priority Mail International","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තරය"
"Priority Mail International DVD Flat Rate priced box","ප්‍රමුඛතා තැපෑල ජාත්‍යන්තර DVD පැතලි මිල පෙට්ටිය"
"Priority Mail International Flat Rate Envelope","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail International Gift Card Flat Rate Envelope","ප්‍රමුඛ තැපැල් ජාත්‍යන්තර තෑගි කාඩ්පත පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail International Large Flat Rate Box","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර විශාල පැතලි අනුපාත පෙට්ටිය"
"Priority Mail International Large Video Flat Rate priced box","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර විශාල වීඩියෝ පැතලි මිල පෙට්ටිය"
"Priority Mail International Legal Flat Rate Envelope","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර නීතිමය පැතලි අනුපාත ලියුම් කවරය"
"Priority Mail International Medium Flat Rate Box","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර මධ්‍යම පැතලි ගාස්තු පෙට්ටිය"
"Priority Mail International Padded Flat Rate Envelope","ප්‍රමුඛතා තැපෑල ජාත්‍යන්තර පිරවූ පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail International Small Flat Rate Box","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර කුඩා පැතලි අනුපාත පෙට්ටිය"
"Priority Mail International Small Flat Rate Envelope","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර කුඩා පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail International Window Flat Rate Envelope","ප්‍රමුඛතා තැපැල් ජාත්‍යන්තර කවුළු පැතලි අනුපාත ලියුම් කවරය"
"Priority Mail Large Flat Rate Box","ප්‍රමුඛ තැපැල් විශාල පැතලි ගාස්තු පෙට්ටිය"
"Priority Mail Large Flat Rate Box Hold For Pickup","ප්‍රමුඛතා තැපෑල විශාල පැතලි මිල පෙට්ටිය පිකප් සඳහා රඳවා තබා ගන්න"
"Priority Mail Legal Flat Rate Envelope","ප්‍රමුඛතා තැපැල් නීත්‍යානුකූල පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපැල් නීත්‍යානුකූල පැතලි ගාස්තු ලියුම් කවරය ලබා ගැනීම සඳහා රඳවා තබා ගන්න"
"Priority Mail Medium Flat Rate Box","ප්‍රමුඛතා තැපැල් මධ්‍යම පැතලි ගාස්තු පෙට්ටිය"
"Priority Mail Medium Flat Rate Box Hold For Pickup","ප්‍රමුඛතා තැපැල් මධ්‍යම පැතලි මිල පෙට්ටිය ලබා ගැනීම සඳහා රඳවා තබා ගන්න"
"Priority Mail Padded Flat Rate Envelope","ප්‍රමුඛතා තැපැල් පිරවූ පැතලි ගාස්තු ලියුම් කවරය"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","ප්‍රමුඛතා තැපෑලෙන් පිරුණු පැතලි ගාස්තු ලියුම් කවරය ලබා ගැනීම සඳහා රඳවා තබා ගන්න"
"Priority Mail Regional Rate Box A","ප්‍රමුඛ තැපැල් කලාපීය අනුපාත පෙට්ටිය A"
"Priority Mail Regional Rate Box A Hold For Pickup","ප්‍රමුඛතා තැපැල් කලාපීය ගාස්තු පෙට්ටිය පිකප් සඳහා රඳවා තබා ගැනීම"
"Priority Mail Regional Rate Box B","ප්‍රමුඛ තැපැල් කලාපීය අනුපාත පෙට්ටිය B"
"Priority Mail Regional Rate Box B Hold For Pickup","ප්‍රමුඛතා තැපැල් කලාපීය අනුපාත පෙට්ටිය B පිකප් සඳහා රඳවා තබා ගන්න"
