"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Actions","ක්රියාවන්"
"Add Layout Update","පිරිසැලසුම් යාවත්කාලීන එකතු කරන්න"
"All","සියලුම"
"All Pages","සියලුම පිටු"
"All Product Types","සියලුම නිෂ්පාදන වර්ග"
"Anchor Categories","නැංගුරම් කාණ්ඩ"
"Apply","අයදුම් කරන්න"
"Assign to Store Views","ගබඩා දර්ශන වෙත පවරන්න"
"Big Image","විශාල රූපය"
"Categories","වර්ග"
"Choose...","තෝරා..."
"Close","වසන්න"
"Continue","දිගටම කරගෙන යන්න"
"Default Template","පෙරනිමි සැකිල්ල"
"Delete","මකන්න"
"Design Package/Theme","නිර්මාණ පැකේජය/තේමාව"
"Export to:","අපනයනය කරන්න:"
"Generic Pages","සාමාන්ය පිටු"
"Images","රූප"
"Insert Widget","Widget ඇතුළු කරන්න"
"Layout Updates","පිරිසැලසුම් යාවත්කාලීන"
"Manage Widget Instances","විජට් අවස්ථා කළමනාකරණය කරන්න"
"New Widget Instance","නව විජට් අවස්ථාව"
"Next page","ඊළඟ පිටුව"
"Non-Anchor Categories","ඇන්කර් නොවන කාණ්ඩ"
"Not Selected","තෝරාගෙන නැත"
"Open Chooser","තේරීම විවෘත කරන්න"
"Page","පිටුව"
"Previous page","පෙර පිටුව"
"Products","නිෂ්පාදන"
"Remove Layout Update","පිරිසැලසුම් යාවත්කාලීන ඉවත් කරන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Select All","සියල්ල තෝරන්න"
"Select Visible","දෘශ්‍ය තෝරන්න"
"Settings","සැකසුම්"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Specified Page","නිශ්චිත පිටුව"
"Template","සැකිල්ල"
"The information in this tab has been changed.","මෙම පටිත්තෙහි තොරතුරු වෙනස් කර ඇත."
"The widget instance has been deleted.","විජට් අවස්ථාව මකා ඇත."
"The widget instance has been saved.","විජට් අවස්ථාව සුරැකී ඇත."
"Thumbnail","සිඟිති රුව"
"Type","ටයිප් කරන්න"
"Unselect All","සියල්ල තෝරා නොගන්න"
"Unselect Visible","දෘශ්‍ය තේරීම ඉවත් කරන්න"
"View","දැක්ම"
"Widget","විජට්"
"Widget ID","විජට් හැඳුනුම්පත"
"Widget Insertion","විජට් ඇතුළත් කිරීම"
"Widget Options","Widget විකල්ප"
"Widget Type","විජට් වර්ගය"
"Widgets","විජට්"
"per page","පිටුවකට"
