"Add New Rating","නව ඇගයීමක් එක් කරන්න"
"Assigned Options","පවරා ඇති විකල්ප"
"Be the first to review this product","මෙම නිෂ්පාදනය සමාලෝචනය කරන පළමු පුද්ගලයා වන්න"
"Default Value","පෙරනිමි අගය"
"Delete Rating","ශ්‍රේණිගත කිරීම මකන්න"
"ID","හැඳුනුම්පත"
"Manage Ratings","ශ්‍රේණිගත කිරීම් කළමනාකරණය කරන්න"
"New Rating","නව ශ්රේණිගත කිරීම"
"Option Title","විකල්ප මාතෘකාව"
"Option Title:","විකල්ප මාතෘකාව:"
"Rating Information","ශ්රේණිගත කිරීමේ තොරතුරු"
"Rating Title","ශ්‍රේණිගත කිරීමේ මාතෘකාව"
"Rating Visibility","ශ්‍රේණිගත කිරීමේ දෘශ්‍යතාව"
"Rating isn't Available","ශ්‍රේණිගත කිරීම ලබා ගත නොහැක"
"Save Rating","ශ්‍රේණිගත කිරීම සුරකින්න"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
