"Add Your Review","ඔබේ සමාලෝචනය එක් කරන්න"
"Administrator","පරිපාලක"
"All Reviews","සියලුම සමාලෝචන"
"Allow Guests to Write Reviews","අමුත්තන්ට සමාලෝචන ලිවීමට ඉඩ දෙන්න"
"Approved","අනුමත කළා"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure?","ඔබට විශ්වාසද?"
"Average Customer Rating","සාමාන්‍ය පාරිභෝගික ශ්‍රේණිගත කිරීම"
"Average Customer Rating:","සාමාන්‍ය පාරිභෝගික ශ්‍රේණිගත කිරීම:"
"Back","ආපසු"
"Back to Main Product Info","ප්‍රධාන නිෂ්පාදන තොරතුරු වෙත ආපසු යන්න"
"Back to My Reviews","මගේ සමාලෝචන වෙත ආපසු"
"Back to Product Reviews","නිෂ්පාදන සමාලෝචන වෙත ආපසු"
"Be the first to review this product","මෙම නිෂ්පාදනය සමාලෝචනය කරන පළමු පුද්ගලයා වන්න"
"Created On","මත නිර්මාණය කරන ලදී"
"Customer","පාරිභෝගික"
"Customer Reviews","පාරිභෝගික සමාලෝචන"
"Customers Reviews","පාරිභෝගික සමාලෝචන"
"Delete","මකන්න"
"Delete Review","සමාලෝචනය මකන්න"
"Detailed Rating","සවිස්තරාත්මක ශ්රේණිගත කිරීම"
"Guest","අමුත්තන්ගේ"
"ID","හැඳුනුම්පත"
"My Product Reviews","මගේ නිෂ්පාදන සමාලෝචන"
"My Recent Reviews","මගේ මෑත සමාලෝචන"
"Name","නම"
"New Review","නව සමාලෝචනය"
"Nickname","අන්වර්ථ නාමය"
"Not Approved","අනුමත කර නැත"
"Pending","පොරොත්තුවෙන්"
"Pending Reviews","පොරොත්තු සමාලෝචන"
"Price","මිල"
"Product","නිෂ්පාදන"
"Product Name","නිෂ්පාදන නාමය"
"Product Rating","නිෂ්පාදන ශ්රේණිගත කිරීම"
"Product Rating:","නිෂ්පාදන ශ්‍රේණිගත කිරීම:"
"Product Reviews","නිෂ්පාදන සමාලෝචන"
"Products Reviews","නිෂ්පාදන සමාලෝචන"
"Qty","ප්‍රමාණය"
"Review","සමාලෝචනය කරන්න"
"Review Details","සමාලෝචන විස්තර"
"Reviews","සමාලෝචන"
"SKU","කේතය"
"Save Review","සමාලෝචනය සුරකින්න"
"Status","තත්ත්වය"
"Submit Review","සමාලෝචනය ඉදිරිපත් කරන්න"
"Summary Rating","සාරාංශ ශ්රේණිගත කිරීම"
"Summary of Review","සමාලෝචනයේ සාරාංශය"
"Title","ශීර්ෂය"
"Type","ටයිප් කරන්න"
"Update Status","තත්ත්වය යාවත්කාලීන කරන්න"
"View Details","තොරතුරු පෙන්වන්න"
"Websites","වෙබ් අඩවි"
"Write Your Own Review","ඔබේම සමාලෝචනයක් ලියන්න"
"You have submitted no reviews.","ඔබ සමාලෝචන කිසිවක් ඉදිරිපත් කර නැත."
"You're reviewing:","ඔබ සමාලෝචනය කරන්නේ:"
