"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"A group with the same name already exists.","එකම නම සහිත කණ්ඩායමක් දැනටමත් පවතී."
"A product type is not defined for the indexer.","දර්ශක සඳහා නිෂ්පාදන වර්ගයක් අර්ථ දක්වා නැත."
"ALL GROUPS","සියලුම කණ්ඩායම්"
"AM","පෙ.ව"
"Action","කටයුතු"
"Add","එකතු කරන්න"
"Add Attribute","Attribute එකතු කරන්න"
"Add Design Change","නිර්මාණ වෙනස එකතු කරන්න"
"Add Group","කණ්ඩායම එකතු කරන්න"
"Add New","අලුතින් එකතු කරන්න"
"Add New Attribute","නව ගුණාංගයක් එක් කරන්න"
"Add New Attribute Set","නව ගුණාංග කට්ටලයක් එක් කරන්න"
"Add New Group","නව කණ්ඩායමක් එක් කරන්න"
"Add New Images","නව පින්තූර එකතු කරන්න"
"Add New Option","නව විකල්පය එක් කරන්න"
"Add New Row","නව පේළිය එක් කරන්න"
"Add New Search Term","නව සෙවුම් පදයක් එක් කරන්න"
"Add Product","නිෂ්පාදන එකතු කරන්න"
"Add Product To Websites","වෙබ් අඩවි වලට නිෂ්පාදන එක් කරන්න"
"Add Root Category","Root කාණ්ඩය එකතු කරන්න"
"Add Subcategory","උපප්රවර්ගය එකතු කරන්න"
"Add to Cart","ගැලට එක් කරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Add to Wishlist","පැතුම් ලැයිස්තුවට එක් කරන්න"
"All","සියලුම"
"All Product Types","සියලුම නිෂ්පාදන වර්ග"
"All Websites","සියලුම වෙබ් අඩවි"
"All products","සියලුම නිෂ්පාදන"
"All products - recently added products, New products - products marked as new","සියලුම නිෂ්පාදන - මෑතකදී එකතු කරන ලද නිෂ්පාදන, නව නිෂ්පාදන - නව ලෙස සලකුණු කරන ලද නිෂ්පාදන"
"Allow All Products per Page","පිටුවකට සියලුම නිෂ්පාදන ඉඩ දෙන්න"
"Amount","ප්රමාණය"
"Anchor Custom Text","ඇන්කර් අභිරුචි පෙළ"
"Anchor Custom Title","නැංගුරම් අභිරුචි මාතෘකාව"
"Apply To","වෙත අයදුම් කරන්න"
"Approved","අනුමත කළා"
"Are you sure you want to delete this category?","ඔබට මෙම ප්‍රවර්ගය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure?","ඔබට විශ්වාසද?"
"Assign","පවරන්න"
"Associated Products","ආශ්රිත නිෂ්පාදන"
"Attribute Information","ගුණාංග තොරතුරු"
"Attribute Model","ගුණාංග ආකෘතිය"
"Attribute Set","ගුණාංග කට්ටලය"
"Attribute Sets","ගුණාංග කට්ටල"
"Attributes","ගුණාංග"
"Availability:","පවතින බව:"
"Back","ආපසු"
"Backend Model","පසුපෙළ ආකෘතිය"
"Backorders","පසුපෙළ"
"Based On","මත පදනම්ව"
"Block after Info Column","තොරතුරු තීරුවෙන් පසු අවහිර කරන්න"
"Bottom/Left","පහළ/වම"
"Bottom/Right","පහළ/දකුණ"
"Bundle Items","බණ්ඩල් අයිතම"
"Cache Lifetime (Seconds)","හැඹිලි ආයු කාලය (තත්පර)"
"Cancel","අවලංගු කරන්න"
"Cart Item Attribute","කරත්ත අයිතම ගුණාංගය"
"Catalog","නාමාවලිය"
"Catalog Category Link","නාමාවලි කාණ්ඩ සබැඳිය"
"Catalog New Products List","නාමාවලිය නව නිෂ්පාදන ලැයිස්තුව"
"Catalog Price Scope","නාමාවලිය මිල විෂය පථය"
"Catalog Product Link","නාමාවලි නිෂ්පාදන සබැඳිය"
"Catalog, Search","නාමාවලිය, සෙවීම"
"Categories","වර්ග"
"Category","වර්ගය"
"Category Flat Data","ප්‍රවර්ගය පැතලි දත්ත"
"Category Link Block Template","ප්‍රවර්ග සබැඳි බ්ලොක් අච්චුව"
"Category Link Inline Template","ප්‍රවර්ග සබැඳිය පේළිගත අච්චුව"
"Category Products","කාණ්ඩයේ නිෂ්පාදන"
"Category Top Navigation","ප්‍රවර්ගය ඉහළම සංචාලනය"
"Category URL Suffix","ප්‍රවර්ග URL උපසර්ගය"
"Center","මධ්යස්ථානය"
"Change","වෙනස් කරන්න"
"Change status","තත්ත්වය වෙනස් කරන්න"
"Check items to add to the cart or","කරත්තයට එකතු කිරීමට අයිතම පරීක්ෂා කරන්න හෝ"
"Choose an Option...","විකල්පයක් තෝරන්න..."
"Clear All","සියල්ල හිස් කරන්න"
"Clear Price","පැහැදිලි මිල"
"Click for price","මිල සඳහා ක්ලික් කරන්න"
"Close Window","කවුළුව වසන්න"
"Collapse All","සියල්ල හකුලන්න"
"Comma-separated.","කොමාවකින් වෙන් කරන ලද."
"Comparable","සංසන්දනාත්මකයි"
"Compare","සසඳන්න"
"Compare Products","නිෂ්පාදන සසඳන්න"
"Conditions Combination","කොන්දේසි සංයෝජනය"
"Configure Product","නිෂ්පාදනය වින්‍යාස කරන්න"
"Continue","දිගටම කරගෙන යන්න"
"Create","නිර්මාණය කරන්න"
"Create Permanent Redirect for URLs if URL Key Changed","URL යතුර වෙනස් කළහොත් URL සඳහා ස්ථිර යළි-යොමුවීම් සාදන්න"
"Create Permanent Redirect for old URL","පැරණි URL සඳහා ස්ථිර යළි-යොමුවක් සාදන්න"
"Cross-sells","හරස් විකුණයි"
"Custom Design","අභිරුචි නිර්මාණය"
"Custom Options","අභිරුචි විකල්ප"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Customers Reviews","පාරිභෝගික සමාලෝචන"
"Data Type for Saving in Database","දත්ත සමුදායේ සුරැකීම සඳහා දත්ත වර්ගය"
"Date & Time Custom Options","දිනය සහ වේලාව අභිරුචි විකල්ප"
"Date Fields Order","දිනය ක්ෂේත්ර ඇණවුම"
"Datetime","දිනය වෙලාව"
"Decimal","දශම"
"Default Price","පෙරනිමි මිල"
"Default Price Navigation Step","පෙරනිමි මිල සංචාලන පියවර"
"Default Values","පෙරනිමි අගයන්"
"Delete","මකන්න"
"Delete Attribute","ගුණාංගය මකන්න"
"Delete Option","මකන්න විකල්පය"
"Delete Row","පේළිය මකන්න"
"Delete Search","සෙවීම මකන්න"
"Delete Selected Group","තෝරාගත් කණ්ඩායම මකන්න"
"Delete Tier","ස්ථරය මකන්න"
"Description","විස්තර"
"Design","නිර්මාණ"
"Details","විස්තර"
"Disabled","ආබාධිතයි"
"Disallowed file type.","අවසර නැති ගොනු වර්ගය."
"Display Page Control","සංදර්ශක පිටු පාලනය"
"Display Price Interval as One Price","මිල පරතරය එක් මිලක් ලෙස පෙන්වන්න"
"Display Product Count","නිෂ්පාදන ගණන පෙන්වන්න"
"Display Type","සංදර්ශක වර්ගය"
"Display in Suggested Terms","යෝජිත නියමයන් තුළ සංදර්ශනය කරන්න"
"Downloadable Information","බාගත හැකි තොරතුරු"
"Duplicate","අනුපිටපත් කරන්න"
"Edit","සංස්කරණය කරන්න"
"Edit Product Attribute","නිෂ්පාදන ගුණාංගය සංස්කරණය කරන්න"
"Edit Search","සෙවීම සංස්කරණය කරන්න"
"Email","විද්යුත් තැපෑල"
"Email to a Friend","මිතුරෙකුට ඊමේල් කරන්න"
"Empty","හිස්"
"Enable Qty Increments","Qty වැඩිවීම් සබල කරන්න"
"Enabled","සබල කර ඇත"
"Exclude","බැහැර කරන්න"
"Expand All","සියල්ල පුළුල් කරන්න"
"Failed","අසාර්ථකයි"
"Filter","පෙරහන"
"Filterable (no results)","පෙරිය හැකි (ප්‍රතිඵල නැත)"
"Filterable (with results)","පෙරිය හැකි (ප්‍රතිඵල සහිත)"
"First Name","මුල් නම"
"Fixed","ස්ථාවර"
"For the last time placed.","අවසන් වරට තබා ඇත."
"Frontend Model","ඉදිරිපස ආකෘතිය"
"Gallery","ගැලරිය"
"General Information","සාමාන්ය තොරතුරු"
"Global","ගෝලීය"
"Globally Editable","ගෝලීය වශයෙන් සංස්කරණය කළ හැකි"
"Go to Home Page","මුල් පිටුවට යන්න"
"Grid","ජාලකය"
"Groups","කණ්ඩායම්"
"Home","නිවස"
"ID","හැඳුනුම්පත"
"Image","රූප"
"In Stock","ගබඩාවේ ඇත"
"In stock","ගබඩාවේ ඇත"
"Incl. Tax","ඇතුළු. බද්ද"
"Index product prices","දර්ශක නිෂ්පාදන මිල"
"Indexed category/products association","සුචිගත කළ කාණ්ඩය/නිෂ්පාදන සංගමය"
"Input Type","ආදාන වර්ගය"
"Integer","පූර්ණ සංඛ්යාව"
"Interval Division Limit","අන්තරාල අංශ සීමාව"
"Inventory","ඉන්වෙන්ටරි"
"Is Default","පෙරනිමි වේ"
"Is Required","අවශ්යයි"
"Label","ලේබලය"
"Last Name","අවසන් නම"
"Layered Navigation","ස්ථර සංචාලනය"
"Learn More","තවත් හදාරන්න"
"Link to a Specified Category","නිශ්චිත කාණ්ඩයකට සබැඳිය"
"Link to a Specified Product","නිශ්චිත නිෂ්පාදනයක් වෙත සබැඳිය"
"List","ලැයිස්තුව"
"List Mode","ලැයිස්තු මාදිලිය"
"List of Products that are set as New","නව ලෙස සකසා ඇති නිෂ්පාදන ලැයිස්තුව"
"Manage Attribute Sets","ගුණාංග කට්ටල කළමනාකරණය කරන්න"
"Manage Catalog Categories","නාමාවලි කාණ්ඩ කළමනාකරණය කරන්න"
"Manage Categories","කාණ්ඩ කළමනාකරණය කරන්න"
"Manage Label / Options","ලේබලය / විකල්ප කළමනාකරණය කරන්න"
"Manage Product Attributes","නිෂ්පාදන ගුණාංග කළමනාකරණය කරන්න"
