"Add Option","විකල්පය එකතු කරන්න"
"Attribute Code","ගුණාංග කේතය"
"Attribute Label","ගුණාංග ලේබලය"
"Attribute Properties","ගුණාංග ගුණාංග"
"Attribute object is undefined","ගුණාංග වස්තුව නිර්වචනය කර නොමැත"
"Attribute with the same code","එකම කේතය සමඟ ගුණාංගය"
"Catalog Input Type for Store Owner","ගබඩා හිමිකරු සඳහා නාමාවලි ආදාන වර්ගය"
"Date","දිනය"
"Decimal Number","දශම අංකය"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","පෙරනිමි නිෂ්පාදන ලැයිස්තුගත කිරීම ලබා ගත හැකි නිෂ්පාදන ලැයිස්තුගත කිරීමෙහි නොපවතී."
"Default Value","පෙරනිමි අගය"
"Delete","මකන්න"
"Dropdown","පතන"
"Email","විද්යුත් තැපෑල"
"Entity is not initialized","ආයතනය ආරම්භ කර නැත"
"Entity object is undefined","ආයතන වස්තුව නිර්වචනය කර නොමැත"
"Form Element with the same attribute","එකම ගුණාංගය සහිත පෝරමය මූලද්‍රව්‍යය"
"Form Fieldset with the same code","එකම කේතය සමඟ ෆෝම් ෆීල්ඩ්සෙට්"
"Form Type with the same code","එකම කේතය සමඟ පෝරමය ටයිප් කරන්න"
"Input Validation for Store Owner","ගබඩා හිමිකරු සඳහා ආදාන වලංගුකරණය"
"Integer Number","නිඛිල අංකය"
"Invalid alias, already exists in joint attributes","වලංගු නොවන අන්වර්ථයක්, දැනටමත් ඒකාබද්ධ ගුණාංගවල පවතී"
"Invalid date","වලංගු නොවන දිනය"
"Invalid joint fields","වලංගු නොවන ඒකාබද්ධ ක්ෂේත්‍ර"
"Joint field or attribute expression with this alias is already declared","මෙම අන්වර්ථය සමඟ ඒකාබද්ධ ක්ෂේත්‍රය හෝ ගුණාංග ප්‍රකාශනය දැනටමත් ප්‍රකාශ කර ඇත"
"Letters","ලිපි"
"Letters (a-z, A-Z) or Numbers (0-9)","අකුරු (az, AZ) හෝ අංක (0-9)"
"Multiple Select","බහු තේරීම"
"No","නැත"
"None","කිසිවක් නැත"
"Required","අවශ්යයි"
"System","පද්ධතිය"
"Text Area","පෙළ ප්රදේශය"
"Text Field","පෙළ ක්ෂේත්‍රය"
"Unique Value","අද්විතීය වටිනාකම"
"Unique Value (not shared with other products)","අද්විතීය අගය (වෙනත් නිෂ්පාදන සමඟ බෙදා නොගනී)"
"Values Required","අවශ්ය අගයන්"
"Yes","ඔව්"
"Yes/No","ඔව් නෑ"
