"Action","කටයුතු"
"Are you sure you want to delete the selected backup(s)?","ඔබට තෝරාගත් උපස්ථ(ය) මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Backups","උපස්ථ"
"Create Backup","උපස්ථ සාදන්න"
"Database","දත්ත සමුදාය"
"Database Backup","දත්ත සමුදා උපස්ථය"
"Database and Media","දත්ත සමුදාය සහ මාධ්ය"
"Database and Media Backup","දත්ත සමුදාය සහ මාධ්‍ය උපස්ථය"
"Download","බාගත"
"Enable Scheduled Backup","උපලේඛනගත උපස්ථය සබල කරන්න"
"Frequency","සංඛ්යාතය"
"Maintenance Mode","නඩත්තු ප්රකාරය"
"Name","නම"
"Rollback","ආපසු හැරවීම"
"Start Time","ආරම්භක වේලාව"
"System","පද්ධතිය"
"System (excluding Media)","පද්ධතිය (මාධ්‍ය හැර)"
"System Backup","පද්ධති උපස්ථය"
"Time","කාලය"
"Type","ටයිප් කරන්න"
