"API Login ID","API පිවිසුම් ID"
"Accepted Currency","පිළිගත් මුදල්"
"Authorize Only","අවසර දීම පමණි"
"Authorize and Capture","අවසර දීම සහ අල්ලා ගැනීම"
"Cancel","අවලංගු කරන්න"
"Credit Card Types","ක්රෙඩිට් කාඩ් වර්ග"
"Credit Card Verification","ක්‍රෙඩිට් කාඩ් සත්‍යාපනය"
"Debug","දෝෂහරණය කරන්න"
"Email Customer","පාරිභෝගිකයාට විද්‍යුත් තැපැල් කරන්න"
"Enabled","සබල කර ඇත"
"Invalid amount for capture.","අල්ලා ගැනීම සඳහා වලංගු නොවන මුදල."
"Invalid amount for refund.","ආපසු ගෙවීම සඳහා වලංගු නොවන මුදලක්."
"Maximum Order Total","උපරිම ඇණවුම මුළු"
"Merchant's Email","වෙළෙන්දාගේ විද්‍යුත් තැපෑල"
"Minimum Order Total","අවම ඇණවුම මුළු"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Payment capturing error.","ගෙවීම් ග්‍රහණය කිරීමේ දෝෂයකි."
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Payment refunding error.","ගෙවීම් ආපසු ගෙවීමේ දෝෂයකි."
"Payment voiding error.","ගෙවීම් අවලංගු කිරීමේ දෝෂයකි."
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Test Mode","පරීක්ෂණ මාදිලිය"
"Title","ශීර්ෂය"
"Transaction Key","ගනුදෙනු යතුර"
"authorize","අවසරලත්"
"authorize and capture","අවසර දීම සහ අල්ලා ගැනීම"
"capture","අල්ලා ගැනීම"
"failed","අසාර්ථක විය"
"refund","ආපසු ගෙවීම"
"successful","සාර්ථක"
"void","හිස්"
