"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"--Please Select--","--කරුණාකර තෝරන්න--"
"Automatically Invoice All Items","සියලුම අයිතම ස්වයංක්‍රීයව ඉන්වොයිස් කරන්න"
"Card Verification Number","කාඩ් සත්යාපනය අංකය"
"Credit Card Number","ණය පත් අංකය"
"Credit Card Type","ක්රෙඩිට් කාඩ් වර්ගය"
"Credit Card Types","ක්රෙඩිට් කාඩ් වර්ග"
"Credit card type is not allowed for this payment method.","මෙම ගෙවීමේ ක්‍රමය සඳහා ක්‍රෙඩිට් කාඩ් වර්ගයට ඉඩ නොදේ."
"Currency","මුදල්"
"Day","දින"
"Debug Mode","නිදොස් කිරීමේ මාදිලිය"
"Enabled","සබල කර ඇත"
"Expiration Date","කල්පිරෙන දිනය"
"Incorrect credit card expiration date.","ණය පත කල් ඉකුත් වීමේ දිනය වැරදිය."
"Invalid Credit Card Number","වලංගු නොවන ක්‍රෙඩිට් කාඩ් අංකය"
"Maximum Order Total","උපරිම ඇණවුම මුළු"
"Merchant ID","වෙළඳ හැඳුනුම්පත"
"Minimum Order Total","අවම ඇණවුම මුළු"
"Month","මාසික"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Password","මුරපදය"
"Payment Method","ගෙවීම් ක්රමය"
"Payment Methods","ගෙවීමේ ක්රමවේද"
"Payment Services","ගෙවීම් සේවා"
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Please enter a valid credit card verification number.","කරුණාකර වලංගු ක්‍රෙඩිට් කාඩ් සත්‍යාපන අංකයක් ඇතුළු කරන්න."
"Selected payment type is not allowed for billing country.","තෝරාගත් ගෙවීම් වර්ගය බිල්පත් රට සඳහා ඉඩ නොදේ."
"Shipping Amount","නැව්ගත කිරීමේ මුදල"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Start Date","ආරම්භක දිනය"
"Switch/Solo/Maestro Issue Number","ස්විච්/සොලෝ/මෙස්ට්‍රෝ නිකුතු අංකය"
"Switch/Solo/Maestro Start Date","ස්විච්/සොලෝ/මෙස්ට්‍රෝ ආරම්භක දිනය"
"Tax Amount","බදු මුදල"
"Test Mode","පරීක්ෂණ මාදිලිය"
"The payment review action is unavailable.","ගෙවීම් සමාලෝචන ක්‍රියාව නොමැත."
"The requested Payment Method is not available.","ඉල්ලූ ගෙවීම් ක්‍රමය නොමැත."
"Title","ශීර්ෂය"
"Unable to save Billing Agreement:","බිල්පත් ගිවිසුම සුරැකීමට නොහැක:"
"What is this?","මේ කුමක් ද?"
"Year","අවුරුදු"
