"Base URL","මූලික URL"
"Configuration","මානකරනය"
"Confirm Password","මුරපදය තහවුරු කරන්න"
"Continue","දිගටම කරගෙන යන්න"
"Database","දත්ත සමුදාය"
"Download","බාගත"
"Email","විද්යුත් තැපෑල"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Enable Charts","ප්‍රස්ථාර සක්‍රීය කරන්න"
"First Name","මුල් නම"
"Host","සත්කාරක"
"Last Name","අවසන් නම"
"Locale","දේශීය"
"Password","මුරපදය"
"Password Confirmation","මුරපදය තහවුරු කිරීම"
"Personal Information","පුද්ගලික තොරතුරු"
"Report All Bugs","සියලුම දෝෂ වාර්තා කරන්න"
"Required Fields","අවශ්ය ක්ෂේත්ර"
"Secure Base URL","ආරක්ෂිත මූලික URL"
"User Name","පරිශීලක නාමය"
"User Password","පරිශීලක මුරපදය"
"Username","පරිශීලක නාමය"
