"Catalog","නාමාවලිය"
"Click for price","මිල සඳහා ක්ලික් කරන්න"
"Coupons/Discounts","කූපන්/වට්ටම්"
"Customer Order Status Notification","පාරිභෝගික ඇණවුම් තත්ත්‍ව දැනුම්දීම"
"Discount","වට්ටම්"
"Enable RSS","RSS සබල කරන්න"
"From:","සිට:"
"Gift Message","තෑගි පණිවිඩය"
"Grand Total","මුලු එකතුව"
"Low Stock Products","අඩු තොග නිෂ්පාදන"
"Message:","පණිවුඩය:"
"New Orders","නව ඇණවුම්"
"New Products","නව නිෂ්පාදන"
"Order","නියෝග"
"Pending product review(s)","අපේක්ෂිත නිෂ්පාදන සමාලෝචනය(ය)"
"Shipping &amp; Handling","නැව්ගත කිරීම &amp; හැසිරවීම"
"Special Products","විශේෂ නිෂ්පාදන"
"Subtotal","උප එකතුව"
"Tax","බද්ද"
"To:","වෙත:"
"Top Level Category","ඉහළම මට්ටමේ කාණ්ඩය"
"Wishlist","පැතුම් ලැයිස්තුව"
