"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Add New Class","නව පන්තිය එක් කරන්න"
"Add New Tax Rate","නව බදු අනුපාතය එක් කරන්න"
"Add New Tax Rule","නව බදු රීතියක් එක් කරන්න"
"After Discount","වට්ටම් පසු"
"Apply Customer Tax","පාරිභෝගික බදු අයදුම් කරන්න"
"Apply Discount On Prices","මිල ගණන් මත වට්ටම් අයදුම් කරන්න"
"Apply Tax On","මත බදු අයදුම් කරන්න"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Back","ආපසු"
"Before Discount","වට්ටම් කිරීමට පෙර"
"Calculation Settings","ගණනය කිරීමේ සැකසුම්"
"Catalog Prices","නාමාවලි මිල"
"Code","කේතය"
"Country","රට"
"Custom price if available","තිබේ නම් අභිරුචි මිල"
"Customer Tax Class","පාරිභෝගික බදු පන්තිය"
"Customer Tax Classes","පාරිභෝගික බදු පන්ති"
"Default Country","පෙරනිමි රට"
"Default Post Code","පෙරනිමි තැපැල් කේතය"
"Default State","පෙරනිමි තත්ත්වය"
"Default Tax Destination Calculation","පෙරනිමි බදු ගමනාන්ත ගණනය කිරීම"
"Delete Rate","මකන්න අනුපාතය"
"Delete Rule","රීතිය මකන්න"
"Display Full Tax Summary","සම්පූර්ණ බදු සාරාංශය පෙන්වන්න"
"Display Prices","සංදර්ශක මිල ගණන්"
"Display Product Prices In Catalog","නිෂ්පාදන මිල නාමාවලියෙහි පෙන්වන්න"
"Display Shipping Amount","ප්‍රදර්ශනය නැව්ගත කිරීමේ මුදල"
"Display Shipping Prices","නැව්ගත කිරීමේ මිල ගණන් පෙන්වන්න"
"Display Subtotal","උප එකතුව පෙන්වන්න"
"Display Zero Tax Subtotal","ශුන්‍ය බදු උප එකතුව පෙන්වන්න"
"Edit Rule","රීතිය සංස්කරණය කරන්න"
"Edit Tax Rate","බදු අනුපාතය සංස්කරණය කරන්න"
"Enable Cross Border Trade","Cross Border Trade සබල කරන්න"
"Excel XML","එක්සෙල් XML"
"Excl. Tax","හැර. බද්ද"
"Excluding Tax","බදු හැර"
"Grand Total (Excl. Tax)","විශාල එකතුව (බදු හැර)"
"Grand Total (Excl.Tax)","විශාල එකතුව (Excl.Tax)"
"Grand Total (Incl. Tax)","විශාල එකතුව (බදු ඇතුළුව)"
"Grand Total (Incl.Tax)","විශාල එකතුව (බදු ඇතුළුව)"
"Grand Total Excl. Tax","Grand Total Excl. බද්ද"
"Grand Total Incl. Tax","Grand Total Incl. බද්ද"
"Inc. Tax","Inc. බදු"
"Incl. Tax","ඇතුළු. බද්ද"
"Including Tax","බදු ඇතුළුව"
"Including and Excluding Tax","බදු ඇතුළුව සහ බැහැර කිරීම"
"Tax Rates","බදු අනුපාත"
"Tax Rules","බදු නීති"
"Name","නම"
"New Rule","නව රීතිය"
"New Tax Rate","නව බදු අනුපාතය"
"No","නැත"
"None","කිසිවක් නැත"
"Orders, Invoices, Credit Memos Display Settings","ඇණවුම්, ඉන්වොයිසි, ක්‍රෙඩිට් මතක සටහන් දර්ශන සැකසුම්"
"Original price only","මුල් මිල පමණි"
"Price Display Settings","මිල සංදර්ශක සැකසුම්"
"Priority","ප්රමුඛත්වය"
"Product Tax Class","නිෂ්පාදන බදු පන්තිය"
"Range From","පරාසය සිට"
"Range To","පරාසය දක්වා"
"Range To should be equal or greater than Range From.","සිට පරාසය දක්වා සමාන හෝ වැඩි විය යුතුය."
"Rate","අගය කරන්න"
"Rate Percent","අනුපාතය සියයට"
"Reset","යළි පිහිටුවන්න"
"Row Total","පේළි එකතුව"
"Sales","විකුණුම්"
"Save Rate","අනුපාතය ඉතිරි කරන්න"
"Save Rule","රීතිය සුරකින්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Shipping & Handling (Excl.Tax)","නැව්ගත කිරීම සහ හැසිරවීම (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","නැව්ගත කිරීම සහ හැසිරවීම (Tax ඇතුළුව)"
"Shipping (Excl. Tax)","නැව්ගත කිරීම (බදු හැර)"
"Shipping (Incl. Tax)","නැව්ගත කිරීම (බදු ඇතුළුව)"
"Shipping Prices","නැව්ගත කිරීමේ මිල ගණන්"
"Shopping Cart Display Settings","සාප්පු කරත්ත සංදර්ශක සැකසුම්"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"State","රජයේ"
"State/Region","ප්රාන්තය/කලාපය"
"Subtotal (Excl. Tax)","උප එකතුව (බදු හැර)"
"Subtotal (Excl.Tax)","උප එකතුව (Excl.Tax)"
"Subtotal (Incl. Tax)","උප එකතුව (බදු ඇතුළුව)"
"Subtotal (Incl.Tax)","උප එකතුව (බදු ඇතුළුව)"
"Tax","බද්ද"
"Tax Calculation Based On","මත පදනම්ව බදු ගණනය කිරීම"
"Tax Calculation Method Based On","මත පදනම්ව බදු ගණනය කිරීමේ ක්රමය"
"Tax Class for Shipping","නැව්ගත කිරීම සඳහා බදු පන්තිය"
"Tax Classes","බදු පන්ති"
"Tax Identifier","බදු හැඳුනුම්කාරකය"
"Tax Rate","බදු අනුපාතය"
"Tax Rate Information","බදු අනුපාත තොරතුරු"
"Tax Rule Information","බදු රීති තොරතුරු"
"Tax Titles","බදු මාතෘකා"
"Tax rates at the same priority are added, others are compounded.","එකම ප්‍රමුඛතාවයෙන් බදු අනුපාත එකතු කරනු ලැබේ, අනෙක් ඒවා සංයුක්ත වේ."
"The tax rule has been deleted.","බදු රීතිය ඉවත් කර ඇත."
"This rule no longer exists.","මෙම රීතිය තවදුරටත් නොපවතී."
"Total","සමස්ත"
"Unit Price","ඒකක මිල"
"Yes","ඔව්"
"Zip/Post Code","සිප්/තැපැල් කේතය"
"Zip/Post is Range","Zip/Post යනු පරාසයයි"
