"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"-- Not Selected --","-- තෝරා නැත --"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"-- Please Select Billing Agreement--","-- කරුණාකර බිල්පත් ගිවිසුම තෝරන්න--"
"-- Please Select a Category --","-- කරුණාකර ප්‍රවර්ගයක් තෝරන්න --"
"-- Please select --","-- කරුණාකර තෝරන්න --"
"--Please Select--","--කරුණාකර තෝරන්න--"
"1 Hour","පැය 1 යි"
"12 Hours","පැය 12 යි"
"2 Hours","පැය 2"
"24 Hours","පැය 24"
"24h","පැය 24"
"6 Hours","පැය 6 යි"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 දෝෂය</h1><p>පිටුව හමු නොවීය.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>අවධානය</strong>: Captcha යනු සිද්ධි සංවේදී වේ."
"A user with the same user name or email already exists.","එකම පරිශීලක නාමය හෝ ඊමේල් සහිත පරිශීලකයෙකු දැනටමත් පවතී."
"Abandoned Carts","අතහැර දැමූ කරත්ත"
"About the calendar","කැලැන්ඩරය ගැන"
"Account Created in:","ගිණුම සාදන ලද්දේ:"
"Account Information","ගිණුම් තොරතුරු"
"Account Status","ගිණුම් තත්ත්වය"
"Action","කටයුතු"
"Actions","ක්රියාවන්"
"Active","ක්රියාකාරී"
"Add","එකතු කරන්න"
"Add New","අලුතින් එකතු කරන්න"
"Add New Block","නව බ්ලොක් එක් කරන්න"
"Add New Image","නව රූපයක් එක් කරන්න"
"Add New Role","නව භූමිකාවක් එක් කරන්න"
"Add New Template","නව සැකිල්ල එක් කරන්න"
"Add New URL Rewrite","නව URL නැවත ලිවීම එක් කරන්න"
"Add New User","නව පරිශීලක එකතු කරන්න"
"Add Products","නිෂ්පාදන එකතු කරන්න"
"Add URL Rewrite","URL නැවත ලියන්න එකතු කරන්න"
"Add URL Rewrite for a Category","ප්‍රවර්ගයක් සඳහා නැවත ලිවීමේ URL එක් කරන්න"
"Add URL Rewrite for a Product","නිෂ්පාදනයක් සඳහා නැවත ලිවීමේ URL එකතු කරන්න"
"Add after","පසුව එකතු කරන්න"
"Additional Cache Management","අතිරේක හැඹිලි කළමනාකරණය"
"Admin","පරිපාලක"
"All","සියලුම"
"All Allowed Countries","සියලුම අවසර ලත් රටවල්"
"All Cache","සියලුම හැඹිලිය"
"All Files","සියලුම ගොනු"
"All Reviews","සියලුම සමාලෝචන"
"All Store Views","සියලුම ගබඩා දර්ශන"
"All Websites","සියලුම වෙබ් අඩවි"
"All countries","සියලුම රටවල්"
"Always (during development)","සෑම විටම (සංවර්ධනය අතරතුර)"
"Amounts","ප්රමාණ"
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS හැඹිලිය හිස් කිරීමේදී දෝෂයක් ඇති විය."
"An error occurred while clearing the image cache.","රූප හැඹිලිය හිස් කිරීමේදී දෝෂයක් ඇති විය."
"An error occurred while deleting this role.","මෙම භූමිකාව මකා දැමීමේදී දෝෂයක් ඇති විය."
"An error occurred while saving account.","ගිණුම සුරැකීමේදී දෝෂයක් ඇති විය."
"An error occurred while saving this role.","මෙම භූමිකාව සුරැකීමේදී දෝෂයක් සිදු විය."
"Any","කිසියම්"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Assigned","පවරා"
"Attributes","ගුණාංග"
"Authorize","අවසරලත්"
"Automatic (equalize price ranges)","ස්වයංක්‍රීය (මිල පරාසයන් සමාන කරන්න)"
"Automatic (equalize product counts)","ස්වයංක්‍රීය (නිෂ්පාදන ගණන සමාන කරන්න)"
"Back","ආපසු"
"Backup","උපස්ථ"
"Backup Name","උපස්ථ නම"
"Backup options","උපස්ථ විකල්ප"
"Backups","උපස්ථ"
"Base currency","මූලික මුදල්"
"Bestsellers","වැඩියෙන්ම අලෙවි වන ඒවා"
"Billing Address","බිල්පත් ලිපිනය"
"Billing Address: ","බිල්පත් ලිපිනය: "
"Billing Agreement","බිල්පත් ගිවිසුම"
"Billing Agreements","බිල්පත් ගිවිසුම්"
"Block Information","තොරතුරු අවහිර කරන්න"
"Blocks","කුට්ටි"
"Both (without and with tax)","දෙකම (බදු නොමැතිව සහ සමඟ)"
"Browse Files...","ගොනු බ්‍රවුස් කරන්න..."
"By Email","විද්‍යුත් තැපෑලෙන්"
"By IP","IP මගින්"
"By IP and Email","IP සහ විද්‍යුත් තැපෑලෙන්"
"Cache Control","හැඹිලි පාලනය"
"Cache Management","හැඹිලි කළමනාකරණය"
"Cache Type","හැඹිලි වර්ගය"
"Cancel","අවලංගු කරන්න"
