"Advanced Search","උසස් සෙවුම්"
"All","සියලුම"
"Catalog Advanced Search","නාමාවලිය උසස් සෙවීම"
"Catalog Search","නාමාවලි සෙවීම"
"Don't see what you're looking for?","ඔබ සොයන දේ නොපෙනේද?"
"Go to Home Page","මුල් පිටුවට යන්න"
"Grid","ජාලකය"
"Home","නිවස"
"List","ලැයිස්තුව"
"Maximum Query Length","උපරිම විමසුම් දිග"
"Minimal Query Length","අවම විමසුම් දිග"
"No","නැත"
"Popular Search Terms","ජනප්‍රිය සෙවුම් නියමයන්"
"Rebuild Catalog product fulltext search index","නාමාවලි නිෂ්පාදන සම්පූර්ණ පෙළ සෙවුම් දර්ශකය නැවත ගොඩනඟන්න"
"Relevance","අදාළත්වය"
"Results","ප්රතිපල"
"Search","සොයන්න"
"Search Settings","සෙවුම් සැකසුම්"
"Search Terms","සෙවුම් නියමයන්"
"Search entire store here...","සම්පූර්ණ ගබඩාව මෙතනින් සොයන්න..."
"There are no search terms available.","සෙවුම් පද නොමැත."
"Yes","ඔව්"
