"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"ALL GROUPS","සියලුම කණ්ඩායම්"
"Account Information","ගිණුම් තොරතුරු"
"Account Sharing Options","ගිණුම් බෙදාගැනීමේ විකල්ප"
"Action","කටයුතු"
"Add New Address","නව ලිපිනය එක් කරන්න"
"Add New Customer","නව පාරිභෝගිකයා එක් කරන්න"
"Add New Customer Group","නව පාරිභෝගික කණ්ඩායමක් එක් කරන්න"
"Additional Address Entries","අතිරේක ලිපින ඇතුළත් කිරීම්"
"Address","ලිපිනය"
"Address Book","ලිපින පොත"
"Address Information","ලිපින තොරතුරු"
"Address Templates","ලිපින සැකිලි"
"Addresses","ලිපිනයන්"
"Admin","පරිපාලක"
"All","සියලුම"
"All Store Views","සියලුම ගබඩා දර්ශන"
"All countries","සියලුම රටවල්"
"Always optional.","සෑම විටම විකල්ප."
"Amount","ප්රමාණය"
"Approved","අනුමත කළා"
"Are you sure you want to delete this address?","ඔබට මෙම ලිපිනය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure?","ඔබට විශ්වාසද?"
"Assign a Customer Group","පාරිභෝගික කණ්ඩායමක් පවරන්න"
"Average Sale","සාමාන්ය විකුණුම්"
"Back","ආපසු"
"Bad request.","නරක ඉල්ලීම."
"By Email","විද්‍යුත් තැපෑලෙන්"
"By IP","IP මගින්"
"By IP and Email","IP සහ විද්‍යුත් තැපෑලෙන්"
"Cancel","අවලංගු කරන්න"
"Change Billing Address","බිල්පත් ලිපිනය වෙනස් කරන්න"
"Change Password","මුරපදය වෙනස් කරන්න"
"Change Shipping Address","නැව්ගත කිරීමේ ලිපිනය වෙනස් කරන්න"
"City","නගරය"
"Company","සමාගම"
"Configure","වින්‍යාස කරන්න"
"Confirm New Password","නව මුරපදය තහවුරු කරන්න"
"Confirm Password","මුරපදය තහවුරු කරන්න"
"Confirmation Link Email","තහවුරු කිරීමේ සබැඳි ඊමේල්"
"Confirmed","තහවුරු කර ඇත"
"Contact Information","සබඳතා තොරතුරු"
"Continue Shopping","තවත් දෑ මිලදී ගන්න"
"Country","රට"
"Create","නිර්මාණය කරන්න"
"Create New Account Options","නව ගිණුම් විකල්ප සාදන්න"
"Create Order","ඇණවුම සාදන්න"
"Create an Account","ගිණුමක් තනන්න"
"Current Password","වත්මන් මුර පදය"
"Customer","පාරිභෝගික"
"Customer Configuration","පාරිභෝගික වින්‍යාසය"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Customer Information","පාරිභෝගික තොරතුරු"
"Customer Since","පාරිභෝගික සිට"
"Customer View","පාරිභෝගික දැක්ම"
"Customer will stay on the current page if ""No"" is selected.","""නැත"" තෝරා ඇත්නම් පාරිභෝගිකයා වත්මන් පිටුවෙහි රැඳී සිටිනු ඇත."
"Customers","පාරිභෝගිකයන්"
"Date","දිනය"
"Date Added","එකතු කළ දිනය"
"Date of Birth","උපන්දිනය"
"Day","දින"
"Default Addresses","පෙරනිමි ලිපින"
"Default Billing Address","පෙරනිමි බිල්පත් ලිපිනය"
"Default Email Domain","පෙරනිමි ඊමේල් වසම"
"Default Group","පෙරනිමි සමූහය"
"Default Shipping Address","ස්ථිර ලිපිනය"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID මත පදනම්ව ස්වයංක්‍රීය කණ්ඩායම් වෙනස්කම් අක්‍රීය කිරීම සඳහා පෙරනිමි අගය"
"Default Welcome Email","පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල"
