"* Required Fields","* Camps obligatoris"
"-- Select --","-- Seleccionar --"
"Close","Tanca"
"Default","Per defecte"
"Default Title","Títol per defecte"
"Dynamic","Dinàmic"
"Excl. Tax","Impostos exclosos"
"Fixed","Fix"
"From","Des de"
"From:","Des de:"
"Incl. Tax","Impostos inclosos"
"Message:","Missatge:"
"N/A","N/D"
"No options of this product are available.","Opcions no disponibles."
"None","Cap"
"Percent","Percentatge"
"Please enter a number greater 0 in this field.","Introduïu un nombre més gran que 0."
"Position","Posició"
"Price Range","Interval de Preus"
"Price Type","Tipus de Preu"
"Separately","Per separat"
"Shipment","Enviament"
"To","Fins"
"To:","A:"
"Together","Junts"
"Use Default Value","Utilitzar Valor per Defecte"
