"* Required Fields","* Camps obligatoris"
"--Please Select--","--Si us plau, seleccioneu--"
"Card Verification Number","Número de Verificació de Targeta"
"Credit Card Number","Número de Targeta de Crèdit"
"Credit Card Type","Tipus de Targeta de Crèdit"
"Credit Card Types","Tipus de Targeta de Crèdit"
"Currency","Moneda"
"Day","Dia"
"Enabled","Habilitat"
"Expiration Date","Data de caducitat"
"Incorrect credit card expiration date.","Data de caducitat incorrecta de la targeta de crèdit."
"Maximum Order Total","Total Màxim de la Comanda"
"Minimum Order Total","Total Mínim de la Comanda"
"Month","Mes"
"N/A","N/D"
"New Order Status","Nou estat de la comanda"
"Password","Contrasenya"
"Payment Method","Mètode de pagament"
"Payment from Applicable Countries","Pagament de Països Acceptats"
"Payment from Specific Countries","Pagament de Països Específics"
"Please enter a valid credit card verification number.","Introduïu un número de verificació de targeta de crèdit vàlid si us plau."
"Sort Order","Criteri d'Ordenació"
"Start Date","Data d'inici"
"Test Mode","Mode de Prova"
"The payment review action is unavailable.","L'acció de revisió de pagaments no està disponible."
"Title","Títol"
"What is this?","Què és això?"
"Year","Any"
