"City","Ciutat"
"Close Window","Tanca la finestra"
"Condition","Condició"
"Country","País"
"Date","Data"
"Description","Descripció"
"Enabled","Habilitat"
"Export","Exportar"
"Fixed","Fix"
"Import","Importar"
"N/A","N/D"
"None","Cap"
"Options","Opcions"
"Percent","Percentatge"
"Price","Preu"
"Region/State","Regió/Estat"
"Shipment #","Enviament #"
"Shipping Methods","Mètodes d'enviament"
"Sort Order","Criteri d'Ordenació"
"Street Address","Carrer de l'adreça"
"Street Address Line 2","Línia 2 del carrer de l'adreça"
"There is no tracking available for this shipment.","No hi ha cap seguiment disponible per a aquest enviament."
"Title","Títol"
"Tracking Information","Informació de seguiment"
"Tracking Number:","Número de seguiment:"
"Type","Tipus"
"ZIP/Postal Code","Codi Postal"
