"* Required Fields","* Camps obligatoris"
"-- Please Select --","-- Si us plau, seleccioneu --"
"About Your Order","Sobre la teva comanda"
"Accept Payment","Acceptar Pagament"
"Account Information","Informació del compte"
"Action","Acció"
"Actions","Accions"
"Active","Actiu"
"Add New Address","Afegir nova adreça"
"Add Products","Afegir productes"
"Add Selected Product(s) to Order","Afegir el(s) producte(s) seleccionat(s) a la comanda"
"Add to Cart","Afegir a la cistella"
"Address","Adreça"
"Amount","Quantitat"
"Apply","Aplica"
"Apply Coupon Code","Aplica cupó"
"Are you sure you want to cancel this order?","Segur que voleu eliminar aquesta comanda?"
"Are you sure you want to do this?","Esteu segur que voleu fer-ho?"
"Are you sure?","Segur?"
"Back","Torna"
"Back to My Orders","Tornar a les meves comandes"
"Bestsellers","Més venuts"
"Billing","Facturació"
"Billing Address","Adreça de facturació"
"Cancel","Cancel·la"
"Canceled","Cancel·lat"
"Capture","Capturar"
"City","Ciutat"
"Clear Shopping Cart","Buida la cistella"
"Close","Tanca"
"Company","Empresa"
"Complete","Completa"
"Configure","Configura"
"Country","País"
"Coupons","Cupons"
"Create New Customer","Crear un nou usuari"
"Create New Order","Crear Nova Comanda"
"Create New Order for New Customer","Crear Nova Comanda per Nou Client"
"Create New Status","Crear Nou Estat"
"Create Order","Crear comanda"
"Credit Memo","Abonament"
"Credit Memos","Abonament"
"Customer","Client"
"Customer Group","Grup de client"
"Date","Data"
"Delete","Eliminar"
"Deny Payment","Denegar Pagament"
"Description Message","Missatge de descripció"
"Discount","Descompte"
"Discount Amount","Import de Descompte"
"Edit","Edita"
"Edit Order Status","Editar Estat de Comanda"
"Email","Correu electrònic"
"Email Address","Adreça electrònica"
"Enable","Habilita"
"Enabled","Habilitat"
"Excl. Tax","Impostos exclosos"
"Fetch","Obtenir"
"First Name","Nom"
"From","Des de"
"From:","Des de:"
"General Information","Informació general"
"Go to Home Page","Vés a la pàgina d'inici"
"Grand Total","Suma total"
"Grand Total to be Charged","Suma total a càrrec"
"Guest","Convidat"
"Hold","Posa en espera"
"Home","Inici"
"Incl. Tax","Impostos inclosos"
"Information","Informació"
"Invoice","Factura"
"Invoice #","Factura #"
"Invoice # ","Factura # "
"Invoice and Ship","Facturar i Enviar"
"Invoiced","Facturat"
"Invoices","Factures"
"Item","Article"
"Item ordered qty","Quantitat d'articles ordenats"
"Items","Elements"
"Items Ordered","Articles demanats"
"Key","Clau"
"Last Name","Cognoms"
"Last Ordered Items","Últims articles demanats"
"Message","Missatge"
"Message:","Missatge:"
"My Orders","Les meves comandes"
"N/A","N/D"
"Name","Nom"
"New Order Status","Nou estat de la comanda"
"Newsletter Subscription","Subscripció al butlletí"
"No ordered items","Articles no demanats"
"Order","Comanda"
"Order #","Comanda #"
"Order Address Information","Dades de l'adreça de la comanda"
"Order Comment","Comentari de Comanda"
"Order Grand Total","Total Global Comanda"
"Order History","Historial de comandes"
"Order ID","ID de Comanda"
"Order Information","Informació de la comanda"
"Order State","Estat de Comanda"
"Order Status","Estat de la comanda"
"Order Status Information","Dades d'Estat de la Comanda"
"Order Statuses","Estat de la comanda"
"Order Total","Total de la comanda"
"Order Totals","Totals de la comanda"
"Ordered","Demanat"
"Orders","Comandes"
"Orders and Returns","Comandes i Devolucions"
"Orders and Returns Search Form","Formulari de cerca de comandes i devolucions"
"Paid Amount","Quantitat Pagada"
"Payment Information","Informació de pagament"
"Payment Method","Mètode de pagament"
"Payment Method:","Mètode de pagament:"
"Payment Review","Revisió de pagament"
"Pending","Pendent"
"Please enter positive number in this field.","Si us plau, introduïu un número positiu en aquest camp."
"Price","Preu"
"Print","Imprimir"
"Print All Invoices","Imprimeix totes les factures"
"Print All Shipments","Imprimeix tots els enviaments"
"Print Invoice","Imprimir factura"
"Print Invoices","Imprimir factures"
"Print Order","Imprimir la comanda"
"Print Shipment","Imprimeix l'enviament"
"Processing","Processant"
"Product","Producte"
"Product Name","Nom del producte"
"Products","Productes"
"Products in Comparison List","Productes a la llista de comparació"
"Qty","Quantitat"
"Qty Invoiced","Quantitat facturada"
"Qty Shipped","Quantitat enviada"
"Quote item id is not received.","No s'ha rebut l'identificador de l'element del pressupost."
"Quote item is not loaded.","No s'ha carregat l'element del pressupost."
"Recently Compared Products","Productes comparats recentment"
"Recently Viewed","Vist Recentment"
"Recently Viewed Products","Productes vistos recentment"
"Refresh","Refrescar"
"Refund","Reemborsament"
"Refund Offline","Reemborsar Offline"
"Refund Shipping","Reemborsar l'enviament"
"Refund Shipping (Excl. Tax)","Reemborsar Enviament (Excl. IVA)"
"Refund Shipping (Incl. Tax)","Reemborsar Enviament (Incl. IVA)"
"Remove","Elimina"
"Remove Coupon Code","Elimina cupó"
"Reorder","Torna a fer la comanda"
"Revenue","Ingressos"
"Row Subtotal","Subtotal de fila"
"Row Total","Suma de la fila"
"Sales","Vendes"
"Save Order Address","Guardar l'Adreça de la Comanda"
"Save Status","Guardar Estat"
"Save in address book","Desar a la llibreta d'adreces"
"Schedule","Planificació"
"Select","Seleccionar"
"Select All","Selecciona Tot"
"Ship","Enviament"
"Shipment","Enviament"
"Shipment #","Enviament #"
"Shipments","Enviaments"
"Shipped","Enviat"
"Shipped By","Enviat per"
"Shipping","Enviament"
"Shipping & Handling","Enviament i manipulació"
"Shipping &amp; Handling","Enviament &amp; manipulació"
"Shipping Address","Adreça d'enviament"
"Shipping Method","Mètode d'enviament"
"Shipping Method:","Mètode d'enviament:"
"Shopping Cart","Cistella"
"State/Province","Província"
"Status","Estat"
"Status Code","Codi d'Estat"
"Status Label","Etiqueta d'Estat"
"Street Address","Carrer de l'adreça"
"Submit Comment","Enviar Comentari"
"Submit Invoice","Enviar Factura"
"Submit Order","Enviar Comanda"
"Subscribe to Newsletter","Subscrit al butlletí"
"Tax","Impostos"
"This order no longer exists.","Aquesta comanda ja no existeix."
"This product does not have any configurable options","Aquest producte no té cap opció configurable"
"Title","Títol"
"To","Fins"
"To:","A:"
"Total Due","Total Deute"
"Total Paid","Total Pagat"
"Total Refund","Reemborsament total"
"Total Refunded","Total Reemborsament"
"Track this shipment","Realitzar un seguiment d'aquest enviament"
"Tracking Number","Número de seguiment"
"Transaction Type","Tipus de Transacció"
"Transactions","Transaccions"
"Type","Tipus"
"Unassign","Desassignar"
"Unhold","Alliberar"
"Update Changes","Actualitzar els canvis"
"Update Qty's","Actualitzar Quantitat"
"Value","Valor"
"View","Vista"
"View All","Mostrar-ho tot"
"View Order","Mostra la comanda"
"Void","Buit"
"Website","Lloc web"
"Yes","Si"
"You have placed no orders.","No has realitzat cap comanda."
"Zip/Postal Code","Codi Postal"
