"Actions","Accions"
"Are you sure?","Segur?"
"Date Added","Data en què s'ha afegit"
"Last Update","Darrera actualització"
"Mark as Read","Marca com a llegit"
"Message","Missatge"
"Messages Inbox","Safata d'entrada missatges"
"Notifications","Notificacions"
"Please select messages.","Seleccioneu missatges si us plau."
"Read Details","Llegir detalls"
"Remove","Elimina"
"Severity","Gravetat"
"Show List","Mostra la llista"
"Show Toolbar","Mostra a la barra d'eines"
"The message has been removed.","S'ha eliminat el missatge."
"Update Frequency","Freqüència d'actualització"
"Use HTTPS to Get Feed","Utilitzar HTTPS per obtenir el Feed"
"Wrong message type","Tipus de missatge erroni"
"critical","crítiques"
"major","importants"
"minor","a revisar"
"notice","avís"
