"* Required Fields","* Camps obligatoris"
"-- Please Select --","-- Si us plau, seleccioneu --"
"ALL GROUPS","TOTS ELS GRUPS"
"Action","Acció"
"Add Design Change","Afegir Canvi de Disseny"
"Add New","Afegeix Nou"
"Add New Attribute","Afegir atribut"
"Add New Search Term","Afegir nou terme de cerca"
"Add Product","Afegir producte"
"Add Root Category","Afegir categoria arrel"
"Add Subcategory","Afegir subcategoria"
"Add to Cart","Afegir a la cistella"
"Add to Compare","Afegir per Comparar"
"Add to Wishlist","Afegir a la Llista de Desitjos"
"All","Tot"
"All Websites","Tots els Llocs Web"
"Amount","Quantitat"
"Are you sure?","Segur?"
"Attribute Set","Conjunt d'Atributs"
"Attributes","Atributs"
"Availability:","Disponibilitat:"
"Back","Torna"
"Cache Lifetime (Seconds)","Durada de la memòria cau (segons)"
"Cancel","Cancel·la"
"Catalog","Catàleg"
"Catalog, Search","Cerca, Catàleg"
"Category","Categoria"
"Change","Canvi"
"Change status","Canviar l'Estat"
"Choose an Option...","Tria una opció..."
"Clear All","Neteja tot"
"Close Window","Tanca la finestra"
"Collapse All","Replegar Tot"
"Compare Products","Comparar Productes"
"Conditions Combination","Condicions Combinació"
"Custom Design","Disseny personalitzat"
"Customer Group","Grup de client"
"Customers Reviews","Ressenyes de clients"
"Data Type for Saving in Database","Tipus de Dades per a l'Emmagatzematge a la Base de Dades"
"Delete","Eliminar"
"Delete Attribute","Esborrar Atribut"
"Delete Category","Suprimir Categoria"
"Delete Option","Eliminar Opció"
"Delete Search","Suprimeix la cerca"
"Description","Descripció"
"Design","Disseny"
"Details","Detalls"
"Disabled","Deshabilitat"
"Display Page Control","Control de la pàgina de visualització"
"Display in Suggested Terms","Mostrar a termes suggerits"
"Duplicate","Duplicar"
"Edit","Edita"
"Edit Search","Edita la cerca"
"Email","Correu electrònic"
"Empty","Buit"
"Enabled","Habilitat"
"Exclude","Excloure"
"Expand All","Desplegar Tot"
"Failed","Ha fallat"
"First Name","Nom"
"Fixed","Fix"
"For the last time placed.","Per última vegada col·locat."
"Gallery","Galeria"
"General Information","Informació general"
"Go to Home Page","Vés a la pàgina d'inici"
"Grid","Graella"
"Home","Inici"
"Image","Imatge"
"In stock","En estoc"
"Incl. Tax","Impostos inclosos"
"Integer","Enter"
"Label","Etiqueta"
"Last Name","Cognoms"
"List","Llista"
"My Account","El meu compte"
"N/A","N/D"
"Name","Nom"
"New Product","Nou Producte"
"New Product Attribute","Nou Atribut de Producte"
"New Root Category","Nova Categoria Arrel"
"New Search","Nova cerca"
"New Subcategory","Nova Subcategoria"
"Next","Següent"
"No options of this product are available.","Opcions no disponibles."
"None","Cap"
"Number of Products per Page","Nombre de productes per pàgina"
"Number of Products to Display","Nombre de productes per mostrar"
"Number of Uses","Nombre de vegades usat"
"Number of results","Nombre de resultats"
"Number of results (For the last time placed)","Nombre de resultats (Per última vegada col·locat)"
"Options","Opcions"
"Out of stock","Sense estoc"
"Parent Category","Categoria Superior"
"Pending","Pendent"
"Pending Reviews RSS","Ressenyes pendents RSS"
"Please select items.","Si us plau, selecciona elements."
"Please specify the quantity of product(s).","Si us plau, especifiqueu la quantitat de producte(s)."
"Please wait...","Espera, si us plau..."
"Position","Posició"
"Previous","Anterior"
"Price","Preu"
"Price Type","Tipus de Preu"
"Product","Producte"
"Product Attribute","Atribut de producte"
"Product Attributes","Atributs de producte"
"Product Name","Nom del producte"
"Product Reviews","Ressenyes de producte"
"Product is not loaded","El producte no s'ha carregat"
"Products","Productes"
"Products Information","Informació dels Productes"
"Products Reviews","Ressenyes de productes"
"Products only","Només productes"
"Qty","Quantitat"
"Quantity","Quantitat"
"Redirect URL","Redirigir URL"
"Remove","Elimina"
"Remove This Item","Treure aquest element"
"Reset","Restablir"
"Results","Resultats"
"Reviews","Ressenyes"
"Root","Arrel"
"Save","Desar"
"Save Attribute","Desar atribut"
"Save Category","Guardar Categoria"
"Save Search","Desa la cerca"
"Save and Continue Edit","Desa i continua editant"
"Scope","Abast"
"Search","Cerca"
"Search Information","Informació de la cerca"
"Search Query","Consulta de cerca"
"Search Weight","Pes de cerca"
"Searchable","Cercable"
"See price before order confirmation.","Consulteu el preu abans de la confirmació de comanda."
"Set Ascending Direction","Fixar Direcció Ascendent"
"Set Descending Direction","Fixar Direcció Descendent"
"Set Root Category for Store","Establir la Categoria Arrel a la Botiga"
"Settings","Configuració"
"Shop By","Compra per"
"Shopping Options","Opcions de compra"
"Show","Mostra"
"Sort Order","Criteri d'Ordenació"
"Static","Estàtic"
"Status","Estat"
"Store","Botiga"
"Store View","Vista de Botiga"
"Subscribe to RSS Feed","Subscriviu-vos al canal RSS"
"System Properties","Propietats del Sistema"
"Tax","Impostos"
"Template","Plantilla"
"The review was removed by another user or does not exist.","Un altre usuari ha eliminat la ressenya o no existeix."
"This search no longer exists.","Aquesta cerca ja no existeix."
"Title","Títol"
"Top/Left","Adalt/Esquerra"
"Top/Right","Adalt/Dreta"
"Type","Tipus"
"Update","Actualitzar"
"Update attributes","Actualitzar atributs"
"Use Default Value","Utilitzar Valor per Defecte"
"Use config","Utilitza configuració"
"View Details","Veure detalls"
"Visibility","Visibilitat"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Lloc web"
"Websites","Llocs Web"
"What's this?","Què és això?"
"Yes","Si"
"You have no items to compare.","No tens articles per comparar."
"You saved the search term.","Heu desat el terme de cerca."
"ex. http://domain.com","ex. http://domini.com"
"per page","per pàgina"
