"* Required Fields","* Camps obligatoris"
"Authorize","Autoritzar"
"Close","Tanca"
"Customer","Client"
"Delete","Eliminar"
"Disable","Deshabilita"
"Disabled","Deshabilitat"
"Edit","Edita"
"Email","Correu electrònic"
"Email Address","Adreça electrònica"
"Enable","Habilita"
"Enabled","Habilitat"
"Key","Clau"
"Login","Iniciar Sessió"
"Name","Nom"
"Password","Contrasenya"
"Role Name","Nom de Rol"
"Save","Desar"
"Save and Continue Edit","Desa i continua editant"
"Status","Estat"
"System","Sistema"
"User Name","Nom d'usuari"
