"* Required Fields","* Camps obligatoris"
"ALL GROUPS","TOTS ELS GRUPS"
"Account Information","Informació del compte"
"Account Sharing Options","Opcions de compte per compartir"
"Action","Acció"
"Add New Address","Afegir nova adreça"
"Add New Customer","Afegir nou client"
"Add New Customer Group","Afegir nou grup de clients"
"Additional Address Entries","Entrades addicionals d’adreces"
"Address","Adreça"
"Address Book","Llibreta d'adreces"
"Address Information","Informació de l'adreça"
"Address Templates","Plantilles d'adreces"
"Addresses","Adreces"
"All","Tot"
"All Store Views","Totes les Vistes de la Botiga"
"All countries","Tots els països"
"Always optional.","Sempre opcional."
"Are you sure you want to delete this address?","Esteu segur que voleu eliminar aquesta adreça?"
"Are you sure?","Segur?"
"Assign a Customer Group","Assigna un grup de clients"
"Average Sale","Venda mitjana"
"Back","Torna"
"Bad request.","Sol·licitud errònia."
"Cancel","Cancel·la"
"Change Billing Address","Canvia adreça de facturació"
"Change Password","Canviar la contrasenya"
"Change Shipping Address","Canvia adreça d'enviament"
"City","Ciutat"
"Company","Empresa"
"Configure","Configura"
"Confirm New Password","Confirmeu la nova contrasenya"
"Confirm Password","Confirmeu la contrasenya"
"Confirmation Link Email","Correu electrònic d’enllaç de confirmació"
"Confirmed","Confirmat"
"Contact Information","Informació de contacte"
"Continue Shopping","Seguir comprant"
"Country","País"
"Create New Account Options","Crear noves opcions per un compte"
"Create Order","Crear comanda"
"Create an Account","Crear un compte"
"Current Password","Contrasenya actual"
"Customer","Client"
"Customer Configuration","Configuració de client"
"Customer Group","Grup de client"
"Customer Groups","Grups de clients"
"Customer Information","Informació del consumidor"
"Customer Since","Client Des"
"Customer View","Vista de Client"
"Customer will stay on the current page if ""No"" is selected.","El client romandrà a la pàgina actual si selecciona ""No""."
"Customers","Clients"
"Date Added","Data en què s'ha afegit"
"Date of Birth","Data de naixement"
"Day","Dia"
"Default Addresses","Adreces per defecte"
"Default Billing Address","Adreça de facturació predeterminada"
"Default Group","Grup predeterminat"
"Default Shipping Address","Adreça d'enviament predeterminada"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor per defecte per desactivar els canvis automàtics del grup basats en l'ID d'IVA"
"Default Welcome Email","Correu electrònic de benvinguda predeterminat"
"Delete","Eliminar"
"Delete Customer","Eliminar Client"
"Delete Customer Group","Eliminar grup de clients"
"Deleted Stores","Botigues eliminades"
"Details","Detalls"
"Disabled","Deshabilitat"
"Edit","Edita"
"Edit Account Information","Editar informació del compte"
"Edit Address","Edita l'adreça"
"Edit Customer Groups","Editar grups de clients"
"Edit Group","Edita el grup"
"Email","Correu electrònic"
"Email Address","Adreça electrònica"
"Email Sender","Remitent de Correu electrònic"
"Email:","Correu:"
"Enable Automatic Assignment to Customer Group","Activa l’assignació automàtica al grup de clients"
"First Name","Nom"
"Forgot Email Template","Plantilla de Correu electrònic oblidat"
"Forgot Your Password?","Heu oblidat la contrasenya?"
"Gender","Gènere"
"General Subscription","Subscripció general"
"Generate Human-Friendly Customer ID","Genereu un identificador de client amigable per a les persones"
"Group","Grup"
"Group Information","Informació del grup"
"Group Name","Nom del grup"
"Group for Invalid VAT ID","Grup per indetificació d'IVA no vàlida"
"Group for Valid VAT ID - Domestic","Grup per identificació vàlida d'IVA - Nacional"
