" [deleted]"," [eliminat]"
"* Required Fields","* Camps obligatoris"
"-- Please Select --","-- Si us plau, seleccioneu --"
"--Please Select--","--Si us plau, seleccioneu--"
"1 Hour","1 Hora"
"12 Hours","12 Hores"
"2 Hours","2 Hores"
"24 Hours","24 Hores"
"2YTD","2 anys fins a la data"
"6 Hours","6 Hores"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenció</strong>: Captcha és sensible a majúscules i minúscules."
"About the calendar","Sobre el calendari"
"Account Created in:","Compte creat a:"
"Account Information","Informació del compte"
"Action","Acció"
"Actions","Accions"
"Active","Actiu"
"Add New","Afegeix Nou"
"Add New Image","Afegir Nova Imatge"
"Add Products","Afegir productes"
"Additional Cache Management","Gestió Addicional de Memòria Cau"
"All","Tot"
"All Allowed Countries","Tots els països permesos"
"All Cache","Tota la Memòria Cau"
"All Files","Tots els fitxers"
"All Reviews","Totes les ressenyes"
"All Store Views","Totes les Vistes de la Botiga"
"All Websites","Tots els Llocs Web"
"All countries","Tots els països"
"All valid rates have been saved.","S'han desat totes les tarifes vàlides."
"Always (during development)","Sempre (durant el desenvolupament)"
"Amounts","Quantitats"
"An error occurred while clearing the JavaScript/CSS cache.","S'ha produït un error en esborrar la memòria cau de JavaScript/CSS."
"An error occurred while clearing the image cache.","S'ha produït un error en esborrar la memòria cau de la imatge."
"An error occurred while saving account.","S'ha produït un error en desar el compte."
"Any","Qualsevol"
"Are you sure you want to do this?","Esteu segur que voleu fer-ho?"
"Attributes","Atributs"
"Authorize","Autoritzar"
"Back","Torna"
"Backup","Còpia de seguretat"
"Backup options","Opcions de backup"
"Backups","Còpies de seguretat"
"Base currency","Moneda base"
"Bestsellers","Més venuts"
"Billing Address","Adreça de facturació"
"Block Information","Informació del bloc"
"Browse Files...","Explorar fitxers..."
"Cache Control","Control de Memòria Cau"
"Cache Management","Gestió de Memòria Cau"
"Cancel","Cancel·la"
"Card Verification Number","Número de Verificació de Targeta"
"Catalog","Catàleg"
"Catalog Rewrites","Ressenyes del Catàleg"
"Category","Categoria"
"Clear","Netejar"
"Close","Tanca"
"Code","Codi"
"Configuration","Configuració"
"Confirm New Password","Confirmeu la nova contrasenya"
"Confirmed email:","Correu electrònic confirmat:"
"Country","País"
"Create DB Backup","Crear còpia de seguretat de la Base de Dades"
"Credit Card Number","Número de Targeta de Crèdit"
"Credit Card Type","Tipus de Targeta de Crèdit"
"Currency","Moneda"
"Current Month","Mes actual"
"Custom","Personalitzat"
"Customer","Client"
"Customer Group:","Grup de client:"
"Customer Groups","Grups de clients"
"Customer Reviews","Ressenyes de clients"
"Customers","Clients"
"Dashboard","Panell de contol"
"Database","Base de dades"
"Date Added","Data en què s'ha afegit"
"Date selector","Selector de data"
"Day","Dia"
"Debug","Depuració"
"Default Billing Address","Adreça de facturació predeterminada"
"Default scope","Àmbit per defecte"
"Delete","Eliminar"
"Delete File","Eliminar fitxer"
"Delete Image","Eliminar imatge"
"Delete Store","Eliminar Botiga"
"Delete Store View","Eliminar Vista de Botiga"
"Description","Descripció"
"Design","Disseny"
"Details","Detalls"
"Disable","Deshabilita"
"Disabled","Deshabilitat"
"Display default currency","Mostra la moneda predeterminada"
"Download","Descarregar"
"Edit","Edita"
"Edit Design Change","Modificar Canvi de Disseny"
"Edit Review","Modificar ressenya"
"Edit Store View","Modificar Vista de Botiga"
"Email","Correu electrònic"
"Email:","Correu:"
"Enable","Habilita"
"Enabled","Habilitat"
"Excl. Tax","Impostos exclosos"
"Expiration Date","Data de caducitat"
"Export","Exportar"
"Export to:","Exporta a:"
"File","Arxiu"
"First Name","Nom"
"Flush Catalog Images Cache","Netejar Memòria Cau del Catàleg d'Imatges"
"Flush JavaScript/CSS Cache","Neteja memòria cau JavaScript/CSS"
"Forgot your password?","Heu oblidat la constrasenya?"
"From","Des de"
"General Information","Informació general"
"Global Search","Cerca global"
"Go Today","Ves a avui"
"Guest","Convidat"
"HTTP (unsecure)","HTTP (no segur)"
"Home","Inici"
"Images (.gif, .jpg, .png)","Imatges (.gif, .jpg, .png)"
"Images Cache","Memòria Cau d'Imatges"
"Import","Importar"
"Import Service","Servei d’importació"
"Inactive","Inactiu"
"Incl. Tax","Impostos inclosos"
"Incoming Message","Missatge entrant"
"Invalid Form Key. Please refresh the page.","Clau de formulari invàlida. Si us plau, refresca la pàgina."
"Invalid data","Data no vàlida"
"Invalidated","Invalidat"
"Inventory Stock Status","Estat de l'Inventari d'Existències"
"Items","Elements"
"JavaScript/CSS Cache","Memòria Cau JavaScript/CSS"
"Last 24 Hours","Darreres 24 hores"
"Last 7 Days","Darrers 7 dies"
"Last Logged In:","Últim inici de sessió:"
"Last Name","Cognoms"
"Lifetime Sales","Ventes acumulades"
"Loading...","Carregant..."
"Locale","Configuració regional"
"Login","Iniciar Sessió"
"Manage Currency Rates","Gestionar els tipus de canvi"
"Manage Customers","Gestionar Clients"
"Manage Stores","Gestionar Botigues"
"Maximum sender name length is 255. Please correct your settings.","La longitud màxima del nom del remitent és de 255. Corregiu la configuració."
"Media (.avi, .flv, .swf)","Multimèdia (.avi, .flv, .swf)"
"Messages Inbox","Safata d'entrada missatges"
"Month","Mes"
"Most Viewed Products","Productes més vists"
"My Account","El meu compte"
"Name","Nom"
"Never (production)","Mai (producció)"
"New ","Nou "
"New Condition","Nova condició"
"New Customer","Nou Client"
"New Customers","Nous clients"
"New Group","Nou grup"
"New Password","Nova Contrasenya"
"New Review","Nova ressenya"
"New Search","Nova cerca"
"New Store View","Nova Vista de Botiga"
"Newsletter","Butlletí"
"No Data Found","No s'han trobat dades"
"No change","Cap canvi"
"No records found.","No s'han trobat resultats."
"No search modules were registered","No s’han registrat mòduls de cerca"
"None","Cap"
"Notifications","Notificacions"
"Number of Uses","Nombre de vegades usat"
"Old rate:","Tarifa antiga:"
"Online Customers","Clients connectats"
"Only Once (version upgrade)","Només una vegada (actualització de la versió)"
"Options","Opcions"
"Order","Comanda"
"Orders","Comandes"
"Out of stock","Sense estoc"
"Password","Contrasenya"
"Password Confirmation","Confirmació de la contrasenya"
"Password:","Contrasenya:"
"Pending Reviews","Ressenyes pendents"
"Personal Information","Informació personal"
"Please Select","Si us plau, seleccioneu"
"Please enter a number greater than 0 in this field.","Si us plau, introduïu un nombre més gran que 0."
"Please enter a valid $ amount. For example $100.00.","Introduïu un import € vàlid. Per exemple, 100,00€."
"Please enter a valid credit card number.","Introduïu un número de targeta de crèdit vàlid si us plau."
"Please enter a valid date.","Si us plau, introduïu una data vàlida."
"Please enter a valid number in this field.","Si us plau, introduïu un número vàlid en aquest camp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduïu un telèfon vàlid si us plau. Per exemple (123) 456-7890 o 123-456-7890."
"Please enter a valid value from list","Si us plau, introduïu un valor vàlid de la llista"
"Please enter a valid value, ex: 10,20,30","Si us plau, introduïu un valor vàlid, ex: 10,20,30"
"Please enter a valid zip code.","Si us plau, introduïu un codi postal vàlid."
"Please make sure that all global admin search modules are installed and activated.","Assegureu-vos que estan instal·lats i activats tots els mòduls de cerca d'administració globals."
